subject,question_type,stimulus,rating
SS1619113880904,complexity,images/stimuli/spore_stims/simple_18_A_b.gif,1
SS1619113880904,complexity,images/stimuli/spore_stims/complex_02_A_a.gif,5
SS1619113880904,complexity,images/stimuli/spore_stims/complex_09_A_b.gif,6
SS1619113880904,complexity,images/stimuli/spore_stims/complex_13_A_a.gif,6
SS1619113880904,complexity,images/stimuli/spore_stims/simple_19_A_b.gif,3
SS1619113880904,complexity,images/stimuli/spore_stims/complex_08_A_a.gif,4
SS1619113880904,complexity,images/stimuli/spore_stims/simple_17_A_b.gif,1
SS1619113880904,complexity,images/stimuli/spore_stims/simple_08_A_a.gif,0
SS1619113880904,complexity,images/stimuli/spore_stims/complex_17_A_a.gif,6
SS1619113880904,complexity,images/stimuli/spore_stims/simple_05_A_b.gif,1
SS1619113880904,complexity,images/stimuli/spore_stims/complex_16_A_b.gif,6
SS1619113880904,complexity,images/stimuli/spore_stims/simple_15_A_b.gif,1
SS1619113907158,complexity,images/stimuli/spore_stims/complex_09_A_b.gif,6
SS1619113907158,complexity,images/stimuli/spore_stims/complex_07_A_a.gif,5
SS1619113907158,complexity,images/stimuli/spore_stims/complex_12_A_b.gif,5
SS1619113907158,complexity,images/stimuli/spore_stims/simple_03_A_a.gif,2
SS1619113907158,complexity,images/stimuli/spore_stims/complex_07_A_b.gif,5
SS1619113907158,complexity,images/stimuli/spore_stims/simple_07_A_a.gif,1
SS1619113907158,complexity,images/stimuli/spore_stims/complex_17_A_a.gif,4
SS1619113907158,complexity,images/stimuli/spore_stims/simple_18_A_a.gif,2
SS1619113907158,complexity,images/stimuli/spore_stims/complex_08_A_b.gif,6
SS1619113907158,complexity,images/stimuli/spore_stims/simple_15_A_a.gif,3
SS1619113907158,complexity,images/stimuli/spore_stims/simple_02_A_b.gif,2
SS1619113907158,complexity,images/stimuli/spore_stims/simple_12_A_a.gif,4
SS1619113915776,complexity,images/stimuli/spore_stims/complex_14_A_a.gif,4
SS1619113915776,complexity,images/stimuli/spore_stims/complex_11_A_b.gif,4
SS1619113915776,complexity,images/stimuli/spore_stims/simple_09_A_a.gif,5
