subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,exposure_type,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1619125619115,0,simple_dissimilar,1,background,background,simple,simple_19_A,145352.84999999567,self_paced,first half,1,background,4,NA
SS1619125619115,0,simple_dissimilar,2,background,background,simple,simple_19_A,17853.040000016335,self_paced,first half,1,background,4,NA
SS1619125619115,0,simple_dissimilar,3,background,background,simple,simple_19_A,14590.720000007423,self_paced,first half,1,background,4,NA
SS1619125619115,0,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_02_A,93362.24499999662,self_paced,first half,1,first_deviant,4,NA
SS1619125619115,0,simple_dissimilar,5,background,background,simple,simple_19_A,1703.0650000087917,self_paced,first half,1,background,4,NA
SS1619125619115,1,complex_dissimilar,1,background,background,complex,complex_13_A,7485.4599999962375,self_paced,first half,0,background,NA,NA
SS1619125619115,1,complex_dissimilar,2,background,background,complex,complex_13_A,7349.244999990333,self_paced,first half,0,background,NA,NA
SS1619125619115,1,complex_dissimilar,3,background,background,complex,complex_13_A,3078.110000002198,self_paced,first half,0,background,NA,NA
SS1619125619115,1,complex_dissimilar,4,background,background,complex,complex_13_A,1804.119999986142,self_paced,first half,0,background,NA,NA
SS1619125619115,1,complex_dissimilar,5,background,background,complex,complex_13_A,1339.3050000013318,self_paced,first half,0,background,NA,NA
SS1619125619115,1,complex_dissimilar,6,background,background,complex,complex_13_A,2322.2100000130013,self_paced,first half,0,background,NA,NA
SS1619125619115,2,simple_dissimilar,1,background,background,simple,simple_03_A,1176.1800000094809,forced_short,first half,1,background,5,NA
SS1619125619115,2,simple_dissimilar,2,background,background,simple,simple_03_A,5641.229999979259,forced_short,first half,1,background,5,NA
SS1619125619115,2,simple_dissimilar,3,background,background,simple,simple_03_A,3429.280000011204,forced_short,first half,1,background,5,NA
SS1619125619115,2,simple_dissimilar,4,background,background,simple,simple_03_A,5551.60999999498,forced_short,first half,1,background,5,NA
SS1619125619115,2,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_15_A,4613.305000006221,forced_short,first half,1,first_deviant,5,NA
SS1619125619115,2,simple_dissimilar,6,background,background,simple,simple_03_A,3877.2299999836832,forced_short,first half,1,background,5,NA
SS1619125619115,3,complex_dissimilar,1,background,background,complex,complex_05_A,2307.3999999905936,self_paced,first half,2,background,5,6
SS1619125619115,3,complex_dissimilar,2,background,background,complex,complex_05_A,965.2850000129547,self_paced,first half,2,background,5,6
SS1619125619115,3,complex_dissimilar,3,background,background,complex,complex_05_A,1885.599999979604,self_paced,first half,2,background,5,6
SS1619125619115,3,complex_dissimilar,4,background,background,complex,complex_05_A,1887.3099999909755,self_paced,first half,2,background,5,6
SS1619125619115,3,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_15_A,4306.814999989001,self_paced,first half,2,first_deviant,5,6
SS1619125619115,3,complex_dissimilar,6,dissimilar deviant,deviant,complex,complex_15_A,2279.260000010254,self_paced,first half,2,second_deviant,5,6
SS1619125619115,4,complex_dissimilar,1,background,background,complex,complex_14_A,1094.1949999833014,forced_long,first half,1,background,5,NA
SS1619125619115,4,complex_dissimilar,2,background,background,complex,complex_14_A,510.3999999992084,forced_long,first half,1,background,5,NA
SS1619125619115,4,complex_dissimilar,3,background,background,complex,complex_14_A,1217.239999998128,forced_long,first half,1,background,5,NA
SS1619125619115,4,complex_dissimilar,4,background,background,complex,complex_14_A,3447.3349999752827,forced_long,first half,1,background,5,NA
SS1619125619115,4,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_03_A,2589.46499999729,forced_long,first half,1,first_deviant,5,NA
SS1619125619115,5,complex_dissimilar,1,background,background,complex,complex_08_A,858.3100000105333,forced_short,first half,0,background,NA,NA
SS1619125619115,5,complex_dissimilar,2,background,background,complex,complex_08_A,776.4749999914784,forced_short,first half,0,background,NA,NA
SS1619125619115,5,complex_dissimilar,3,background,background,complex,complex_08_A,2137.3200000089128,forced_short,first half,0,background,NA,NA
SS1619125619115,5,complex_dissimilar,4,background,background,complex,complex_08_A,826.2999999860767,forced_short,first half,0,background,NA,NA
SS1619125619115,5,complex_dissimilar,5,background,background,complex,complex_08_A,1120.329999976093,forced_short,first half,0,background,NA,NA
SS1619125619115,5,complex_dissimilar,6,background,background,complex,complex_08_A,986.479999992298,forced_short,first half,0,background,NA,NA
SS1619125619115,6,simple_dissimilar,1,background,background,simple,simple_16_A,700.459999992745,forced_long,second half,0,background,NA,NA
SS1619125619115,6,simple_dissimilar,2,background,background,simple,simple_16_A,660.3749999776483,forced_long,second half,0,background,NA,NA
SS1619125619115,6,simple_dissimilar,3,background,background,simple,simple_16_A,1286.5850000234786,forced_long,second half,0,background,NA,NA
SS1619125619115,6,simple_dissimilar,4,background,background,simple,simple_16_A,851.5349999943282,forced_long,second half,0,background,NA,NA
SS1619125619115,6,simple_dissimilar,5,background,background,simple,simple_16_A,622.6150000002235,forced_long,second half,0,background,NA,NA
SS1619125619115,6,simple_dissimilar,6,background,background,simple,simple_16_A,1120.360000000801,forced_long,second half,0,background,NA,NA
SS1619125619115,7,simple_dissimilar,1,background,background,simple,simple_05_A,366.5800000017043,forced_long,second half,0,background,NA,NA
