"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":26106.019999999262}]","26107.750000002852","instructions","0","26110","0.0-0.0","SS1619205955626","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":20120.999999999185},{""page_index"":1,""viewing_time"":9817.280000002938}]","29939.05000000086","instructions","1","58052","0.0-1.0","SS1619205955626","instructions","","","","","","","","","","","","","","","",""
"","10508.92500000191","sequential-stimulus-presentation-old","2","69072","0.0-2.0","SS1619205955626","","","40","500","11008.92500000191","null","null","self_paced","","","","","","","","",""
"","8720.274999999674","sequential-stimulus-presentation-old","3","78297","0.0-3.0","SS1619205955626","","","40","500","9220.274999999674","null","null","self_paced","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":21341.254999999364}]","21341.639999998733","instructions","4","99640","0.0-4.0","SS1619205955626","instructions","","","","","","","","","","","","","","","",""
"","4689.815000005183","sequential-stimulus-presentation-old","5","114341","0.0-5.0","SS1619205955626","","","40","500","5189.815000005183","null","null","forced_long","","","","","","","","",""
"","7936.220000003232","sequential-stimulus-presentation-old","6","122382","0.0-6.0","SS1619205955626","","","40","500","8436.220000003232","null","null","forced_long","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5910.360000001674}]","5911.119999997027","instructions","7","128295","0.0-7.0","SS1619205955626","instructions","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7076.500000002852},{""page_index"":1,""viewing_time"":12847.69000000233},{""page_index"":2,""viewing_time"":6823.974999999336},{""page_index"":3,""viewing_time"":1679.8849999977392},{""page_index"":4,""viewing_time"":1752.3799999980838},{""page_index"":3,""viewing_time"":9416.975000000093},{""page_index"":4,""viewing_time"":1030.7549999997718}]","40628.86000000435","instructions","8","168926","0.0-8.0","SS1619205955626","instructions","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","170034","0.0-9.0-0.0","SS1619205955626","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3256.5900000045076","sequential-stimulus-presentation-old","10","173799","0.0-9.0-1.0","SS1619205955626","trial","","40","500","3756.5900000045076","images/stimuli/spore_stims/complex_15_A_b.gif","images/stimuli/spore_stims/complex_18_A_a.gif","self_paced","","0","complex_dissimilar","images/stimuli/spore_stims/complex_18_A_a.gif","","","","",""
"","null","html-keyboard-response","11","174686","0.0-9.0-0.1","SS1619205955626","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6358.565000002272","sequential-stimulus-presentation-old","12","181553","0.0-9.0-1.1","SS1619205955626","trial","","40","500","6858.565000002272","images/stimuli/spore_stims/complex_15_A_b.gif","images/stimuli/spore_stims/complex_18_A_a.gif","self_paced","","0","complex_dissimilar","images/stimuli/spore_stims/complex_18_A_a.gif","","","","",""
"","null","html-keyboard-response","13","182823","0.0-9.0-0.2","SS1619205955626","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6042.055000005348","sequential-stimulus-presentation-old","14","189371","0.0-9.0-1.2","SS1619205955626","trial","","40","500","6542.055000005348","images/stimuli/spore_stims/complex_15_A_b.gif","images/stimuli/spore_stims/complex_18_A_a.gif","self_paced","","0","complex_dissimilar","images/stimuli/spore_stims/complex_18_A_a.gif","","","","",""
"","null","html-keyboard-response","15","190417","0.0-9.0-0.3","SS1619205955626","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6080.774999994901","sequential-stimulus-presentation-old","16","197005","0.0-9.0-1.3","SS1619205955626","trial","","40","500","6580.774999994901","images/stimuli/spore_stims/complex_15_A_b.gif","images/stimuli/spore_stims/complex_18_A_a.gif","self_paced","","0","complex_dissimilar","images/stimuli/spore_stims/complex_15_A_b.gif","","","","",""
"","3292.3749999972642","survey-multi-choice","17","200303","0.0-10.0","SS1619205955626","math_question","","","","","","","","","","","","{""Q0"":""12""}","[0]","12","",""
"","null","html-keyboard-response","18","201274","0.0-11.0-0.0","SS1619205955626","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5328.739999997197","sequential-stimulus-presentation-old","19","207113","0.0-11.0-1.0","SS1619205955626","trial","","40","500","5828.739999997197","images/stimuli/spore_stims/simple_18_A_b.gif","images/stimuli/spore_stims/simple_01_A_a.gif","self_paced","","1","simple_dissimilar","images/stimuli/spore_stims/simple_01_A_a.gif","","","","",""
"","null","html-keyboard-response","20","208060","0.0-11.0-0.1","SS1619205955626","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
