subject,age,ethnicity,gender,education
SS1618364942390,32,Asian,Female,Master's Degree
SS1618364994293,36,White,Male,Bachelor's Degree
SS1618365019316,25,Hispanic or Latino,Male,Bachelor's Degree
SS1618365067501,40,White,Female,Doctorate/Professional degree
SS1618365089548,21,Hispanic or Latino,Male,High school diploma
SS1618365160573,24,Hispanic or Latino,Female,Bachelor's Degree
SS1618365183452,31,White,Male,High school diploma
SS1618365188452,19,White,Male,High school diploma
SS1618365201702,20,White,Female,High school diploma
SS1618365242684,24,White,Male,Master's Degree
SS1618365292414,21,White,Female,Some high school
SS1618365332720,32,White,Female,Master's Degree
SS1618365337109,28,Asian,Female,Bachelor's Degree
SS1618365352220,20,Hispanic or Latino,Male,High school diploma
SS1618365354913,27,White,Male,High school diploma
SS1618365359169,30,White,Male,Master's Degree
SS1618365374653,29,Hispanic or Latino,Female,Doctorate/Professional degree
SS1618365399173,24,Asian,Male,Bachelor's Degree
SS1618365399268,22,White,Female,Associate Degree/Technical certification
SS1618365409237,18,Hispanic or Latino,Female,Bachelor's Degree
SS1618365424357,20,White,Male,High school diploma
SS1618365446620,23,White,Female,Bachelor's Degree
SS1618365447088,27,White,Non-binary,Associate Degree/Technical certification
SS1618365448276,19,White,Female,High school diploma
SS1618365452216,24,Hispanic or Latino,Male,Bachelor's Degree
SS1618365452233,29,White,Female,Bachelor's Degree
SS1618365455295,34,Hispanic or Latino,Female,High school diploma
SS1618365490907,27,Hispanic or Latino,Male,Master's Degree
SS1618365500326,22,White,Male,Bachelor's Degree
SS1618365503102,28,Asian,Male,Master's Degree
SS1618365506470,21,Hispanic or Latino,Male,High school diploma
SS1618365509725,22,White,Male,Bachelor's Degree
SS1618365533580,23,White,Male,Master's Degree
SS1618365562889,31,Asian,Female,Bachelor's Degree
SS1618365592562,28,Hispanic or Latino,Female,Bachelor's Degree
SS1618365620193,20,Hispanic or Latino,Male,High school diploma
SS1618365651517,26,Hispanic or Latino,Male,Bachelor's Degree
SS1618365654882,30,Asian,Female,Bachelor's Degree
SS1618365658506,27,Asian,Female,Bachelor's Degree
SS1618365661827,43,White,Male,High school diploma
SS1618365665503,21,Hispanic or Latino,Male,Associate Degree/Technical certification
SS1618365668549,21,Hispanic or Latino,Male,High school diploma
SS1618365676957,27,Hispanic or Latino,Female,Bachelor's Degree
SS1618365678887,22,Hispanic or Latino,Male,Bachelor's Degree
SS1618365683410,27,White,Female,High school diploma
SS1618365684004,19,Hispanic or Latino,Male,Bachelor's Degree
SS1618365688347,20,Hispanic or Latino,Male,High school diploma
SS1618365696645,21,White,Male,High school diploma
SS1618365710264,22,White,Female,Associate Degree/Technical certification
SS1618365716411,27,Hispanic or Latino,Male,Master's Degree
SS1618365719560,24,Hispanic or Latino,Female,Bachelor's Degree
SS1618365724109,30,Hispanic or Latino,Female,Bachelor's Degree
SS1618365733978,28,Asian,Female,Associate Degree/Technical certification
SS1618365753212,29,White,Non-binary,Master's Degree
SS1618365777258,21,Hispanic or Latino,Male,High school diploma
SS1618365781304,37,Hispanic or Latino,Female,Master's Degree
SS1618365786262,24,Hispanic or Latino,Male,Bachelor's Degree
SS1618365793922,35,Hispanic or Latino,Male,Associate Degree/Technical certification
SS1618365797386,22,Hispanic or Latino,Male,High school diploma
SS1618365810136,21,Hispanic or Latino,Male,Bachelor's Degree
SS1618365811582,39,White,Female,Bachelor's Degree
SS1618365842572,22,Hispanic or Latino,Male,Bachelor's Degree
SS1618365845292,46,White,Female,Master's Degree
SS1618365848596,21,Asian,Female,Bachelor's Degree
SS1618365853486,20,Hispanic or Latino,Male,High school diploma
SS1618365857045,34,White,Female,Bachelor's Degree
SS1618365876011,46,Hispanic or Latino,Female,High school diploma
SS1618365883719,23,Hispanic or Latino,Female,High school diploma
SS1618365885795,31,Asian,Male,Associate Degree/Technical certification
SS1618365891715,21,Hispanic or Latino,Male,High school diploma
SS1618365896751,19,Hispanic or Latino,Male,High school diploma
SS1618365913715,28,American Indian or Alaska Native,Female,Master's Degree
SS1618365916341,27,Other,Male,Bachelor's Degree
SS1618365916882,30,White,Male,Associate Degree/Technical certification
SS1618365921326,18,White,Male,High school diploma
SS1618365921646,18,White,Male,High school diploma
SS1618365926744,27,Hispanic or Latino,Male,Bachelor's Degree
SS1618365930331,23,Hispanic or Latino,Male,High school diploma
SS1618365934552,19,White,Male,High school diploma
SS1618365940373,26,Hispanic or Latino,Male,Doctorate/Professional degree
SS1618365952384,36,Hispanic or Latino,Female,Master's Degree
SS1618365963312,20,Asian,Male,Bachelor's Degree
SS1618365966184,27,White,Female,Bachelor's Degree
SS1618365970224,31,Hispanic or Latino,Male,Master's Degree
SS1618365971545,18,Asian,Non-binary,Some high school
SS1618365982652,22,Hispanic or Latino,Female,Bachelor's Degree
SS1618365993237,19,White,Male,Other
SS1618366010017,21,Hispanic or Latino,Male,High school diploma
SS1618366014867,32,White,Female,Bachelor's Degree
SS1618366020131,23,Hispanic or Latino,Male,Bachelor's Degree
SS1618366024688,21,White,Male,High school diploma
SS1618366027904,23,White,Male,Bachelor's Degree
SS1618366039066,28,Asian,Female,Master's Degree
SS1618366080399,20,Hispanic or Latino,Male,Associate Degree/Technical certification
SS1618366094486,24,White,Female,Associate Degree/Technical certification
SS1618366097475,19,White,Female,Some high school
SS1618366463269,23,Hispanic or Latino,Female,Bachelor's Degree
SS1618367385279,23,White,Male,Bachelor's Degree
SS1618368316629,20,White,Male,Some high school
SS1618368316819,27,White,Male,Bachelor's Degree
SS1618435619752,21,White,Male,High school diploma
SS1618435630950,21,White,Male,Bachelor's Degree
SS1618435633207,19,White,Male,High school diploma
SS1618435634240,20,White,Male,High school diploma
SS1618435635201,21,White,Male,High school diploma
SS1618435635217,24,White,Male,High school diploma
SS1618435635264,23,White,Male,High school diploma
SS1618435635415,22,Hispanic or Latino,Male,High school diploma
SS1618435635621,21,Asian,Female,Bachelor's Degree
SS1618435635900,28,White,Male,Associate Degree/Technical certification
SS1618435636360,25,White,Female,Associate Degree/Technical certification
SS1618435636608,25,Asian,Male,Bachelor's Degree
SS1618435636673,20,White,Male,High school diploma
SS1618435637291,19,White,Male,Bachelor's Degree
SS1618435637535,20,White,Male,High school diploma
SS1618435637603,24,Asian,Female,Bachelor's Degree
SS1618435637816,18,White,Male,High school diploma
SS1618435637995,20,White,Male,High school diploma
SS1618435638397,19,White,Female,High school diploma
SS1618435638496,21,White,Female,Bachelor's Degree
SS1618435639017,21,White,Female,Master's Degree
SS1618435639576,19,White,Male,Associate Degree/Technical certification
SS1618435640496,19,Asian,Female,High school diploma
SS1618435640553,31,White,Male,Master's Degree
SS1618435641045,23,White,Female,Bachelor's Degree
SS1618435641206,21,White,Male,Some high school
SS1618435642010,30,Other,Male,Bachelor's Degree
SS1618435642933,21,White,Male,High school diploma
SS1618435642981,32,White,Male,Master's Degree
SS1618435642997,30,White,Male,Master's Degree
SS1618435643560,23,White,Male,Master's Degree
SS1618435643646,35,White,Male,Bachelor's Degree
SS1618435644112,20,Asian,Male,High school diploma
SS1618435644115,21,White,Female,Bachelor's Degree
SS1618435644441,23,White,Non-binary,Associate Degree/Technical certification
SS1618435644461,19,White,Male,High school diploma
SS1618435644614,22,White,Male,High school diploma
SS1618435644758,23,White,Female,Associate Degree/Technical certification
SS1618435644968,22,White,Male,Bachelor's Degree
SS1618435645307,33,White,Male,Master's Degree
SS1618435645799,23,White,Male,Master's Degree
SS1618435646381,29,White,Male,Bachelor's Degree
SS1618435646437,36,White,Male,Bachelor's Degree
SS1618435646704,27,Hispanic or Latino,Male,Bachelor's Degree
SS1618435646795,40,White,Male,Associate Degree/Technical certification
SS1618435647239,26,White,Male,Bachelor's Degree
SS1618435647453,28,White,Male,Bachelor's Degree
SS1618435647663,40,White,Female,High school diploma
SS1618435647724,30,White,Male,Bachelor's Degree
SS1618435647751,27,White,Female,Bachelor's Degree
SS1618435648254,41,White,Female,Master's Degree
SS1618435648423,28,White,Male,Bachelor's Degree
SS1618435648519,18,White,Male,High school diploma
SS1618435648695,19,Hispanic or Latino,Male,Bachelor's Degree
SS1618435648845,37,Asian,Male,Bachelor's Degree
SS1618435650224,23,White,Female,Bachelor's Degree
SS1618435651451,24,White,Male,High school diploma
SS1618435651557,22,Hispanic or Latino,Male,High school diploma
SS1618435651677,18,White,Male,Some high school
SS1618435651710,21,White,Female,Bachelor's Degree
