"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":25877.45000000359}]","25878.375000000233","instructions","0","25880","0.0-0.0","SS1617819279925","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":13611.400000001595},{""page_index"":1,""viewing_time"":14799.979999999778}]","28411.61000000284","instructions","1","56295","0.0-1.0","SS1617819279925","instructions","","","","","","","","","","","","","","",""
"","10174.560000003112","sequential-stimulus-presentation-old","2","67075","0.0-2.0","SS1617819279925","","","40","600","10774.560000003112","null","null","","","","","","","","",""
"","7103.909999997995","sequential-stimulus-presentation-old","3","74682","0.0-3.0","SS1617819279925","","","40","500","7603.909999997995","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":28515.369999997347}]","28515.595000000758","instructions","4","103199","0.0-4.0","SS1617819279925","instructions","","","","","","","","","","","","","","",""
"","4029.2149999986577","sequential-stimulus-presentation","5","108232","0.0-5.0","SS1617819279925","","","40","1000","5029.214999998658","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5205.949999999575}]","5206.175000002986","instructions","6","113439","0.0-6.0","SS1617819279925","instructions","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10974.63499999867},{""page_index"":1,""viewing_time"":14720.024999998714},{""page_index"":2,""viewing_time"":4143.990000000485},{""page_index"":3,""viewing_time"":1464.060000002064},{""page_index"":4,""viewing_time"":1159.990000000107}]","32462.93499999956","instructions","7","145903","0.0-7.0","SS1617819279925","instructions","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","146800","0.0-8.0-0.0","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4397.820000001957","sequential-stimulus-presentation","9","152204","0.0-8.0-1.0","SS1617819279925","trial","","40","1000","5397.820000001957","images/stimuli/spore_stims/simple_18_A_a.gif","images/stimuli/spore_stims/simple_16_A_b.gif","","0","simple_dissimilar","images/stimuli/spore_stims/simple_16_A_b.gif","","","","",""
