"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":27043.395000044256}]","27046.085000038147","instructions","0","27055","0.0-0.0","SS1619739442485","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":19811.374999932013},{""page_index"":1,""viewing_time"":8845.050000003539}]","28657.249999931082","instructions","1","57723","0.0-1.0","SS1619739442485","instructions","","","","","","","","","","","","","","","",""
"","9748.15999995917","sequential-stimulus-presentation-old","2","67989","0.0-2.0","SS1619739442485","","","40","500","10248.15999995917","null","null","self_paced","","","","","","","","",""
"","12775.04500001669","sequential-stimulus-presentation-old","3","81277","0.0-3.0","SS1619739442485","","","40","500","13275.04500001669","null","null","self_paced","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":22958.134999964386}]","22959.069999982603","instructions","4","104243","0.0-4.0","SS1619739442485","instructions","","","","","","","","","","","","","","","",""
"","6267.055000062101","sequential-stimulus-presentation-old","5","125524","0.0-5.0","SS1619739442485","","","40","500","6767.055000062101","null","null","forced_long","","","","","","","","",""
"","5521.695000003092","sequential-stimulus-presentation-old","6","131562","0.0-6.0","SS1619739442485","","","40","500","6021.695000003092","null","null","forced_long","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4831.714999978431}]","4832.564999931492","instructions","7","136402","0.0-7.0","SS1619739442485","instructions","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":16851.175000076182},{""page_index"":1,""viewing_time"":24497.634999919683},{""page_index"":2,""viewing_time"":6676.674999995157},{""page_index"":3,""viewing_time"":2989.3200000515208},{""page_index"":4,""viewing_time"":3205.3150000283495}]","54221.10500000417","instructions","8","190627","0.0-8.0","SS1619739442485","instructions","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","191477","0.0-9.0-0.0","SS1619739442485","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","8818.630000110716","sequential-stimulus-presentation-old","10","200824","0.0-9.0-1.0","SS1619739442485","trial","","40","500","9318.630000110716","images/stimuli/spore_stims/simple_13_A_b.gif","images/stimuli/spore_stims/simple_17_A_a.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_a.gif","","","","",""
"","null","html-keyboard-response","11","201801","0.0-9.0-0.1","SS1619739442485","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","9878.550000023097","sequential-stimulus-presentation-old","12","212211","0.0-9.0-1.1","SS1619739442485","trial","","40","500","10378.550000023097","images/stimuli/spore_stims/simple_13_A_b.gif","images/stimuli/spore_stims/simple_17_A_a.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_a.gif","","","","",""
"","null","html-keyboard-response","13","213356","0.0-9.0-0.2","SS1619739442485","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","14715.545000042766","sequential-stimulus-presentation-old","14","228600","0.0-9.0-1.2","SS1619739442485","trial","","40","500","15215.545000042766","images/stimuli/spore_stims/simple_13_A_b.gif","images/stimuli/spore_stims/simple_17_A_a.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_a.gif","","","","",""
"","null","html-keyboard-response","15","229904","0.0-9.0-0.3","SS1619739442485","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","11807.845000061207","sequential-stimulus-presentation-old","16","242244","0.0-9.0-1.3","SS1619739442485","trial","","40","500","12307.845000061207","images/stimuli/spore_stims/simple_13_A_b.gif","images/stimuli/spore_stims/simple_17_A_a.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_a.gif","","","","",""
"","null","html-keyboard-response","17","243290","0.0-9.0-0.4","SS1619739442485","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","9054.015000001527","sequential-stimulus-presentation-old","18","252871","0.0-9.0-1.4","SS1619739442485","trial","","40","500","9554.015000001527","images/stimuli/spore_stims/simple_13_A_b.gif","images/stimuli/spore_stims/simple_17_A_a.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_a.gif","","","","",""
"","4500.344999949448","survey-multi-choice","19","257400","0.0-10.0","SS1619739442485","math_question","","","","","","","","","","","","{""Q0"":""10""}","[0]","10","",""
"","null","html-keyboard-response","20","258690","0.0-11.0-0.0","SS1619739442485","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","7867.194999940693","sequential-stimulus-presentation-old","21","267101","0.0-11.0-1.0","SS1619739442485","trial","","40","500","8367.194999940693","images/stimuli/spore_stims/simple_13_A_a.gif","images/stimuli/spore_stims/simple_07_A_b.gif","self_paced","","1","simple_dissimilar","images/stimuli/spore_stims/simple_07_A_b.gif","","","","",""
"","null","html-keyboard-response","22","268400","0.0-11.0-0.1","SS1619739442485","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
