"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer"
"[{""page_index"":0,""viewing_time"":3455.34499999485}]","3455.6049999955576","instructions","0","3459","0.0-0.0","SS1619739595845","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9458.844999986468},{""page_index"":1,""viewing_time"":4424.159999995027}]","13883.289999997942","instructions","1","19345","0.0-1.0","SS1619739595845","instructions","","","","","","","","","","","","","",""
"","6455.61999999336","sequential-stimulus-presentation-old","2","26308","0.0-2.0","SS1619739595845","","","40","500","6955.61999999336","null","null","self_paced","","","","","","",""
"","4023.4999999811407","sequential-stimulus-presentation-old","3","30835","0.0-3.0","SS1619739595845","","","40","500","4523.499999981141","null","null","self_paced","","","","","","",""
"[{""page_index"":0,""viewing_time"":11812.680000002729}]","11813.02499998128","instructions","4","42649","0.0-4.0","SS1619739595845","instructions","","","","","","","","","","","","","",""
"","849.8499999986961","sequential-stimulus-presentation-old","5","58507","0.0-5.0","SS1619739595845","","","40","500","1349.8499999986961","null","null","forced_long","","","","","","",""
"","576.485000026878","sequential-stimulus-presentation-old","6","59594","0.0-6.0","SS1619739595845","","","40","500","1076.485000026878","null","null","forced_long","","","","","","",""
"[{""page_index"":0,""viewing_time"":1973.5700000019278}]","1973.839999991469","instructions","7","61568","0.0-7.0","SS1619739595845","instructions","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2986.8549999955576},{""page_index"":1,""viewing_time"":4900.104999978794},{""page_index"":2,""viewing_time"":1545.8000000216998},{""page_index"":3,""viewing_time"":3950.2299999876413},{""page_index"":4,""viewing_time"":919.8749999923166}]","14303.129999985686","instructions","8","75873","0.0-8.0","SS1619739595845","instructions","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","76700","0.0-9.0-0.0","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","409.8200000007637","sequential-stimulus-presentation-old","10","77619","0.0-9.0-1.0","SS1619739595845","trial","","40","500","909.8200000007637","images/stimuli/spore_stims/simple_13_A_b.gif","images/stimuli/spore_stims/simple_16_A_a.gif","forced_short","","0","simple_dissimilar","images/stimuli/spore_stims/simple_16_A_a.gif","","",""
"","null","html-keyboard-response","11","78850","0.0-9.0-0.1","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
