"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus"
"[{""page_index"":0,""viewing_time"":176820.17500000075}]","176821.0399998352","instructions","0","176822","0.0-0.0","SS1619739836340","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":17285.18999996595},{""page_index"":1,""viewing_time"":10861.204999964684}]","28146.650000009686","instructions","1","206974","0.0-1.0","SS1619739836340","instructions","","","","","","","",""
"","11076.489999890327","sequential-stimulus-presentation-old","2","218561","0.0-2.0","SS1619739836340","","","40","500","11576.489999890327","null","null","self_paced",""
"","4365.214999997988","sequential-stimulus-presentation-old","3","223428","0.0-3.0","SS1619739836340","","","40","500","4865.214999997988","null","null","self_paced",""
"[{""page_index"":0,""viewing_time"":33656.24499996193}]","33656.325000105426","instructions","4","257085","0.0-4.0","SS1619739836340","instructions","","","","","","","",""
"","1354.2450000531971","sequential-stimulus-presentation-old","5","273441","0.0-5.0","SS1619739836340","","","40","500","1854.2450000531971","null","null","forced_long",""
"","3445.8549998234957","sequential-stimulus-presentation-old","6","277388","0.0-6.0","SS1619739836340","","","40","500","3945.8549998234957","null","null","forced_long",""
"[{""page_index"":0,""viewing_time"":4134.344999911264}]","4134.489999851212","instructions","7","281524","0.0-7.0","SS1619739836340","instructions","","","","","","","",""
"[{""page_index"":0,""viewing_time"":19658.419999992475},{""page_index"":1,""viewing_time"":25060.82500005141},{""page_index"":2,""viewing_time"":8015.320000005886},{""page_index"":3,""viewing_time"":1678.245000075549},{""page_index"":4,""viewing_time"":1099.3399999570101}]","55512.355000013486","instructions","8","337037","0.0-8.0","SS1619739836340","instructions","","","","","","","",""
"","null","html-keyboard-response","9","338166","0.0-9.0-0.0","SS1619739836340","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">"
