"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed"
"[{""page_index"":0,""viewing_time"":90627}]","90627","instructions","0","90627","0.0-0.0","SS1619740088508","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":17040},{""page_index"":1,""viewing_time"":7680}]","24721","instructions","1","117359","0.0-1.0","SS1619740088508","instructions","","","","","","","","","","",""
"","6119","sequential-stimulus-presentation-old","2","123987","0.0-2.0","SS1619740088508","","","40","500","6619","null","null","self_paced","","","",""
"","5764","sequential-stimulus-presentation-old","3","130266","0.0-3.0","SS1619740088508","","","40","500","6264","null","null","self_paced","","","",""
"[{""page_index"":0,""viewing_time"":21502}]","21502","instructions","4","151768","0.0-4.0","SS1619740088508","instructions","","","","","","","","","","",""
"","5389","sequential-stimulus-presentation-old","5","172169","0.0-5.0","SS1619740088508","","","40","500","5889","null","null","forced_long","","","",""
"","3065","sequential-stimulus-presentation-old","6","175735","0.0-6.0","SS1619740088508","","","40","500","3565","null","null","forced_long","","","",""
"[{""page_index"":0,""viewing_time"":2578}]","2578","instructions","7","178315","0.0-7.0","SS1619740088508","instructions","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8768},{""page_index"":1,""viewing_time"":10546},{""page_index"":2,""viewing_time"":9416},{""page_index"":3,""viewing_time"":1329},{""page_index"":4,""viewing_time"":1304}]","31364","instructions","8","209678","0.0-8.0","SS1619740088508","instructions","","","","","","","","","","",""
"","null","html-keyboard-response","9","210971","0.0-9.0-0.0","SS1619740088508","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","",""
"","27653","sequential-stimulus-presentation-old","10","239134","0.0-9.0-1.0","SS1619740088508","trial","","40","500","28153","images/stimuli/spore_stims/complex_19_A_a.gif","images/stimuli/spore_stims/complex_12_A_b.gif","self_paced","","0","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_b.gif"
"","null","html-keyboard-response","11","239974","0.0-9.0-0.1","SS1619740088508","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","",""
"","4150","sequential-stimulus-presentation-old","12","244630","0.0-9.0-1.1","SS1619740088508","trial","","40","500","4650","images/stimuli/spore_stims/complex_19_A_a.gif","images/stimuli/spore_stims/complex_12_A_b.gif","self_paced","","0","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_b.gif"
"","null","html-keyboard-response","13","245740","0.0-9.0-0.2","SS1619740088508","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","",""
