"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":1858.905000030063}]","1859.2049999861047","instructions","0","1860","0.0-0.0","SS1618435635900","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":11250.604999950156},{""page_index"":1,""viewing_time"":5108.220000052825}]","16359.03499997221","instructions","1","20221","0.0-1.0","SS1618435635900","instructions","","","","","","","","","","","","","","","",""
"","3281.1750000109896","sequential-stimulus-presentation-old","2","24005","0.0-2.0","SS1618435635900","","","40","500","3781.1750000109896","null","null","self_paced","","","","","","","","",""
"","3986.6450000554323","sequential-stimulus-presentation-old","3","28493","0.0-3.0","SS1618435635900","","","40","500","4486.645000055432","null","null","self_paced","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9963.540000026114}]","9963.815000024624","instructions","4","38457","0.0-4.0","SS1618435635900","instructions","","","","","","","","","","","","","","","",""
"","1851.6750000417233","sequential-stimulus-presentation-old","5","45311","0.0-5.0","SS1618435635900","","","40","500","2351.6750000417233","null","null","forced_long","","","","","","","","",""
"","1868.224999983795","sequential-stimulus-presentation-old","6","47230","0.0-6.0","SS1618435635900","","","40","50","1918.224999983795","null","null","forced_long","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1447.5499999243766}]","1447.6899999426678","instructions","7","48679","0.0-7.0","SS1618435635900","instructions","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5287.780000013299},{""page_index"":1,""viewing_time"":9401.08500001952},{""page_index"":2,""viewing_time"":3624.0649999817833},{""page_index"":3,""viewing_time"":1025.8300000568852},{""page_index"":4,""viewing_time"":990.6249999767169}]","20329.570000059903","instructions","8","69009","0.0-8.0","SS1618435635900","instructions","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","70174","0.0-9.0-0.0","SS1618435635900","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
