"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer"
"[{""page_index"":0,""viewing_time"":2748}]","2748","instructions","0","2748","0.0-0.0","SS1618435753604","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3178},{""page_index"":1,""viewing_time"":4140}]","7318","instructions","1","12071","0.0-1.0","SS1618435753604","instructions","","","","","","","","","","","","","",""
"","5931","sequential-stimulus-presentation-old","2","18508","0.0-2.0","SS1618435753604","","","40","500","6431","null","null","self_paced","","","","","","",""
"","3211","sequential-stimulus-presentation-old","3","22224","0.0-3.0","SS1618435753604","","","40","500","3711","null","null","self_paced","","","","","","",""
"[{""page_index"":0,""viewing_time"":17871}]","17871","instructions","4","40096","0.0-4.0","SS1618435753604","instructions","","","","","","","","","","","","","",""
"","8660","sequential-stimulus-presentation-old","5","53758","0.0-5.0","SS1618435753604","","","40","500","9160","null","null","forced_long","","","","","","",""
"","4099","sequential-stimulus-presentation-old","6","57910","0.0-6.0","SS1618435753604","","","40","50","4149","null","null","forced_long","","","","","","",""
"[{""page_index"":0,""viewing_time"":5266}]","5266","instructions","7","63178","0.0-7.0","SS1618435753604","instructions","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":11043},{""page_index"":1,""viewing_time"":5676},{""page_index"":2,""viewing_time"":5813},{""page_index"":3,""viewing_time"":1804},{""page_index"":4,""viewing_time"":1083}]","25419","instructions","8","88599","0.0-8.0","SS1618435753604","instructions","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","89682","0.0-9.0-0.0","SS1618435753604","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","632","sequential-stimulus-presentation-old","10","90368","0.0-9.0-1.0","SS1618435753604","trial","","40","500","1132","images/stimuli/spore_stims/complex_12_A_b.gif","images/stimuli/spore_stims/complex_09_A_a.gif","forced_short","","0","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","","",""
"","null","html-keyboard-response","11","91594","0.0-9.0-0.1","SS1618435753604","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","13136","sequential-stimulus-presentation-old","12","105232","0.0-9.0-1.1","SS1618435753604","trial","","40","500","13636","images/stimuli/spore_stims/complex_12_A_b.gif","images/stimuli/spore_stims/complex_09_A_a.gif","forced_short","","0","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","","",""
"","null","html-keyboard-response","13","106313","0.0-9.0-0.2","SS1618435753604","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","2033","sequential-stimulus-presentation-old","14","108850","0.0-9.0-1.2","SS1618435753604","trial","","40","500","2533","images/stimuli/spore_stims/complex_12_A_b.gif","images/stimuli/spore_stims/complex_09_A_a.gif","forced_short","","0","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_b.gif","","",""
"","null","html-keyboard-response","15","110066","0.0-9.0-0.3","SS1618435753604","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","1849","sequential-stimulus-presentation-old","16","112417","0.0-9.0-1.3","SS1618435753604","trial","","40","500","2349","images/stimuli/spore_stims/complex_12_A_b.gif","images/stimuli/spore_stims/complex_09_A_a.gif","forced_short","","0","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","","",""
