"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed"
"[{""page_index"":0,""viewing_time"":7433.035000000018}]","7437.524999999994","instructions","0","7441","0.0-0.0","SS1618437028982","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2427.4699999999684},{""page_index"":1,""viewing_time"":1848.1750000000284}]","4276.700000000004","instructions","1","13730","0.0-1.0","SS1618437028982","instructions","","","","","","","","","","",""
"","4516.169999999987","sequential-stimulus-presentation-old","2","18767","0.0-2.0","SS1618437028982","","","40","500","5016.169999999987","null","null","self_paced","","","",""
"","3184.2500000000146","sequential-stimulus-presentation-old","3","22458","0.0-3.0","SS1618437028982","","","40","500","3684.2500000000146","null","null","self_paced","","","",""
"[{""page_index"":0,""viewing_time"":22436.955000000016}]","22438.505000000026","instructions","4","44902","0.0-4.0","SS1618437028982","instructions","","","","","","","","","","",""
"","2096.5650000000023","sequential-stimulus-presentation-old","5","52017","0.0-5.0","SS1618437028982","","","40","500","2596.5650000000023","null","null","forced_long","","","",""
"","4771.904999999999","sequential-stimulus-presentation-old","6","56858","0.0-6.0","SS1618437028982","","","40","50","4821.904999999999","null","null","forced_long","","","",""
"[{""page_index"":0,""viewing_time"":4648.14999999998}]","4649.194999999963","instructions","7","61513","0.0-7.0","SS1618437028982","instructions","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7705.380000000005},{""page_index"":1,""viewing_time"":15486.62999999999},{""page_index"":2,""viewing_time"":2349.1750000000466},{""page_index"":3,""viewing_time"":1329.919999999911},{""page_index"":4,""viewing_time"":997.1150000000052}]","27871.244999999937","instructions","8","89390","0.0-8.0","SS1618437028982","instructions","","","","","","","","","","",""
"","null","html-keyboard-response","9","90435","0.0-9.0-0.0","SS1618437028982","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","",""
"","411.98999999994703","sequential-stimulus-presentation-old","10","95874","0.0-9.0-1.0","SS1618437028982","trial","","40","500","911.989999999947","images/stimuli/spore_stims/simple_02_A_b.gif","images/stimuli/spore_stims/simple_19_A_a.gif","forced_long","","0","simple_dissimilar","images/stimuli/spore_stims/simple_19_A_a.gif"
"","null","html-keyboard-response","11","96885","0.0-9.0-0.1","SS1618437028982","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","",""
"","62084.08500000008","sequential-stimulus-presentation-old","12","159478","0.0-9.0-1.1","SS1618437028982","trial","","40","500","62584.08500000008","images/stimuli/spore_stims/simple_02_A_b.gif","images/stimuli/spore_stims/simple_19_A_a.gif","forced_long","","0","simple_dissimilar","images/stimuli/spore_stims/simple_19_A_a.gif"
"","null","html-keyboard-response","13","160539","0.0-9.0-0.2","SS1618437028982","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","",""
