"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":13124}]","13124","instructions","0","13125","0.0-0.0","SS1626381541612","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10396},{""page_index"":1,""viewing_time"":6040}]","16436","instructions","1","31573","0.0-1.0","SS1626381541612","instructions","","","","","","","","","","","","","","","","",""
"","7394","sequential-stimulus-presentation-old","2","39485","0.0-2.0","SS1626381541612","","","40","500","7894","null","null","self_paced","0","","","","","","","","",""
"","4188","sequential-stimulus-presentation-old","3","44187","0.0-3.0","SS1626381541612","","","40","500","4688","null","null","self_paced","0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6336}]","6336","instructions","4","50524","0.0-4.0","SS1626381541612","instructions","","","","","","","","","","","","","","","","",""
"","13057","sequential-stimulus-presentation-old","5","64089","0.0-5.0","SS1626381541612","","","40","500","13557","null","null","forced_short","500","","","","","","","","",""
"","6306","sequential-stimulus-presentation-old","6","70901","0.0-6.0","SS1626381541612","","","40","500","6806","null","null","forced_short","500","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2231}]","2231","instructions","7","73133","0.0-7.0","SS1626381541612","instructions","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6557},{""page_index"":1,""viewing_time"":5896},{""page_index"":2,""viewing_time"":3464},{""page_index"":3,""viewing_time"":1449},{""page_index"":4,""viewing_time"":1711}]","19077","instructions","8","92212","0.0-8.0","SS1626381541612","instructions","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","93310","0.0-9.0-0.0","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6026","sequential-stimulus-presentation-old","10","99556","0.0-9.0-1.0","SS1626381541612","trial","","40","500","6526","images/stimuli/spore_stims/complex_15_A_b.gif","images/stimuli/spore_stims/complex_23_A_a.gif","forced_short","210","","0","complex_dissimilar","images/stimuli/spore_stims/complex_23_A_a.gif","","","","",""
"","null","html-keyboard-response","11","100533","0.0-9.0-0.1","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","9075","sequential-stimulus-presentation-old","12","110114","0.0-9.0-1.1","SS1626381541612","trial","","40","500","9575","images/stimuli/spore_stims/complex_15_A_b.gif","images/stimuli/spore_stims/complex_23_A_a.gif","forced_short","210","","0","complex_dissimilar","images/stimuli/spore_stims/complex_15_A_b.gif","","","","",""
"","null","html-keyboard-response","13","111140","0.0-9.0-0.2","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6956","sequential-stimulus-presentation-old","14","118607","0.0-9.0-1.2","SS1626381541612","trial","","40","500","7456","images/stimuli/spore_stims/complex_15_A_b.gif","images/stimuli/spore_stims/complex_23_A_a.gif","forced_short","210","","0","complex_dissimilar","images/stimuli/spore_stims/complex_23_A_a.gif","","","","",""
"","null","html-keyboard-response","15","119856","0.0-9.0-0.3","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","8417","sequential-stimulus-presentation-old","16","128786","0.0-9.0-1.3","SS1626381541612","trial","","40","500","8917","images/stimuli/spore_stims/complex_15_A_b.gif","images/stimuli/spore_stims/complex_23_A_a.gif","forced_short","210","","0","complex_dissimilar","images/stimuli/spore_stims/complex_15_A_b.gif","","","","",""
"","3259","survey-multi-choice","17","132047","0.0-10.0","SS1626381541612","math_question","","","","","","","","","","","","","{""Q0"":""7""}","[0]","7","",""
"","null","html-keyboard-response","18","133269","0.0-11.0-0.0","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2170","sequential-stimulus-presentation-old","19","136095","0.0-11.0-1.0","SS1626381541612","trial","","40","500","2670","images/stimuli/spore_stims/complex_04_A_b.gif","images/stimuli/spore_stims/complex_10_A_b.gif","forced_short","640","","1","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","","","","",""
"","null","html-keyboard-response","20","137019","0.0-11.0-0.1","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5142","sequential-stimulus-presentation-old","21","142675","0.0-11.0-1.1","SS1626381541612","trial","","40","500","5642","images/stimuli/spore_stims/complex_04_A_b.gif","images/stimuli/spore_stims/complex_10_A_b.gif","forced_short","640","","1","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","","","","",""
"","null","html-keyboard-response","22","143722","0.0-11.0-0.2","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","7243","sequential-stimulus-presentation-old","23","151476","0.0-11.0-1.2","SS1626381541612","trial","","40","500","7743","images/stimuli/spore_stims/complex_04_A_b.gif","images/stimuli/spore_stims/complex_10_A_b.gif","forced_short","640","","1","complex_dissimilar","images/stimuli/spore_stims/complex_04_A_b.gif","","","","",""
"","null","html-keyboard-response","24","152643","0.0-11.0-0.3","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6225","sequential-stimulus-presentation-old","25","159381","0.0-11.0-1.3","SS1626381541612","trial","","40","500","6725","images/stimuli/spore_stims/complex_04_A_b.gif","images/stimuli/spore_stims/complex_10_A_b.gif","forced_short","640","","1","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","","","","",""
"","null","html-keyboard-response","26","160444","0.0-11.0-0.4","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5016","sequential-stimulus-presentation-old","27","165967","0.0-11.0-1.4","SS1626381541612","trial","","40","500","5516","images/stimuli/spore_stims/complex_04_A_b.gif","images/stimuli/spore_stims/complex_10_A_b.gif","forced_short","640","","1","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","","","","",""
"","null","html-keyboard-response","28","167113","0.0-11.0-0.5","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5918","sequential-stimulus-presentation-old","29","173544","0.0-11.0-1.5","SS1626381541612","trial","","40","500","6418","images/stimuli/spore_stims/complex_04_A_b.gif","images/stimuli/spore_stims/complex_10_A_b.gif","forced_short","640","","1","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","","","","",""
"","4075","survey-multi-choice","30","177621","0.0-12.0","SS1626381541612","math_question","","","","","","","","","","","","","{""Q0"":""16""}","[0]","16","",""
"","null","html-keyboard-response","31","178664","0.0-13.0-0.0","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3236","sequential-stimulus-presentation-old","32","182044","0.0-13.0-1.0","SS1626381541612","trial","","40","500","3736","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_13_A_a.gif","forced_short","140","","2","complex_dissimilar","images/stimuli/spore_stims/complex_13_A_a.gif","","","","",""
"","null","html-keyboard-response","33","183101","0.0-13.0-0.1","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5894","sequential-stimulus-presentation-old","34","189509","0.0-13.0-1.1","SS1626381541612","trial","","40","500","6394","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_13_A_a.gif","forced_short","140","","2","complex_dissimilar","images/stimuli/spore_stims/complex_13_A_a.gif","","","","",""
"","null","html-keyboard-response","35","190692","0.0-13.0-0.2","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","8718","sequential-stimulus-presentation-old","36","199919","0.0-13.0-1.2","SS1626381541612","trial","","40","500","9218","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_13_A_a.gif","forced_short","140","","2","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_b.gif","","","","",""
"","null","html-keyboard-response","37","200855","0.0-13.0-0.3","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5571","sequential-stimulus-presentation-old","38","206937","0.0-13.0-1.3","SS1626381541612","trial","","40","500","6071","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_13_A_a.gif","forced_short","140","","2","complex_dissimilar","images/stimuli/spore_stims/complex_13_A_a.gif","","","","",""
"","null","html-keyboard-response","39","208144","0.0-13.0-0.4","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6487","sequential-stimulus-presentation-old","40","215144","0.0-13.0-1.4","SS1626381541612","trial","","40","500","6987","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_13_A_a.gif","forced_short","140","","2","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_b.gif","","","","",""
"","2891","survey-multi-choice","41","218037","0.0-14.0","SS1626381541612","math_question","","","","","","","","","","","","","{""Q0"":""11""}","[0]","11","",""
"","null","html-keyboard-response","42","219256","0.0-15.0-0.0","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1859","sequential-stimulus-presentation-old","43","221801","0.0-15.0-1.0","SS1626381541612","trial","","40","500","2359","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_06_A_b.gif","forced_short","680","","3","complex_dissimilar","images/stimuli/spore_stims/complex_06_A_b.gif","","","","",""
"","null","html-keyboard-response","44","222958","0.0-15.0-0.1","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6009","sequential-stimulus-presentation-old","45","229478","0.0-15.0-1.1","SS1626381541612","trial","","40","500","6509","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_06_A_b.gif","forced_short","680","","3","complex_dissimilar","images/stimuli/spore_stims/complex_06_A_b.gif","","","","",""
