"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","rt","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","responses","question_order","memory_question_stimuli","memory_block_index","stimulus","block_number","block_type","stimulus_displayed","stimulus_left","stimulus_right"
"true","fullscreen","0","4416","0.0-0.0","SS1627326983998","","","","","","","","","","","","","","","","","","","","",""
"","instructions","1","20541","0.0-1.0","SS1627326983998","[{""page_index"":0,""viewing_time"":16120.700000047684}]","16122","","","","","","","","","","","","","","","","","","",""
"","instructions","2","41068","0.0-2.0","SS1627326983998","[{""page_index"":0,""viewing_time"":14285.599999964237},{""page_index"":1,""viewing_time"":4232.800000011921}]","18519","instructions","","","","","","","","","","","","","","","","","",""
"","stimuli-presentation","3","57957","0.0-3.0","SS1627326983998","","16380","","","40","500","16880","null","null","self_paced","0","","","","","","","","","",""
"","instructions","4","71121","0.0-4.0","SS1627326983998","[{""page_index"":0,""viewing_time"":13161.399999976158}]","13162.100000023842","instructions","","","","","","","","","","","","","","","","","",""
"","stimuli-presentation","5","80708","0.0-5.0","SS1627326983998","","9067.600000023842","","","40","500","9567.600000023842","null","null","forced_short","500","","","","","","","","","",""
"","stimuli-presentation","6","82549","0.0-6.0","SS1627326983998","","1336.4000000357628","","","40","500","1836.4000000357628","null","null","forced_short","500","","","","","","","","","",""
"","instructions","7","91444","0.0-7.0","SS1627326983998","[{""page_index"":0,""viewing_time"":8892.5}]","8893.300000011921","instructions","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","8","97016","0.0-8.0","SS1627326983998","","5566.900000035763","memory_test_practice","","","","","","","","","{""Q0"":""No""}","[0]","images/practice/instructions_example_spore2.gif","0","","","","","",""
"","survey-multi-choice","9","104589","0.0-9.0","SS1627326983998","","7569.600000023842","memory_test_practice","","","","","","","","","{""Q0"":""No""}","[0]","images/practice/instructions_example_spore0.gif","0","","","","","",""
"","instructions","10","328675","0.0-10.0","SS1627326983998","[{""page_index"":0,""viewing_time"":222330.5},{""page_index"":1,""viewing_time"":1751.4000000357628}]","224082.69999998808","instructions","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","329526","0.0-11.0-0.0","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","12","333627","0.0-11.0-1.0","SS1627326983998","","3573.100000023842","trial","","40","500","4073.100000023842","images/stimuli/complex_08_A_b.gif","images/stimuli/complex_02_A_b.gif","forced_short","520","","","","","","0","complex_dissimilar","images/stimuli/complex_02_A_b.gif","",""
"","html-keyboard-response","13","334741","0.0-11.0-0.1","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","14","345516","0.0-11.0-1.1","SS1627326983998","","10265.400000035763","trial","","40","500","10765.400000035763","images/stimuli/complex_08_A_b.gif","images/stimuli/complex_02_A_b.gif","forced_short","520","","","","","","0","complex_dissimilar","images/stimuli/complex_08_A_b.gif","",""
"","html-keyboard-response","15","346441","0.0-11.0-0.2","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","16","355257","0.0-11.0-1.2","SS1627326983998","","8309.399999976158","trial","","40","500","8809.399999976158","images/stimuli/complex_08_A_b.gif","images/stimuli/complex_02_A_b.gif","forced_short","520","","","","","","0","complex_dissimilar","images/stimuli/complex_02_A_b.gif","",""
"","html-keyboard-response","17","356414","0.0-11.0-0.3","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","18","361441","0.0-11.0-1.3","SS1627326983998","","4519.800000011921","trial","","40","500","5019.800000011921","images/stimuli/complex_08_A_b.gif","images/stimuli/complex_02_A_b.gif","forced_short","520","","","","","","0","complex_dissimilar","images/stimuli/complex_02_A_b.gif","",""
"","html-keyboard-response","19","362374","0.0-11.0-0.4","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","20","367828","0.0-11.0-1.4","SS1627326983998","","4935.899999976158","trial","","40","500","5435.899999976158","images/stimuli/complex_08_A_b.gif","images/stimuli/complex_02_A_b.gif","forced_short","520","","","","","","0","complex_dissimilar","images/stimuli/complex_02_A_b.gif","",""
"","html-keyboard-response","21","368831","0.0-11.0-0.5","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","22","374757","0.0-11.0-1.5","SS1627326983998","","5414.200000047684","trial","","40","500","5914.200000047684","images/stimuli/complex_08_A_b.gif","images/stimuli/complex_02_A_b.gif","forced_short","520","","","","","","0","complex_dissimilar","images/stimuli/complex_02_A_b.gif","",""
"","html-keyboard-response","23","375656","0.0-11.0-0.6","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","24","381046","0.0-11.0-1.6","SS1627326983998","","4884.199999988079","trial","","40","500","5384.199999988079","images/stimuli/complex_08_A_b.gif","images/stimuli/complex_02_A_b.gif","forced_short","520","","","","","","0","complex_dissimilar","images/stimuli/complex_08_A_b.gif","",""
"","survey-multi-choice","25","390285","0.0-12.0","SS1627326983998","","9237","memory_test","","","","","","","","","{""Q0"":""Yes""}","[0]","images/stimuli/complex_08_A_b.gif","0","","","","","",""
"","survey-multi-choice","26","394724","0.0-13.0","SS1627326983998","","4436.099999964237","memory_test","","","","","","","","","{""Q0"":""No""}","[0]","images/stimuli/complex_09_A_a.gif","0","","","","","",""
"","html-keyboard-response","27","395666","0.0-14.0-0.0","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","28","399429","0.0-14.0-1.0","SS1627326983998","","2901.2000000476837","trial","","40","500","3401.2000000476837","images/stimuli/complex_11_A_b.gif","images/stimuli/complex_12_A_b.gif","forced_short","850","","","","","","1","complex_dissimilar","images/stimuli/complex_12_A_b.gif","",""
"","html-keyboard-response","29","400345","0.0-14.0-0.1","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","30","407592","0.0-14.0-1.1","SS1627326983998","","6736.199999988079","trial","","40","500","7236.199999988079","images/stimuli/complex_11_A_b.gif","images/stimuli/complex_12_A_b.gif","forced_short","850","","","","","","1","complex_dissimilar","images/stimuli/complex_12_A_b.gif","",""
"","html-keyboard-response","31","408424","0.0-14.0-0.2","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","32","411255","0.0-14.0-1.2","SS1627326983998","","2312.099999964237","trial","","40","500","2812.099999964237","images/stimuli/complex_11_A_b.gif","images/stimuli/complex_12_A_b.gif","forced_short","850","","","","","","1","complex_dissimilar","images/stimuli/complex_12_A_b.gif","",""
"","html-keyboard-response","33","412115","0.0-14.0-0.3","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","34","414867","0.0-14.0-1.3","SS1627326983998","","2232.199999988079","trial","","40","500","2732.199999988079","images/stimuli/complex_11_A_b.gif","images/stimuli/complex_12_A_b.gif","forced_short","850","","","","","","1","complex_dissimilar","images/stimuli/complex_12_A_b.gif","",""
"","html-keyboard-response","35","415703","0.0-14.0-0.4","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","36","419711","0.0-14.0-1.4","SS1627326983998","","3495.899999976158","trial","","40","500","3995.899999976158","images/stimuli/complex_11_A_b.gif","images/stimuli/complex_12_A_b.gif","forced_short","850","","","","","","1","complex_dissimilar","images/stimuli/complex_11_A_b.gif","",""
"","html-keyboard-response","37","420871","0.0-14.0-0.5","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","38","422258","0.0-14.0-1.5","SS1627326983998","","874.8999999761581","trial","","40","500","1374.8999999761581","images/stimuli/complex_11_A_b.gif","images/stimuli/complex_12_A_b.gif","forced_short","850","","","","","","1","complex_dissimilar","images/stimuli/complex_12_A_b.gif","",""
"","survey-multi-choice","39","425649","0.0-15.0","SS1627326983998","","3387.099999964237","memory_test","","","","","","","","","{""Q0"":""Yes""}","[0]","images/stimuli/complex_12_A_b.gif","1","","","","","",""
"","survey-multi-choice","40","428700","0.0-16.0","SS1627326983998","","3047.399999976158","memory_test","","","","","","","","","{""Q0"":""No""}","[0]","images/stimuli/complex_19_A_a.gif","1","","","","","",""
"","html-keyboard-response","41","429879","0.0-17.0-0.0","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","42","431726","0.0-17.0-1.0","SS1627326983998","","1079.8999999761581","trial","","40","500","1579.8999999761581","images/stimuli/complex_03_A_b.gif","images/stimuli/complex_14_A_a.gif","forced_short","750","","","","","","2","complex_dissimilar","images/stimuli/complex_14_A_a.gif","",""
"","html-keyboard-response","43","432925","0.0-17.0-0.1","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","44","436569","0.0-17.0-1.1","SS1627326983998","","3135.800000011921","trial","","40","500","3635.800000011921","images/stimuli/complex_03_A_b.gif","images/stimuli/complex_14_A_a.gif","forced_short","750","","","","","","2","complex_dissimilar","images/stimuli/complex_14_A_a.gif","",""
