Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.choice_1,Answer.choice_10,Answer.choice_11,Answer.choice_12,Answer.choice_13,Answer.choice_14,Answer.choice_15,Answer.choice_16,Answer.choice_17,Answer.choice_18,Answer.choice_19,Answer.choice_2,Answer.choice_20,Answer.choice_3,Answer.choice_4,Answer.choice_5,Answer.choice_6,Answer.choice_7,Answer.choice_8,Answer.choice_9,Answer.comments,Answer.display.screenHeight,Answer.display.screenWidth,Answer.pic_0,Answer.pic_1,Answer.pic_10,Answer.pic_11,Answer.pic_12,Answer.pic_13,Answer.pic_14,Answer.pic_15,Answer.pic_16,Answer.pic_17,Answer.pic_18,Answer.pic_19,Answer.pic_2,Answer.pic_20,Answer.pic_21,Answer.pic_22,Answer.pic_23,Answer.pic_24,Answer.pic_25,Answer.pic_26,Answer.pic_27,Answer.pic_28,Answer.pic_29,Answer.pic_3,Answer.pic_30,Answer.pic_31,Answer.pic_32,Answer.pic_33,Answer.pic_34,Answer.pic_35,Answer.pic_36,Answer.pic_37,Answer.pic_38,Answer.pic_39,Answer.pic_4,Answer.pic_40,Answer.pic_41,Answer.pic_42,Answer.pic_43,Answer.pic_44,Answer.pic_45,Answer.pic_46,Answer.pic_47,Answer.pic_48,Answer.pic_49,Answer.pic_5,Answer.pic_50,Answer.pic_51,Answer.pic_52,Answer.pic_53,Answer.pic_54,Answer.pic_55,Answer.pic_56,Answer.pic_57,Answer.pic_58,Answer.pic_59,Answer.pic_6,Answer.pic_60,Answer.pic_61,Answer.pic_62,Answer.pic_63,Answer.pic_64,Answer.pic_65,Answer.pic_66,Answer.pic_67,Answer.pic_68,Answer.pic_69,Answer.pic_7,Answer.pic_70,Answer.pic_71,Answer.pic_72,Answer.pic_73,Answer.pic_74,Answer.pic_75,Answer.pic_76,Answer.pic_77,Answer.pic_78,Answer.pic_79,Answer.pic_8,Answer.pic_80,Answer.pic_81,Answer.pic_82,Answer.pic_83,Answer.pic_84,Answer.pic_85,Answer.pic_86,Answer.pic_87,Answer.pic_88,Answer.pic_89,Answer.pic_9,Answer.pic_90,Answer.pic_91,Answer.pic_92,Answer.pic_93,Answer.pic_94,Answer.pic_95,Answer.pic_96,Answer.pic_97,Answer.pic_98,Answer.pic_99,Answer.repic_1,Answer.repic_10,Answer.repic_11,Answer.repic_12,Answer.repic_13,Answer.repic_14,Answer.repic_15,Answer.repic_16,Answer.repic_17,Answer.repic_18,Answer.repic_19,Answer.repic_2,Answer.repic_20,Answer.repic_3,Answer.repic_4,Answer.repic_5,Answer.repic_6,Answer.repic_7,Answer.repic_8,Answer.repic_9,Answer.rt_0,Answer.rt_1,Answer.rt_10,Answer.rt_11,Answer.rt_12,Answer.rt_13,Answer.rt_14,Answer.rt_15,Answer.rt_16,Answer.rt_17,Answer.rt_18,Answer.rt_19,Answer.rt_2,Answer.rt_20,Answer.rt_21,Answer.rt_22,Answer.rt_23,Answer.rt_24,Answer.rt_25,Answer.rt_26,Answer.rt_27,Answer.rt_28,Answer.rt_29,Answer.rt_3,Answer.rt_30,Answer.rt_31,Answer.rt_32,Answer.rt_33,Answer.rt_34,Answer.rt_35,Answer.rt_36,Answer.rt_37,Answer.rt_38,Answer.rt_39,Answer.rt_4,Answer.rt_40,Answer.rt_41,Answer.rt_42,Answer.rt_43,Answer.rt_44,Answer.rt_45,Answer.rt_46,Answer.rt_47,Answer.rt_48,Answer.rt_49,Answer.rt_5,Answer.rt_50,Answer.rt_51,Answer.rt_52,Answer.rt_53,Answer.rt_54,Answer.rt_55,Answer.rt_56,Answer.rt_57,Answer.rt_58,Answer.rt_59,Answer.rt_6,Answer.rt_60,Answer.rt_61,Answer.rt_62,Answer.rt_63,Answer.rt_64,Answer.rt_65,Answer.rt_66,Answer.rt_67,Answer.rt_68,Answer.rt_69,Answer.rt_7,Answer.rt_70,Answer.rt_71,Answer.rt_72,Answer.rt_73,Answer.rt_74,Answer.rt_75,Answer.rt_76,Answer.rt_77,Answer.rt_78,Answer.rt_79,Answer.rt_8,Answer.rt_80,Answer.rt_81,Answer.rt_82,Answer.rt_83,Answer.rt_84,Answer.rt_85,Answer.rt_86,Answer.rt_87,Answer.rt_88,Answer.rt_89,Answer.rt_9,Answer.rt_90,Answer.rt_91,Answer.rt_92,Answer.rt_93,Answer.rt_94,Answer.rt_95,Answer.rt_96,Answer.rt_97,Answer.rt_98,Answer.rt_99,Approve,Reject
Psychology Experiment — Johns Hopkins University,Remember what you see! <10 minutes,"perception, experiment, psychology, survey, science, research",$0.70 ,Mon Apr 02 19:15:47 PDT 2018,120,BatchId:3178206;OriginalHitTemplateId:920937336;,3600,259200,Mon Apr 09 19:15:47 PDT 2018,,,3018Q3ZVOJ1I8JQXOZ1Q2H2ZH1HAR1,A3FHPIYGA20PBN,Submitted,Mon Apr 02 19:16:39 PDT 2018,Mon Apr 02 19:22:50 PDT 2018,Thu Apr 05 19:22:50 PDT 2018,,,,371,100% (1/1),100% (1/1),0% (0/0),0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,{},1080,1920,-36,22,-25,15,49,41,-45,-13,40,-9,10,44,9,-31,-41,-10,7,-38,-12,-17,-32,50,34,28,-16,-5,-21,-8,36,11,-37,46,-23,3,19,45,31,-11,2,35,-19,-1,-3,-50,-49,38,-28,20,-33,18,-39,37,-46,-35,8,1,17,33,16,47,-27,27,30,-24,-6,24,32,-4,48,-2,13,-34,-7,42,-29,-18,23,43,39,-30,-43,-44,-47,4,-20,-15,-26,25,-14,5,-42,29,-22,-48,12,-40,26,6,21,14,101,105,106,-35,24,-29,107,108,109,-44,-47,39,110,41,102,46,103,104,7,-28,9447,5072,5400,6776,3556,3705,3999,3094,3433,3441,7047,3427,4648,3416,3193,3679,2993,2201,2530,918,2421,3374,1885,3930,1223,944,2178,1416,986,2503,960,1799,1640,2059,3725,4256,3450,1953,2721,3327,2441,2724,4008,4037,2710,4663,3513,1515,5366,2944,1712,1047,1503,979,1030,1002,3769,985,2374,1255,2243,7969,1781,2901,1248,1491,2131,4191,1841,1030,1475,2100,3543,1177,1560,1541,1535,1135,5107,1024,1711,1507,3672,2441,1696,2030,1114,1859,1694,3627,1216,973,1142,1301,1460,1111,1094,858,914,829,,
Psychology Experiment — Johns Hopkins University,Remember what you see! <10 minutes,"perception, experiment, psychology, survey, science, research",$0.70 ,Mon Apr 02 19:15:47 PDT 2018,120,BatchId:3178206;OriginalHitTemplateId:920937336;,3600,259200,Mon Apr 09 19:15:47 PDT 2018,,,30MVJZJNHNON5CXFOOEH4V5O125J93,A2CQP9DZSDUC5V,Submitted,Mon Apr 02 19:20:08 PDT 2018,Mon Apr 02 19:29:26 PDT 2018,Thu Apr 05 19:29:26 PDT 2018,,,,558,100% (1/1),0% (0/0),0% (0/0),0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,{},768,1366,42,19,47,22,-31,6,-25,-17,-5,-18,16,-34,-7,-48,20,-16,1,46,-50,15,17,21,36,-3,-13,-11,3,-24,10,-38,25,-45,-4,44,23,-20,-28,-2,49,-9,27,-23,-30,-46,-33,-8,-1,28,-36,12,48,18,-41,-29,2,26,-35,11,33,38,29,9,-27,-10,30,32,-42,-12,39,-19,37,45,-40,-37,-44,7,24,-26,8,-32,-39,35,-21,4,31,-47,-14,34,41,-43,-49,40,13,14,-22,43,-6,5,-15,50,102,-20,106,-1,-40,33,107,108,110,41,40,22,109,-34,101,-50,3,104,103,105,5735,4395,4302,2947,3057,4192,3412,5978,23407,7533,39275,2455,4228,1789,1208,1091,1748,2093,2630,2144,1437,1270,1447,3774,1697,1444,1456,1302,2656,1424,1353,1543,1415,1284,3528,1457,1543,1995,2877,2402,1988,1805,1372,1560,2169,3039,1572,1422,194659,1686,1033,993,1103,1272,1005,901,2946,1531,986,969,913,1079,1033,863,14259,1104,945,3178,878,862,870,845,863,847,917,849,820,861,4080,969,623,1118,1178,2123,1659,1495,3037,1149,1103,4200,1321,1356,3839,3849,1233,1296,1779,2524,1760,1388,,
Psychology Experiment — Johns Hopkins University,Remember what you see! <10 minutes,"perception, experiment, psychology, survey, science, research",$0.70 ,Mon Apr 02 19:15:47 PDT 2018,120,BatchId:3178206;OriginalHitTemplateId:920937336;,3600,259200,Mon Apr 09 19:15:47 PDT 2018,,,30ZX6P7VF96C5SCG3FZ2U8XAVWV2JU,A1L030CL30QW2U,Submitted,Mon Apr 02 20:17:47 PDT 2018,Mon Apr 02 20:22:58 PDT 2018,Thu Apr 05 20:22:58 PDT 2018,,,,311,0% (0/0),0% (0/0),0% (0/0),1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,seemed to work okay.,768,1366,-45,46,-42,38,-11,-43,24,13,-34,-47,-18,-50,-21,-35,-36,30,-46,-2,36,-44,-49,9,-16,-40,20,21,40,41,49,-23,32,10,-17,11,-12,-27,43,16,6,2,4,8,26,-8,-28,-24,19,3,18,-15,25,28,27,1,14,-37,-32,-30,-1,-33,-9,35,-22,33,-3,42,39,50,-26,23,-10,34,44,-39,-41,-13,-6,5,17,-48,-25,-5,45,31,-14,-20,22,48,15,-31,29,-7,7,47,-4,12,-29,-38,37,-19,-18,16,18,105,108,23,107,-6,110,109,7,102,12,101,-32,104,103,-36,40,106,16299,2490,2265,1376,1564,1363,1484,1326,1651,1365,1156,1161,1151,2945,1222,1204,1040,975,1021,1055,1085,2558,1056,526,1046,1030,976,916,964,8499,1598,944,861,991,2173,2915,1507,1655,1129,1324,1160,847,842,842,817,1060,822,861,891,900,861,804,801,818,876,811,1382,3162,859,882,857,990,867,992,954,969,972,1534,958,959,887,966,962,933,1014,996,2107,1084,1759,2175,858,828,806,832,871,852,914,963,917,1538,934,948,970,1001,1056,942,956,957,892,912,,
Psychology Experiment — Johns Hopkins University,Remember what you see! <10 minutes,"perception, experiment, psychology, survey, science, research",$0.70 ,Mon Apr 02 19:15:47 PDT 2018,120,BatchId:3178206;OriginalHitTemplateId:920937336;,3600,259200,Mon Apr 09 19:15:47 PDT 2018,,,3137ONMDKHGU96YVOT90ZWEJ086EG8,A3S2R1NK6HZ9KP,Submitted,Mon Apr 02 19:55:48 PDT 2018,Mon Apr 02 20:02:05 PDT 2018,Thu Apr 05 20:02:05 PDT 2018,,,,377,0% (0/0),0% (0/0),0% (0/0),0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,{},900,1600,-19,-7,-37,-3,-4,41,-8,-40,26,36,-22,-39,48,-10,17,30,-20,42,-9,49,-18,-6,-26,5,-16,19,-50,2,6,29,-35,21,14,40,-21,16,37,-46,-29,10,25,-30,-38,24,12,-27,-44,-28,47,-45,3,33,27,31,-14,-11,8,-31,34,-49,50,-25,22,43,39,-36,20,1,-33,15,-17,-48,44,46,-34,-1,38,-41,7,11,-13,-42,-2,45,-15,-32,-43,18,9,-24,32,-5,4,23,-47,-23,-12,28,13,35,102,-38,105,106,107,108,-17,22,-42,109,110,7,28,101,41,103,104,-10,17,-46,10651,11156,1163,1050,1071,1917,873,1112,1028,1568,919,884,15629,2175,913,974,934,988,888,942,1371,1146,867,14572,801,617,568,616,1013,1808,986,992,1013,997,6729,2367,1693,1337,1181,1482,1727,1103,1262,1213,1126,6641,1042,944,1118,1263,1129,1002,1214,1028,1157,1114,8340,2172,1277,1069,1270,1170,1024,1080,1030,997,1064,3933,1045,1075,1008,1043,1019,973,986,899,1001,1138,1771,1715,957,963,895,942,930,1130,1012,1275,998,1671,1233,974,1279,966,1051,1043,1011,1125,1223,1736,,
Psychology Experiment — Johns Hopkins University,Remember what you see! <10 minutes,"perception, experiment, psychology, survey, science, research",$0.70 ,Mon Apr 02 19:15:47 PDT 2018,120,BatchId:3178206;OriginalHitTemplateId:920937336;,3600,259200,Mon Apr 09 19:15:47 PDT 2018,,,31HQ4X3T3TLB5HHE0FQL15N6XFZSLP,A3S6PRMBSV9S2F,Submitted,Mon Apr 02 19:19:10 PDT 2018,Mon Apr 02 19:32:02 PDT 2018,Thu Apr 05 19:32:02 PDT 2018,,,,772,0% (0/0),0% (0/0),0% (0/0),1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,Everything worked good.,1200,1920,-7,-13,25,-3,19,-21,-18,8,-14,40,-35,-45,-5,48,-46,15,50,28,46,12,-31,39,-22,5,-43,13,9,-33,-40,3,45,-37,14,-30,-12,4,-27,-50,20,-41,10,-2,33,-32,35,-26,38,17,-9,-34,-28,47,7,6,32,-25,-47,-15,-39,-44,27,11,-16,-8,-38,24,-6,29,-10,30,-1,-42,-4,42,21,34,-48,-11,41,49,-19,-17,31,37,-36,43,1,26,44,18,-23,36,22,-20,-24,16,-49,23,-29,2,40,105,-2,106,34,107,-10,108,-49,110,109,-47,22,101,102,46,103,104,-43,17,3151,3468,2999,2464,3728,3136,3174,3151,3895,4831,3478,3920,1951,2900,3023,2071,4370,4579,19109,3790,1919,11917,1759,2887,2735,4424,6345,1919,4112,3832,22582,3711,1744,2311,2064,11157,1800,15322,13921,2576,8040,5335,9453,2448,10187,2583,11807,5176,1639,1815,1408,5467,2615,4392,5374,1447,1920,5542,5622,1655,2632,9398,3789,2336,1792,5760,2583,3055,6487,12608,1687,1591,7386,4600,5767,8996,23155,2551,2567,5097,3336,2623,6353,8455,9543,18695,5204,12942,14094,4551,4024,4252,11095,3592,5643,5691,3249,3818,3533,3215,,
Psychology Experiment — Johns Hopkins University,Remember what you see! <10 minutes,"perception, experiment, psychology, survey, science, research",$0.70 ,Mon Apr 02 19:15:47 PDT 2018,120,BatchId:3178206;OriginalHitTemplateId:920937336;,3600,259200,Mon Apr 09 19:15:47 PDT 2018,,,31LM9EDVOM38UE19PYXMMW086RMNJ6,A1S3VIOXMGN0QN,Submitted,Mon Apr 02 19:18:41 PDT 2018,Mon Apr 02 19:23:11 PDT 2018,Thu Apr 05 19:23:11 PDT 2018,,,,270,100% (5/5),100% (3/3),0% (0/0),0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,{},1080,1920,48,-40,29,5,-50,31,19,-39,6,-24,-12,-11,44,35,14,-29,-17,-37,-34,-44,22,15,-18,-41,-33,32,-42,10,4,-46,23,-22,-35,-48,20,7,-6,42,-30,17,-25,40,-31,-21,38,2,-36,33,-20,-47,-8,18,-32,9,13,-38,-3,-45,24,49,34,46,-16,-49,16,-4,-2,-9,47,-7,-13,-28,27,8,-26,21,-19,30,-5,-27,-1,39,-23,50,41,-10,45,-15,25,36,37,12,1,43,26,-43,-14,3,11,28,101,105,-21,106,108,-7,-4,107,26,11,109,-41,110,102,48,4,10,104,103,-25,5832,4438,1736,1856,1548,1414,1253,1293,1278,1301,1527,1603,1728,2080,1084,1383,998,814,1206,1269,2488,1151,1170,1470,1144,1198,1046,1252,1174,1159,942,1126,1093,1142,1854,1785,1034,1081,1118,1021,1044,1150,982,1127,1005,1912,1320,1116,1061,1030,869,990,997,876,960,1101,1542,2393,1658,1169,1173,1735,1337,1716,1617,1284,1300,1158,1311,1428,1445,1286,1303,1302,1343,1430,1829,1333,1525,3482,1186,1095,1086,1237,1127,1093,1167,1374,1167,2214,1471,1175,1187,1830,744,1813,2162,4532,2501,3999,,
Psychology Experiment — Johns Hopkins University,Remember what you see! <10 minutes,"perception, experiment, psychology, survey, science, research",$0.70 ,Mon Apr 02 19:15:47 PDT 2018,120,BatchId:3178206;OriginalHitTemplateId:920937336;,3600,259200,Mon Apr 09 19:15:47 PDT 2018,,,31QTRG6Q2UOYSO8LRDBH08KRJAWPYY,A18GOA3I4G5G98,Submitted,Mon Apr 02 19:17:29 PDT 2018,Mon Apr 02 19:26:02 PDT 2018,Thu Apr 05 19:26:02 PDT 2018,,,,513,0% (0/0),0% (0/0),0% (0/0),0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,"The page loaded a little oddly, with the instructions appearing behind the shapes.",900,1440,-50,-5,15,42,-33,50,-35,6,-16,-37,35,-8,9,-21,-1,28,19,-11,-9,-43,46,31,-38,-29,8,25,26,48,16,4,-10,-20,30,-4,-34,23,-40,-26,40,38,-24,-2,1,-48,-27,-41,-3,14,7,-42,45,-47,39,-7,-18,-17,-15,5,36,13,49,27,11,37,32,-14,-46,-12,18,24,-23,41,-28,44,-6,-49,33,-19,-25,21,47,-13,10,-22,-44,-32,-45,2,22,17,12,3,-31,-36,20,-39,43,34,29,-30,102,-17,105,106,108,44,107,-28,110,29,-39,-29,109,-25,101,104,28,103,-11,45,9049,8613,4127,5327,4240,3591,3974,5239,3957,3966,4104,3607,4872,3828,1734,3279,4278,2823,2583,2045,2344,3103,2527,3094,2335,2621,2206,3304,2519,2654,1743,1695,2551,1919,5575,2726,1864,3183,3071,3343,3269,2390,2151,2374,3207,6855,2272,3287,2527,2272,2224,2183,2215,2871,2864,2263,8582,2728,1646,1935,2360,2351,3192,2560,3015,1887,2246,8263,2391,2328,2544,1847,1256,1424,1279,1416,2079,1799,4414,6016,3119,3487,2655,2328,2440,1614,1535,2255,2008,3599,2111,2167,1997,2327,3103,2567,3064,1847,1800,2222,,
Psychology Experiment — Johns Hopkins University,Remember what you see! <10 minutes,"perception, experiment, psychology, survey, science, research",$0.70 ,Mon Apr 02 19:15:47 PDT 2018,120,BatchId:3178206;OriginalHitTemplateId:920937336;,3600,259200,Mon Apr 09 19:15:47 PDT 2018,,,32M8BPYGAUX6PB0HKCZRKBCBS0BIGH,A2R0Y8A3SSZ30S,Submitted,Mon Apr 02 19:17:36 PDT 2018,Mon Apr 02 19:22:57 PDT 2018,Thu Apr 05 19:22:57 PDT 2018,,,,321,100% (1/1),0% (0/0),0% (0/0),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,{},768,1366,-4,-41,32,3,-2,16,-49,17,-36,40,38,-8,41,9,-11,-3,6,-5,-20,23,-28,11,-26,18,-48,-43,27,46,-15,44,-10,19,25,36,13,-33,-39,-18,28,-24,15,22,-13,-23,-40,21,29,14,45,-1,-42,48,24,5,-34,-19,-31,39,-46,-29,47,-30,-14,50,42,37,-25,-9,-17,20,-6,-50,-37,-22,35,-16,-12,-45,-7,10,-21,30,-27,-47,31,1,7,34,43,8,12,2,4,33,-32,-35,-44,49,-38,26,102,-33,106,45,108,20,107,-17,109,7,110,41,34,18,101,104,23,25,103,105,11140,2286,3671,1730,1521,1827,1919,3109,3977,2388,2443,3715,1447,5050,1219,1311,2178,1678,3541,1779,1412,1689,1661,1642,1390,1430,2069,1706,1242,1737,1382,2077,1954,2523,3138,2357,1725,1483,1878,1707,2194,4098,2084,1430,2166,4604,2130,1675,2304,1386,1666,2187,1953,3322,1301,1226,3929,7570,3940,1281,1422,1724,1144,1750,1476,1510,1137,2043,1243,1727,1123,2419,1091,1114,1914,1469,1204,1675,3328,1224,4931,1636,3289,1142,1587,1606,1180,1531,1611,3387,1114,1606,2009,1529,1078,1256,1418,1805,1064,1950,,
Psychology Experiment — Johns Hopkins University,Remember what you see! <10 minutes,"perception, experiment, psychology, survey, science, research",$0.70 ,Mon Apr 02 19:15:47 PDT 2018,120,BatchId:3178206;OriginalHitTemplateId:920937336;,3600,259200,Mon Apr 09 19:15:47 PDT 2018,,,3300DTYQT3SLMVS9RPECTAIL6UDQEB,AM0QVBV8L6QCJ,Submitted,Mon Apr 02 19:18:48 PDT 2018,Mon Apr 02 19:23:26 PDT 2018,Thu Apr 05 19:23:26 PDT 2018,,,,278,67% (2/3),0% (0/0),0% (0/0),0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,{},704,1247,23,50,43,3,29,46,-29,27,-42,-18,42,-1,-5,-27,18,-15,2,22,-48,-31,-28,-41,21,36,-40,24,-50,-4,-3,-19,-36,48,14,10,28,-10,-37,-30,-13,-47,-39,13,32,26,-38,-46,40,37,-44,1,31,45,-2,47,-34,-35,49,-49,34,-20,20,35,-6,17,-43,-14,-12,-24,-7,-17,25,7,41,-11,44,16,30,-21,-32,12,11,5,15,19,-33,-26,39,6,9,-8,38,4,33,-23,-22,-9,8,-16,-25,-45,102,40,106,105,107,-17,44,108,19,110,-25,-8,109,101,-24,103,-28,104,-27,-44,2750,3192,968,1820,1216,886,1110,1056,660,862,1108,916,1688,3066,1078,852,932,972,944,850,796,964,1044,1558,1036,1014,980,1064,888,886,916,944,918,964,1640,676,848,1902,822,840,822,832,910,884,860,1498,1046,916,852,916,1036,1120,1008,942,970,846,1248,632,1418,780,1014,808,894,886,904,934,814,962,854,846,806,854,902,724,840,840,726,754,1100,1116,1062,1062,932,882,930,1002,848,880,788,1276,840,830,848,874,796,840,902,740,938,912,,
Psychology Experiment — Johns Hopkins University,Remember what you see! <10 minutes,"perception, experiment, psychology, survey, science, research",$0.70 ,Mon Apr 02 19:15:47 PDT 2018,120,BatchId:3178206;OriginalHitTemplateId:920937336;,3600,259200,Mon Apr 09 19:15:47 PDT 2018,,,33IZTU6J82C65BY3EYT9CZIT4O9XSG,A2V2DBS6NCSIQP,Submitted,Mon Apr 02 19:19:17 PDT 2018,Mon Apr 02 19:27:51 PDT 2018,Thu Apr 05 19:27:51 PDT 2018,,,,514,0% (0/0),0% (0/0),0% (0/0),0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,I suggest that the picture be lower; it's too high up at the top of the page,768,1366,-50,24,-4,-2,-11,16,19,-15,39,18,-16,33,-44,-48,21,-25,-40,-33,49,-29,46,42,10,20,-17,-49,-5,43,-26,5,-37,-13,-20,-14,36,25,38,-7,1,-28,-18,15,2,6,-1,4,-9,30,-10,-8,13,-45,-31,47,26,-12,-23,14,29,8,-30,-46,40,22,31,45,35,-36,-24,34,23,9,-35,-38,-47,-34,12,-6,32,17,3,-32,-3,-19,-21,37,-39,44,-43,-41,41,28,27,7,48,-42,11,50,-22,-27,33,106,-12,-9,108,40,107,8,-22,37,110,101,109,18,102,104,-49,103,-13,105,10777,3814,4536,1923,1692,5080,12547,2608,4973,6082,2094,8877,3762,4753,5910,5971,3021,4750,7165,2982,3061,3528,5995,5153,2871,5524,1782,4369,3516,2407,1838,1201,1510,1335,6902,3183,2726,1506,3085,1574,1604,2502,2289,2190,1265,6656,1334,3835,1421,1308,1828,1144,1447,1541,1740,1157,3058,3356,8835,2071,2204,1454,3514,1545,1457,1807,1944,3511,1318,1987,1993,1816,1364,1551,1647,1574,1485,1487,4766,2698,2493,1194,1089,1369,1680,5564,6423,3011,1356,2356,2098,1479,2060,3172,1436,1213,1567,1793,1265,1302,,
