view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,stimulus_type,trial_stimulus,key_press,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,stimulus,block_number,block_type,stimulus_displayed,responses,question_order,math_correct_answer,stimulus_left,stimulus_right
"[{""page_index"":0,""viewing_time"":2852.4150000303052}]",2853.0449999962,instructions,0,2856,0.0-0.0,SS1618006284382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[{""page_index"":0,""viewing_time"":8375.895000004675},{""page_index"":1,""viewing_time"":3594.7199999936856}]",11971.004999999423,instructions,1,16835,0.0-1.0,SS1618006284382,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4575.920000032056,sequential-stimulus-presentation-old,2,21920,0.0-2.0,SS1618006284382,NA,NA,40,500,5075.920000032056,null,null,self_paced,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,400.7850000052713,sequential-stimulus-presentation-old,3,22824,0.0-3.0,SS1618006284382,NA,NA,40,500,900.7850000052713,null,null,self_paced,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[{""page_index"":0,""viewing_time"":17968.77500001574}]",17969.15500005707,instructions,4,40795,0.0-4.0,SS1618006284382,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1591.8499999679625,sequential-stimulus-presentation-old,5,47395,0.0-5.0,SS1618006284382,NA,NA,40,500,2091.8499999679625,null,null,forced_long,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,7440.8800000092015,sequential-stimulus-presentation-old,6,54889,0.0-6.0,SS1618006284382,NA,NA,40,50,7490.8800000092015,null,null,forced_long,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[{""page_index"":0,""viewing_time"":2367.614999995567}]",2367.9799999808893,instructions,7,57258,0.0-7.0,SS1618006284382,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[{""page_index"":0,""viewing_time"":6799.385000020266},{""page_index"":1,""viewing_time"":3962.645000021439},{""page_index"":2,""viewing_time"":5922.870000009425},{""page_index"":3,""viewing_time"":1156.429999973625},{""page_index"":4,""viewing_time"":1100.4650000249967}]",18942.195000010543,instructions,8,76202,0.0-8.0,SS1618006284382,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,null,html-keyboard-response,9,77067,0.0-9.0-0.0,SS1618006284382,NA,NA,null,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA
NA,3763.5100000188686,sequential-stimulus-presentation-old,10,80886,0.0-9.0-1.0,SS1618006284382,trial,NA,40,500,4263.510000018869,images/stimuli/spore_stims/complex_05_A_b.gif,images/stimuli/spore_stims/complex_02_A_a.gif,forced_short,NA,0,complex_dissimilar,images/stimuli/spore_stims/complex_02_A_a.gif,NA,NA,NA,NA,NA
NA,null,html-keyboard-response,11,82028,0.0-9.0-0.1,SS1618006284382,NA,NA,null,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA
NA,12887.2599999886,sequential-stimulus-presentation-old,12,95423,0.0-9.0-1.1,SS1618006284382,trial,NA,40,500,13387.2599999886,images/stimuli/spore_stims/complex_05_A_b.gif,images/stimuli/spore_stims/complex_02_A_a.gif,forced_short,NA,0,complex_dissimilar,images/stimuli/spore_stims/complex_02_A_a.gif,NA,NA,NA,NA,NA
NA,null,html-keyboard-response,13,96492,0.0-9.0-0.2,SS1618006284382,NA,NA,null,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA
NA,8576.939999999013,sequential-stimulus-presentation-old,14,105576,0.0-9.0-1.2,SS1618006284382,trial,NA,40,500,9076.939999999013,images/stimuli/spore_stims/complex_05_A_b.gif,images/stimuli/spore_stims/complex_02_A_a.gif,forced_short,NA,0,complex_dissimilar,images/stimuli/spore_stims/complex_05_A_b.gif,NA,NA,NA,NA,NA
NA,null,html-keyboard-response,15,106653,0.0-9.0-0.3,SS1618006284382,NA,NA,null,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA
