subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,exposure_type,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1619113880904,0,simple_dissimilar,1,background,background,simple,simple_14_A,3566.095000001951,self_paced,first half,0,background,NA,NA
SS1619113880904,0,simple_dissimilar,2,background,background,simple,simple_14_A,737.1899999998277,self_paced,first half,0,background,NA,NA
SS1619113880904,0,simple_dissimilar,3,background,background,simple,simple_14_A,745.6700000038836,self_paced,first half,0,background,NA,NA
SS1619113880904,0,simple_dissimilar,4,background,background,simple,simple_14_A,1230.714999997872,self_paced,first half,0,background,NA,NA
SS1619113880904,0,simple_dissimilar,5,background,background,simple,simple_14_A,1128.5700000007637,self_paced,first half,0,background,NA,NA
SS1619113880904,0,simple_dissimilar,6,background,background,simple,simple_14_A,278.10999999928754,self_paced,first half,0,background,NA,NA
SS1619113880904,1,complex_dissimilar,1,background,background,complex,complex_14_A,837.1049999987008,forced_long,first half,0,background,NA,NA
SS1619113880904,1,complex_dissimilar,2,background,background,complex,complex_14_A,3474.9250000022585,forced_long,first half,0,background,NA,NA
SS1619113880904,1,complex_dissimilar,3,background,background,complex,complex_14_A,801.6349999961676,forced_long,first half,0,background,NA,NA
SS1619113880904,1,complex_dissimilar,4,background,background,complex,complex_14_A,1046.3799999997718,forced_long,first half,0,background,NA,NA
SS1619113880904,2,simple_dissimilar,1,background,background,simple,simple_15_A,935.509999995702,forced_long,first half,1,background,4,NA
SS1619113880904,2,simple_dissimilar,2,background,background,simple,simple_15_A,1055.9100000100443,forced_long,first half,1,background,4,NA
SS1619113880904,2,simple_dissimilar,3,background,background,simple,simple_15_A,280.57000000262633,forced_long,first half,1,background,4,NA
SS1619113880904,2,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_05_A,1157.7050000050804,forced_long,first half,1,first_deviant,4,NA
SS1619113880904,2,simple_dissimilar,5,background,background,simple,simple_15_A,306.7449999944074,forced_long,first half,1,background,4,NA
SS1619113880904,2,simple_dissimilar,6,background,background,simple,simple_15_A,28.065000005881302,forced_long,first half,1,background,4,NA
SS1619113880904,3,complex_dissimilar,1,background,background,complex,complex_16_A,515.2499999967404,forced_long,first half,0,background,NA,NA
SS1619113880904,3,complex_dissimilar,2,background,background,complex,complex_16_A,601.3899999961723,forced_long,first half,0,background,NA,NA
SS1619113880904,3,complex_dissimilar,3,background,background,complex,complex_16_A,1796.3999999919906,forced_long,first half,0,background,NA,NA
SS1619113880904,3,complex_dissimilar,4,background,background,complex,complex_16_A,1830.245000004652,forced_long,first half,0,background,NA,NA
SS1619113880904,4,simple_dissimilar,1,background,background,simple,simple_17_A,623.2949999975972,forced_long,first half,0,background,NA,NA
SS1619113880904,4,simple_dissimilar,2,background,background,simple,simple_17_A,2086.5349999949103,forced_long,first half,0,background,NA,NA
SS1619113880904,4,simple_dissimilar,3,background,background,simple,simple_17_A,89.61000000999775,forced_long,first half,0,background,NA,NA
