"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer"
"[{""page_index"":0,""viewing_time"":1581.899999990128}]","1582.2800000023562","instructions","0","1584","0.0-0.0","SS1619114492538","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2775.824999989709},{""page_index"":1,""viewing_time"":2663.7850000115577}]","5439.859999984037","instructions","1","9031","0.0-1.0","SS1619114492538","instructions","","","","","","","","","","","","","",""
"","2351.330000004964","sequential-stimulus-presentation-old","2","11893","0.0-2.0","SS1619114492538","","","40","500","2851.330000004964","null","null","self_paced","","","","","","",""
"","1694.6400000015274","sequential-stimulus-presentation-old","3","14101","0.0-3.0","SS1619114492538","","","40","500","2194.6400000015274","null","null","self_paced","","","","","","",""
"[{""page_index"":0,""viewing_time"":5768.710000003921}]","5768.920000002254","instructions","4","19871","0.0-4.0","SS1619114492538","instructions","","","","","","","","","","","","","",""
"","427.84499999834225","sequential-stimulus-presentation-old","5","30301","0.0-5.0","SS1619114492538","","","40","500","927.8449999983422","null","null","forced_long","","","","","","",""
"","1752.0350000122562","sequential-stimulus-presentation-old","6","32156","0.0-6.0","SS1619114492538","","","40","500","2252.035000012256","null","null","forced_long","","","","","","",""
"[{""page_index"":0,""viewing_time"":2017.2250000177883}]","2017.5100000051316","instructions","7","34175","0.0-7.0","SS1619114492538","instructions","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2854.2599999927916},{""page_index"":1,""viewing_time"":3072.0649999857415},{""page_index"":2,""viewing_time"":3656.010000006063},{""page_index"":3,""viewing_time"":1111.9950000138488},{""page_index"":4,""viewing_time"":831.9899999769405}]","11526.675000000978","instructions","8","45703","0.0-8.0","SS1619114492538","instructions","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","46652","0.0-9.0-0.0","SS1619114492538","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","1691.225000016857","sequential-stimulus-presentation-old","10","48852","0.0-9.0-1.0","SS1619114492538","trial","","40","500","2191.225000016857","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_18_A_b.gif","self_paced","","0","complex_dissimilar","images/stimuli/spore_stims/complex_18_A_b.gif","","",""
"","null","html-keyboard-response","11","49805","0.0-9.0-0.1","SS1619114492538","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","385.11999999172986","sequential-stimulus-presentation-old","12","50700","0.0-9.0-1.1","SS1619114492538","trial","","40","500","885.1199999917299","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_18_A_b.gif","self_paced","","0","complex_dissimilar","images/stimuli/spore_stims/complex_18_A_b.gif","","",""
"","null","html-keyboard-response","13","51774","0.0-9.0-0.2","SS1619114492538","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","181.44500002381392","sequential-stimulus-presentation-old","14","52460","0.0-9.0-1.2","SS1619114492538","trial","","40","500","681.4450000238139","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_18_A_b.gif","self_paced","","0","complex_dissimilar","images/stimuli/spore_stims/complex_18_A_b.gif","","",""
"","null","html-keyboard-response","15","53466","0.0-9.0-0.3","SS1619114492538","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","829.0649999980815","sequential-stimulus-presentation-old","16","54804","0.0-9.0-1.3","SS1619114492538","trial","","40","500","1329.0649999980815","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_18_A_b.gif","self_paced","","0","complex_dissimilar","images/stimuli/spore_stims/complex_18_A_b.gif","","",""
"","null","html-keyboard-response","17","56042","0.0-9.0-0.4","SS1619114492538","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","538.5499999974854","sequential-stimulus-presentation-old","18","57083","0.0-9.0-1.4","SS1619114492538","trial","","40","500","1038.5499999974854","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_18_A_b.gif","self_paced","","0","complex_dissimilar","images/stimuli/spore_stims/complex_18_A_b.gif","","",""
"","1790.8999999926891","survey-multi-choice","19","58878","0.0-10.0","SS1619114492538","math_question","","","","","","","","","","","","{""Q0"":""13""}","[0]","13"
"","null","html-keyboard-response","20","59788","0.0-11.0-0.0","SS1619114492538","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
