"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":3752.6200000429526}]","3752.809999976307","instructions","0","3754","0.0-0.0","SS1619114653813","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9908.22000009939},{""page_index"":1,""viewing_time"":4338.809999986552}]","14247.170000104234","instructions","1","20008","0.0-1.0","SS1619114653813","instructions","","","","","","","","","","","","","","","",""
"","3851.014999905601","sequential-stimulus-presentation-old","2","24361","0.0-2.0","SS1619114653813","","","40","500","4351.014999905601","null","null","self_paced","","","","","","","","",""
"","2500.6150000263005","sequential-stimulus-presentation-old","3","27369","0.0-3.0","SS1619114653813","","","40","500","3000.6150000263005","null","null","self_paced","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":13603.58500003349}]","13603.759999969043","instructions","4","40973","0.0-4.0","SS1619114653813","instructions","","","","","","","","","","","","","","","",""
"","672.5599999772385","sequential-stimulus-presentation-old","5","51648","0.0-5.0","SS1619114653813","","","40","500","1172.5599999772385","null","null","forced_long","","","","","","","","",""
"","2091.2699999753386","sequential-stimulus-presentation-old","6","53841","0.0-6.0","SS1619114653813","","","40","500","2591.2699999753386","null","null","forced_long","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3008.8300000643358}]","3008.960000006482","instructions","7","56850","0.0-7.0","SS1619114653813","instructions","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7822.539999964647},{""page_index"":1,""viewing_time"":6696.8800000613555},{""page_index"":2,""viewing_time"":3883.090000017546},{""page_index"":3,""viewing_time"":1367.4449999816716},{""page_index"":4,""viewing_time"":982.895000022836}]","20752.979999990202","instructions","8","77604","0.0-8.0","SS1619114653813","instructions","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","78415","0.0-9.0-0.0","SS1619114653813","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1777.2499999264255","sequential-stimulus-presentation-old","10","80698","0.0-9.0-1.0","SS1619114653813","trial","","40","500","2277.2499999264255","images/stimuli/spore_stims/simple_12_A_a.gif","images/stimuli/spore_stims/simple_08_A_b.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_08_A_b.gif","","","","",""
"","null","html-keyboard-response","11","81793","0.0-9.0-0.1","SS1619114653813","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","201.85499999206513","sequential-stimulus-presentation-old","12","82497","0.0-9.0-1.1","SS1619114653813","trial","","40","500","701.8549999920651","images/stimuli/spore_stims/simple_12_A_a.gif","images/stimuli/spore_stims/simple_08_A_b.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_12_A_a.gif","","","","",""
"","null","html-keyboard-response","13","83559","0.0-9.0-0.2","SS1619114653813","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","410.3250000625849","sequential-stimulus-presentation-old","14","84472","0.0-9.0-1.2","SS1619114653813","trial","","40","500","910.3250000625849","images/stimuli/spore_stims/simple_12_A_a.gif","images/stimuli/spore_stims/simple_08_A_b.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_12_A_a.gif","","","","",""
"","null","html-keyboard-response","15","85528","0.0-9.0-0.3","SS1619114653813","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","760.9800000209361","sequential-stimulus-presentation-old","16","86793","0.0-9.0-1.3","SS1619114653813","trial","","40","500","1260.9800000209361","images/stimuli/spore_stims/simple_12_A_a.gif","images/stimuli/spore_stims/simple_08_A_b.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_08_A_b.gif","","","","",""
"","3454.6550000086427","survey-multi-choice","17","90249","0.0-10.0","SS1619114653813","math_question","","","","","","","","","","","","{""Q0"":""14""}","[0]","14","",""
"","null","html-keyboard-response","18","91229","0.0-11.0-0.0","SS1619114653813","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","696.8000000342727","sequential-stimulus-presentation-old","19","92033","0.0-11.0-1.0","SS1619114653813","trial","","40","500","1196.8000000342727","images/stimuli/spore_stims/complex_09_A_a.gif","images/stimuli/spore_stims/complex_18_A_b.gif","forced_short","","1","complex_dissimilar","images/stimuli/spore_stims/complex_18_A_b.gif","","","","",""
"","null","html-keyboard-response","20","93242","0.0-11.0-0.1","SS1619114653813","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","113.95000002812594","sequential-stimulus-presentation-old","21","93859","0.0-11.0-1.1","SS1619114653813","trial","","40","500","613.9500000281259","images/stimuli/spore_stims/complex_09_A_a.gif","images/stimuli/spore_stims/complex_18_A_b.gif","forced_short","","1","complex_dissimilar","images/stimuli/spore_stims/complex_18_A_b.gif","","","","",""
"","null","html-keyboard-response","22","94726","0.0-11.0-0.2","SS1619114653813","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2253.4799999557436","sequential-stimulus-presentation-old","23","97482","0.0-11.0-1.2","SS1619114653813","trial","","40","500","2753.4799999557436","images/stimuli/spore_stims/complex_09_A_a.gif","images/stimuli/spore_stims/complex_18_A_b.gif","forced_short","","1","complex_dissimilar","images/stimuli/spore_stims/complex_18_A_b.gif","","","","",""
"","null","html-keyboard-response","24","98539","0.0-11.0-0.3","SS1619114653813","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","687.1449999744073","sequential-stimulus-presentation-old","25","99730","0.0-11.0-1.3","SS1619114653813","trial","","40","500","1187.1449999744073","images/stimuli/spore_stims/complex_09_A_a.gif","images/stimuli/spore_stims/complex_18_A_b.gif","forced_short","","1","complex_dissimilar","images/stimuli/spore_stims/complex_18_A_b.gif","","","","",""
"","null","html-keyboard-response","26","100637","0.0-11.0-0.4","SS1619114653813","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","484.96499995235354","sequential-stimulus-presentation-old","27","101624","0.0-11.0-1.4","SS1619114653813","trial","","40","500","984.9649999523535","images/stimuli/spore_stims/complex_09_A_a.gif","images/stimuli/spore_stims/complex_18_A_b.gif","forced_short","","1","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","","","","",""
"","2741.6850000154227","survey-multi-choice","28","104366","0.0-12.0","SS1619114653813","math_question","","","","","","","","","","","","{""Q0"":""7""}","[0]","7","",""
"","null","html-keyboard-response","29","105435","0.0-13.0-0.0","SS1619114653813","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
