"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":1077}]","1077","instructions","0","1079","0.0-0.0","SS1619125642562","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":31017},{""page_index"":1,""viewing_time"":42006}]","73023","instructions","1","76108","0.0-1.0","SS1619125642562","instructions","","","","","","","","","","","","","","","",""
"","22256","sequential-stimulus-presentation-old","2","98877","0.0-2.0","SS1619125642562","","","40","500","22756","null","null","self_paced","","","","","","","","",""
"","11815","sequential-stimulus-presentation-old","3","111206","0.0-3.0","SS1619125642562","","","40","500","12315","null","null","self_paced","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":21972}]","21972","instructions","4","133179","0.0-4.0","SS1619125642562","instructions","","","","","","","","","","","","","","","",""
"","3493","sequential-stimulus-presentation-old","5","146678","0.0-5.0","SS1619125642562","","","40","500","3993","null","null","forced_long","","","","","","","","",""
"","15050","sequential-stimulus-presentation-old","6","161846","0.0-6.0","SS1619125642562","","","40","500","15550","null","null","forced_long","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2310}]","2310","instructions","7","164156","0.0-7.0","SS1619125642562","instructions","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":12301},{""page_index"":1,""viewing_time"":18234},{""page_index"":2,""viewing_time"":31737},{""page_index"":3,""viewing_time"":1387},{""page_index"":4,""viewing_time"":1635}]","65294","instructions","8","229451","0.0-8.0","SS1619125642562","instructions","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","230626","0.0-9.0-0.0","SS1619125642562","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","644","sequential-stimulus-presentation-old","10","241286","0.0-9.0-1.0","SS1619125642562","trial","","40","500","1144","images/stimuli/spore_stims/complex_20_A_a.gif","images/stimuli/spore_stims/complex_01_A_b.gif","forced_long","","0","complex_dissimilar","images/stimuli/spore_stims/complex_01_A_b.gif","","","","",""
"","null","html-keyboard-response","11","242195","0.0-9.0-0.1","SS1619125642562","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2412","sequential-stimulus-presentation-old","12","245117","0.0-9.0-1.1","SS1619125642562","trial","","40","500","2912","images/stimuli/spore_stims/complex_20_A_a.gif","images/stimuli/spore_stims/complex_01_A_b.gif","forced_long","","0","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_a.gif","","","","",""
"","null","html-keyboard-response","13","245946","0.0-9.0-0.2","SS1619125642562","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","82","sequential-stimulus-presentation-old","14","246542","0.0-9.0-1.2","SS1619125642562","trial","","40","500","582","images/stimuli/spore_stims/complex_20_A_a.gif","images/stimuli/spore_stims/complex_01_A_b.gif","forced_long","","0","complex_dissimilar","images/stimuli/spore_stims/complex_01_A_b.gif","","","","",""
"","null","html-keyboard-response","15","247525","0.0-9.0-0.3","SS1619125642562","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","9063","sequential-stimulus-presentation-old","16","257109","0.0-9.0-1.3","SS1619125642562","trial","","40","500","9563","images/stimuli/spore_stims/complex_20_A_a.gif","images/stimuli/spore_stims/complex_01_A_b.gif","forced_long","","0","complex_dissimilar","images/stimuli/spore_stims/complex_01_A_b.gif","","","","",""
