subject,age,ethnicity,gender,education
SS1626380790586,19,White,Male,Bachelor's Degree
SS1626380840434,20,White,Male,Bachelor's Degree
SS1626381126553,25,White,Male,Bachelor's Degree
SS1626381244493,56,White,Female,Bachelor's Degree
SS1626381284997,18,White,Male,Some high school
SS1626381306980,31,White,Male,Master's Degree
SS1626381397130,26,White,Female,Bachelor's Degree
SS1626381466576,19,White,Male,Bachelor's Degree
SS1626381467446,25,Asian,Male,Bachelor's Degree
SS1626381513834,28,Other,Male,High school diploma
SS1626381541612,26,White,Female,High school diploma
SS1626381599027,21,White,Male,Bachelor's Degree
SS1626381650087,20,White,Male,Associate Degree/Technical certification
SS1626381675438,40,White,Female,High school diploma
SS1626381692895,30,White,Male,Master's Degree
SS1626381764736,38,White,Male,Some high school
SS1626381804513,34,White,Female,Master's Degree
SS1626381841051,22,Black or African American,Female,Associate Degree/Technical certification
SS1626381910918,42,White,Female,Doctorate/Professional degree
SS1626381941156,44,White,Male,Doctorate/Professional degree
SS1626381992141,20,White,Male,Associate Degree/Technical certification
SS1626382038746,22,White,Male,Bachelor's Degree
SS1626382039079,23,Black or African American,Female,Associate Degree/Technical certification
SS1626382058454,24,White,Female,Bachelor's Degree
SS1626382103502,25,White,Female,Master's Degree
SS1626382106439,26,White,Female,High school diploma
SS1626382122575,18,White,Male,Some high school
SS1626382191949,24,Black or African American,Female,Bachelor's Degree
SS1626382196338,20,Black or African American,Female,High school diploma
SS1626382220563,29,Asian,Male,Master's Degree
SS1626382223423,21,White,Female,Some high school
SS1626382244031,27,Asian,Female,Master's Degree
SS1626382290814,18,American Indian or Alaska Native,Male,High school diploma
SS1626382307970,24,White,Male,Bachelor's Degree
SS1626382337630,21,White,Male,Bachelor's Degree
SS1626382353111,20,Other,Male,High school diploma
SS1626382363430,30,White,Female,Bachelor's Degree
SS1626382373896,22,Asian,Male,Bachelor's Degree
SS1626382385393,31,Asian,Male,Bachelor's Degree
SS1626382404830,20,Hispanic or Latino,Female,Bachelor's Degree
SS1626382410856,20,Black or African American,Female,High school diploma
SS1626382466783,26,Other,Female,Bachelor's Degree
SS1626382469344,18,White,Male,Bachelor's Degree
SS1626382482241,21,Asian,Male,High school diploma
SS1626382494330,20,White,Male,High school diploma
SS1626382505197,30,White,Female,Master's Degree
SS1626382509754,18,White,Male,Some high school
SS1626382557148,19,White,Male,High school diploma
SS1626383256220,27,Black or African American,Female,High school diploma
