subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1614809227590,0,complex_dissimilar,1,background,background,complex,complex_09_B,5705.365,first half,0,background,NA,NA
SS1614809227590,0,complex_dissimilar,2,background,background,complex,complex_09_B,4844.71,first half,0,background,NA,NA
SS1614809227590,0,complex_dissimilar,3,background,background,complex,complex_09_B,3808.315,first half,0,background,NA,NA
SS1614809227590,0,complex_dissimilar,4,background,background,complex,complex_09_B,4393.74,first half,0,background,NA,NA
SS1614809227590,0,complex_dissimilar,5,background,background,complex,complex_09_B,1478.365,first half,0,background,NA,NA
SS1614809227590,0,complex_dissimilar,6,background,background,complex,complex_09_B,2849.355,first half,0,background,NA,NA
SS1614809227590,1,simple_similar,1,background,background,simple,simple_18_B,3175.295,first half,2,background,3,6
SS1614809227590,1,simple_similar,2,background,background,simple,simple_18_B,1164.19,first half,2,background,3,6
SS1614809227590,1,simple_similar,3,similar deviant,deviant,simple,simple_18_A,3057.58,first half,2,first_deviant,3,6
SS1614809227590,1,simple_similar,4,background,background,simple,simple_18_B,3281.3,first half,2,background,3,6
SS1614809227590,1,simple_similar,5,background,background,simple,simple_18_B,3434.275,first half,2,background,3,6
SS1614809227590,1,simple_similar,6,similar deviant,deviant,simple,simple_18_A,4468.65,first half,2,second_deviant,3,6
SS1614809227590,2,simple_similar,1,background,background,simple,simple_01_A,4749.215,first half,0,background,NA,NA
SS1614809227590,2,simple_similar,2,background,background,simple,simple_01_A,4044.145,first half,0,background,NA,NA
SS1614809227590,2,simple_similar,3,background,background,simple,simple_01_A,3165.715,first half,0,background,NA,NA
SS1614809227590,2,simple_similar,4,background,background,simple,simple_01_A,6061.4,first half,0,background,NA,NA
SS1614809227590,3,complex_similar,1,background,background,complex,complex_08_B,2725.275,first half,1,background,7,NA
SS1614809227590,3,complex_similar,2,background,background,complex,complex_08_B,2027.605,first half,1,background,7,NA
SS1614809227590,3,complex_similar,3,background,background,complex,complex_08_B,914.175,first half,1,background,7,NA
SS1614809227590,3,complex_similar,4,background,background,complex,complex_08_B,1871.325,first half,1,background,7,NA
SS1614809227590,3,complex_similar,5,background,background,complex,complex_08_B,1983.39,first half,1,background,7,NA
SS1614809227590,3,complex_similar,6,background,background,complex,complex_08_B,2057.575,first half,1,background,7,NA
SS1614809227590,3,complex_similar,7,similar deviant,deviant,complex,complex_08_A,1736.2,first half,1,first_deviant,7,NA
SS1614809227590,4,complex_dissimilar,1,background,background,complex,complex_04_A,3486.595,first half,2,background,4,5
SS1614809227590,4,complex_dissimilar,2,background,background,complex,complex_04_A,6993.655,first half,2,background,4,5
SS1614809227590,4,complex_dissimilar,3,background,background,complex,complex_04_A,1346.645,first half,2,background,4,5
SS1614809227590,4,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_18_B,5873.32,first half,2,first_deviant,4,5
SS1614809227590,4,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_18_B,1271.77,first half,2,second_deviant,4,5
SS1614809227590,4,complex_dissimilar,6,background,background,complex,complex_04_A,2333.105,first half,2,background,4,5
SS1614809227590,5,simple_dissimilar,1,background,background,simple,simple_07_B,2443.525,first half,1,background,6,NA
SS1614809227590,5,simple_dissimilar,2,background,background,simple,simple_07_B,1621.165,first half,1,background,6,NA
SS1614809227590,5,simple_dissimilar,3,background,background,simple,simple_07_B,2146.145,first half,1,background,6,NA
SS1614809227590,5,simple_dissimilar,4,background,background,simple,simple_07_B,1661.135,first half,1,background,6,NA
SS1614809227590,5,simple_dissimilar,5,background,background,simple,simple_07_B,1847.55,first half,1,background,6,NA
SS1614809227590,5,simple_dissimilar,6,dissimilar deviant,deviant,simple,simple_19_B,3250.17,first half,1,first_deviant,6,NA
SS1614809227590,6,simple_dissimilar,1,background,background,simple,simple_04_A,3749.485,second half,1,background,4,NA
SS1614809227590,6,simple_dissimilar,2,background,background,simple,simple_04_A,1199.145,second half,1,background,4,NA
SS1614809227590,6,simple_dissimilar,3,background,background,simple,simple_04_A,1933.66,second half,1,background,4,NA
SS1614809227590,6,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_17_B,5239.585,second half,1,first_deviant,4,NA
SS1614809227590,6,simple_dissimilar,5,background,background,simple,simple_04_A,865.34,second half,1,background,4,NA
SS1614809227590,7,simple_dissimilar,1,background,background,simple,simple_19_A,1865.26,second half,2,background,4,5
SS1614809227590,7,simple_dissimilar,2,background,background,simple,simple_19_A,1586.48,second half,2,background,4,5
SS1614809227590,7,simple_dissimilar,3,background,background,simple,simple_19_A,654.165,second half,2,background,4,5
SS1614809227590,7,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_08_B,3318.085,second half,2,first_deviant,4,5
SS1614809227590,7,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_08_B,1517.44,second half,2,second_deviant,4,5
SS1614809227590,8,complex_similar,1,background,background,complex,complex_19_B,1223.125,second half,1,background,3,NA
SS1614809227590,8,complex_similar,2,background,background,complex,complex_19_B,1212.08,second half,1,background,3,NA
SS1614809227590,8,complex_similar,3,similar deviant,deviant,complex,complex_19_A,3328.46,second half,1,first_deviant,3,NA
SS1614809227590,8,complex_similar,4,background,background,complex,complex_19_B,1259.08,second half,1,background,3,NA
SS1614809227590,9,complex_dissimilar,1,background,background,complex,complex_17_B,1178.08,second half,1,background,5,NA
SS1614809227590,9,complex_dissimilar,2,background,background,complex,complex_17_B,1163.26,second half,1,background,5,NA
SS1614809227590,9,complex_dissimilar,3,background,background,complex,complex_17_B,1309.035,second half,1,background,5,NA
SS1614809227590,9,complex_dissimilar,4,background,background,complex,complex_17_B,1301.02,second half,1,background,5,NA
SS1614809227590,9,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_13_B,1610.545,second half,1,first_deviant,5,NA
SS1614809227590,10,complex_similar,1,background,background,complex,complex_15_B,3074.025,second half,2,background,3,6
SS1614809227590,10,complex_similar,2,background,background,complex,complex_15_B,695.04,second half,2,background,3,6
SS1614809227590,10,complex_similar,3,similar deviant,deviant,complex,complex_15_A,809.5399999,second half,2,first_deviant,3,6
SS1614809227590,10,complex_similar,4,background,background,complex,complex_15_B,1003.11,second half,2,background,3,6
SS1614809227590,10,complex_similar,5,background,background,complex,complex_15_B,719.045,second half,2,background,3,6
SS1614809227590,10,complex_similar,6,similar deviant,deviant,complex,complex_15_A,352.0449999,second half,2,second_deviant,3,6
SS1614809227590,11,simple_similar,1,background,background,simple,simple_15_A,766.8900001,second half,1,background,3,NA
SS1614809227590,11,simple_similar,2,background,background,simple,simple_15_A,513.0050001,second half,1,background,3,NA
SS1614809227590,11,simple_similar,3,similar deviant,deviant,simple,simple_15_B,441.0399999,second half,1,first_deviant,3,NA
SS1614809227590,11,simple_similar,4,background,background,simple,simple_15_A,98.05999999,second half,1,background,3,NA
SS1614809227590,11,simple_similar,5,background,background,simple,simple_15_A,939.3900001,second half,1,background,3,NA
SS1614809230494,0,complex_dissimilar,1,background,background,complex,complex_12_B,6390.585,first half,1,background,5,NA
SS1614809230494,0,complex_dissimilar,2,background,background,complex,complex_12_B,4094.845,first half,1,background,5,NA
SS1614809230494,0,complex_dissimilar,3,background,background,complex,complex_12_B,4550.284999,first half,1,background,5,NA
SS1614809230494,0,complex_dissimilar,4,background,background,complex,complex_12_B,3946.67,first half,1,background,5,NA
SS1614809230494,0,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_16_B,6421.59,first half,1,first_deviant,5,NA
SS1614809230494,1,simple_similar,1,background,background,simple,simple_12_A,1187.285,first half,0,background,NA,NA
SS1614809230494,1,simple_similar,2,background,background,simple,simple_12_A,1194.395,first half,0,background,NA,NA
SS1614809230494,1,simple_similar,3,background,background,simple,simple_12_A,1905.850001,first half,0,background,NA,NA
SS1614809230494,1,simple_similar,4,background,background,simple,simple_12_A,88.8450006,first half,0,background,NA,NA
SS1614809230494,1,simple_similar,5,background,background,simple,simple_12_A,1605.245001,first half,0,background,NA,NA
SS1614809230494,2,simple_similar,1,background,background,simple,simple_13_A,4360.22,first half,0,background,NA,NA
SS1614809230494,2,simple_similar,2,background,background,simple,simple_13_A,1501.215001,first half,0,background,NA,NA
SS1614809230494,2,simple_similar,3,background,background,simple,simple_13_A,878.3050003,first half,0,background,NA,NA
SS1614809230494,2,simple_similar,4,background,background,simple,simple_13_A,195.6000002,first half,0,background,NA,NA
SS1614809230494,2,simple_similar,5,background,background,simple,simple_13_A,361.97,first half,0,background,NA,NA
SS1614809230494,2,simple_similar,6,background,background,simple,simple_13_A,138.9650004,first half,0,background,NA,NA
SS1614809230494,3,complex_similar,1,background,background,complex,complex_18_A,8986.199999,first half,0,background,NA,NA
SS1614809230494,3,complex_similar,2,background,background,complex,complex_18_A,3723.16,first half,0,background,NA,NA
SS1614809230494,3,complex_similar,3,background,background,complex,complex_18_A,3904.42,first half,0,background,NA,NA
SS1614809230494,3,complex_similar,4,background,background,complex,complex_18_A,2132.83,first half,0,background,NA,NA
SS1614809230494,4,complex_similar,1,background,background,complex,complex_07_B,9547.010001,first half,2,background,2,4
SS1614809230494,4,complex_similar,2,similar deviant,deviant,complex,complex_07_A,2386.27,first half,2,first_deviant,2,4
SS1614809230494,4,complex_similar,3,background,background,complex,complex_07_B,1078.215,first half,2,background,2,4
SS1614809230494,4,complex_similar,4,similar deviant,deviant,complex,complex_07_A,3919.145,first half,2,second_deviant,2,4
SS1614809230494,4,complex_similar,5,background,background,complex,complex_07_B,3967.92,first half,2,background,2,4
SS1614809230494,5,simple_dissimilar,1,background,background,simple,simple_18_B,3916.920001,first half,2,background,2,4
SS1614809230494,5,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_08_B,3144.425,first half,2,first_deviant,2,4
SS1614809230494,5,simple_dissimilar,3,background,background,simple,simple_18_B,3756.145,first half,2,background,2,4
SS1614809230494,5,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_08_B,2632.900001,first half,2,second_deviant,2,4
SS1614809230494,6,complex_dissimilar,1,background,background,complex,complex_06_B,7548.975,second half,1,background,3,NA
SS1614809230494,6,complex_dissimilar,2,background,background,complex,complex_06_B,2592.81,second half,1,background,3,NA
SS1614809230494,6,complex_dissimilar,3,dissimilar deviant,deviant,complex,complex_14_B,4260.23,second half,1,first_deviant,3,NA
SS1614809230494,6,complex_dissimilar,4,background,background,complex,complex_06_B,2159.995,second half,1,background,3,NA
SS1614809230494,7,simple_similar,1,background,background,simple,simple_20_B,3076.905,second half,2,background,2,3
SS1614809230494,7,simple_similar,2,similar deviant,deviant,simple,simple_20_A,2085.86,second half,2,first_deviant,2,3
SS1614809230494,7,simple_similar,3,similar deviant,deviant,simple,simple_20_A,792.61499920000006,second half,2,second_deviant,2,3
SS1614809230494,7,simple_similar,4,background,background,simple,simple_20_B,1297.12,second half,2,background,2,3
SS1614809230494,8,simple_dissimilar,1,background,background,simple,simple_11_B,2806.425001,second half,1,background,7,NA
SS1614809230494,8,simple_dissimilar,2,background,background,simple,simple_11_B,3375.905001,second half,1,background,7,NA
SS1614809230494,8,simple_dissimilar,3,background,background,simple,simple_11_B,3794.035,second half,1,background,7,NA
SS1614809230494,8,simple_dissimilar,4,background,background,simple,simple_11_B,2039.155,second half,1,background,7,NA
SS1614809230494,8,simple_dissimilar,5,background,background,simple,simple_11_B,2330.9,second half,1,background,7,NA
SS1614809230494,8,simple_dissimilar,6,background,background,simple,simple_11_B,2296.375,second half,1,background,7,NA
SS1614809230494,8,simple_dissimilar,7,dissimilar deviant,deviant,simple,simple_02_B,5148.605,second half,1,first_deviant,7,NA
SS1614809230494,9,simple_dissimilar,1,background,background,simple,simple_10_A,2830.29,second half,2,background,2,4
SS1614809230494,9,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_11_A,2240.98,second half,2,first_deviant,2,4
SS1614809230494,9,simple_dissimilar,3,background,background,simple,simple_10_A,2941.574999,second half,2,background,2,4
SS1614809230494,9,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_11_A,3882.355,second half,2,second_deviant,2,4
SS1614809230494,9,simple_dissimilar,5,background,background,simple,simple_10_A,4682.635,second half,2,background,2,4
SS1614809230494,10,complex_dissimilar,1,background,background,complex,complex_13_A,6562.08,second half,0,background,NA,NA
SS1614809230494,10,complex_dissimilar,2,background,background,complex,complex_13_A,5055.06,second half,0,background,NA,NA
SS1614809230494,10,complex_dissimilar,3,background,background,complex,complex_13_A,5643.51,second half,0,background,NA,NA
SS1614809230494,10,complex_dissimilar,4,background,background,complex,complex_13_A,7594.16,second half,0,background,NA,NA
SS1614809230494,10,complex_dissimilar,5,background,background,complex,complex_13_A,488.0899992,second half,0,background,NA,NA
SS1614809230494,11,complex_similar,1,background,background,complex,complex_11_B,4174.045,second half,2,background,4,5
SS1614809230494,11,complex_similar,2,background,background,complex,complex_11_B,4104.975,second half,2,background,4,5
SS1614809230494,11,complex_similar,3,background,background,complex,complex_11_B,4692.21,second half,2,background,4,5
SS1614809230494,11,complex_similar,4,similar deviant,deviant,complex,complex_11_A,2905.73,second half,2,first_deviant,4,5
SS1614809230494,11,complex_similar,5,similar deviant,deviant,complex,complex_11_A,3621.175,second half,2,second_deviant,4,5
SS1614809230494,11,complex_similar,6,background,background,complex,complex_11_B,4480.535001,second half,2,background,4,5
SS1614809233708,0,simple_dissimilar,1,background,background,simple,simple_03_B,4110.955,first half,2,background,5,6
SS1614809233708,0,simple_dissimilar,2,background,background,simple,simple_03_B,2338.5,first half,2,background,5,6
SS1614809233708,0,simple_dissimilar,3,background,background,simple,simple_03_B,4986.015,first half,2,background,5,6
SS1614809233708,0,simple_dissimilar,4,background,background,simple,simple_03_B,3639.655,first half,2,background,5,6
SS1614809233708,0,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_02_A,5529.985,first half,2,first_deviant,5,6
SS1614809233708,0,simple_dissimilar,6,dissimilar deviant,deviant,simple,simple_02_A,6561.92,first half,2,second_deviant,5,6
SS1614809233708,1,complex_dissimilar,1,background,background,complex,complex_03_B,3498.045,first half,0,background,NA,NA
SS1614809233708,1,complex_dissimilar,2,background,background,complex,complex_03_B,3363.83,first half,0,background,NA,NA
SS1614809233708,1,complex_dissimilar,3,background,background,complex,complex_03_B,1109.89,first half,0,background,NA,NA
SS1614809233708,1,complex_dissimilar,4,background,background,complex,complex_03_B,747.145,first half,0,background,NA,NA
SS1614809233708,1,complex_dissimilar,5,background,background,complex,complex_03_B,1290.75,first half,0,background,NA,NA
SS1614809233708,2,simple_dissimilar,1,background,background,simple,simple_07_A,5542.695,first half,1,background,2,NA
SS1614809233708,2,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_10_A,3382.275,first half,1,first_deviant,2,NA
SS1614809233708,2,simple_dissimilar,3,background,background,simple,simple_07_A,1719.5,first half,1,background,2,NA
SS1614809233708,2,simple_dissimilar,4,background,background,simple,simple_07_A,5759.165,first half,1,background,2,NA
SS1614809233708,2,simple_dissimilar,5,background,background,simple,simple_07_A,2811.075,first half,1,background,2,NA
SS1614809233708,3,complex_similar,1,background,background,complex,complex_07_A,6357.03,first half,0,background,NA,NA
SS1614809233708,3,complex_similar,2,background,background,complex,complex_07_A,1865.72,first half,0,background,NA,NA
SS1614809233708,3,complex_similar,3,background,background,complex,complex_07_A,257.62,first half,0,background,NA,NA
SS1614809233708,3,complex_similar,4,background,background,complex,complex_07_A,15.29499999,first half,0,background,NA,NA
SS1614809233708,3,complex_similar,5,background,background,complex,complex_07_A,980.15,first half,0,background,NA,NA
SS1614809233708,3,complex_similar,6,background,background,complex,complex_07_A,14.82500002,first half,0,background,NA,NA
SS1614809233708,4,complex_similar,1,background,background,complex,complex_13_B,1111.04,first half,2,background,2,3
SS1614809233708,4,complex_similar,2,similar deviant,deviant,complex,complex_13_A,1344.48,first half,2,first_deviant,2,3
SS1614809233708,4,complex_similar,3,similar deviant,deviant,complex,complex_13_A,143.33,first half,2,second_deviant,2,3
SS1614809233708,4,complex_similar,4,background,background,complex,complex_13_B,91.17999999,first half,2,background,2,3
SS1614809233708,5,complex_similar,1,background,background,complex,complex_12_B,39.575,first half,2,background,4,5
SS1614809233708,5,complex_similar,2,background,background,complex,complex_12_B,413.56,first half,2,background,4,5
SS1614809233708,5,complex_similar,3,background,background,complex,complex_12_B,495.19,first half,2,background,4,5
SS1614809233708,5,complex_similar,4,similar deviant,deviant,complex,complex_12_A,201.615,first half,2,first_deviant,4,5
SS1614809233708,5,complex_similar,5,similar deviant,deviant,complex,complex_12_A,219.76,first half,2,second_deviant,4,5
SS1614809233708,6,complex_dissimilar,1,background,background,complex,complex_14_A,78.19999999,second half,0,background,NA,NA
SS1614809233708,6,complex_dissimilar,2,background,background,complex,complex_14_A,366.59,second half,0,background,NA,NA
SS1614809233708,6,complex_dissimilar,3,background,background,complex,complex_14_A,246.67,second half,0,background,NA,NA
SS1614809233708,6,complex_dissimilar,4,background,background,complex,complex_14_A,61.98,second half,0,background,NA,NA
SS1614809233708,7,simple_similar,1,background,background,simple,simple_20_A,365.405,second half,2,background,4,6
SS1614809233708,7,simple_similar,2,background,background,simple,simple_20_A,130.075,second half,2,background,4,6
SS1614809233708,7,simple_similar,3,background,background,simple,simple_20_A,382.79,second half,2,background,4,6
SS1614809233708,7,simple_similar,4,similar deviant,deviant,simple,simple_20_B,89.225,second half,2,first_deviant,4,6
SS1614809233708,7,simple_similar,5,background,background,simple,simple_20_A,137.995,second half,2,background,4,6
SS1614809233708,7,simple_similar,6,similar deviant,deviant,simple,simple_20_B,344.87,second half,2,second_deviant,4,6
SS1614809233708,8,complex_dissimilar,1,background,background,complex,complex_10_A,22.52999996,second half,2,background,2,3
SS1614809233708,8,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_19_B,282.645,second half,2,first_deviant,2,3
SS1614809233708,8,complex_dissimilar,3,dissimilar deviant,deviant,complex,complex_19_B,580.845,second half,2,second_deviant,2,3
SS1614809233708,8,complex_dissimilar,4,background,background,complex,complex_10_A,55.65499997,second half,2,background,2,3
SS1614809233708,8,complex_dissimilar,5,background,background,complex,complex_10_A,425.97,second half,2,background,2,3
SS1614809233708,8,complex_dissimilar,6,background,background,complex,complex_10_A,137.375,second half,2,background,2,3
SS1614809233708,9,simple_similar,1,background,background,simple,simple_06_A,318.39,second half,0,background,NA,NA
SS1614809233708,9,simple_similar,2,background,background,simple,simple_06_A,465.605,second half,0,background,NA,NA
SS1614809233708,9,simple_similar,3,background,background,simple,simple_06_A,195.785,second half,0,background,NA,NA
SS1614809233708,9,simple_similar,4,background,background,simple,simple_06_A,104.455,second half,0,background,NA,NA
SS1614809233708,9,simple_similar,5,background,background,simple,simple_06_A,128.26,second half,0,background,NA,NA
SS1614809233708,9,simple_similar,6,background,background,simple,simple_06_A,58.55999998,second half,0,background,NA,NA
SS1614809233708,10,simple_dissimilar,1,background,background,simple,simple_18_B,228.955,second half,1,background,2,NA
SS1614809233708,10,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_01_A,320.325,second half,1,first_deviant,2,NA
SS1614809233708,10,simple_dissimilar,3,background,background,simple,simple_18_B,309.58,second half,1,background,2,NA
SS1614809233708,10,simple_dissimilar,4,background,background,simple,simple_18_B,222.28,second half,1,background,2,NA
SS1614809250148,0,complex_dissimilar,1,background,background,complex,complex_06_A,1112.91,first half,0,background,NA,NA
SS1614809250148,0,complex_dissimilar,2,background,background,complex,complex_06_A,2961.15,first half,0,background,NA,NA
SS1614809250148,0,complex_dissimilar,3,background,background,complex,complex_06_A,608.8800002,first half,0,background,NA,NA
SS1614809250148,0,complex_dissimilar,4,background,background,complex,complex_06_A,530.7800001,first half,0,background,NA,NA
SS1614809250148,0,complex_dissimilar,5,background,background,complex,complex_06_A,347.1999997,first half,0,background,NA,NA
SS1614809250148,0,complex_dissimilar,6,background,background,complex,complex_06_A,1111.04,first half,0,background,NA,NA
SS1614809250148,1,simple_similar,1,background,background,simple,simple_02_A,383.81,first half,2,background,2,5
SS1614809250148,1,simple_similar,2,similar deviant,deviant,simple,simple_02_B,2079.685,first half,2,first_deviant,2,5
SS1614809250148,1,simple_similar,3,background,background,simple,simple_02_A,372.5649999,first half,2,background,2,5
SS1614809250148,1,simple_similar,4,background,background,simple,simple_02_A,526.0999999,first half,2,background,2,5
