subject,trial_looking_time,block_number,block_type,stim_type_selected
SS1613079862584,12632,0,complex_similar,novel
SS1613079862584,4192,1,simple_dissimilar,novel
SS1613079862584,5208,2,complex_similar,deviant
SS1613079862584,3586,3,simple_similar,deviant
SS1613079862584,3183,4,complex_dissimilar,novel
SS1613079862584,1926,5,simple_similar,deviant
SS1613079862584,2191,6,complex_similar,deviant
SS1613079862584,2736,7,complex_dissimilar,deviant
SS1613079862584,2347,8,complex_dissimilar,novel
SS1613079862584,2245,9,complex_dissimilar,novel
SS1613079862584,2250,10,simple_dissimilar,novel
SS1613079862584,2241,11,complex_similar,novel
SS1613079862584,2047,12,simple_similar,novel
SS1613079862584,1551,13,simple_similar,deviant
SS1613079862584,2826,14,complex_similar,novel
SS1613079862584,2251,15,simple_dissimilar,novel
SS1613079862584,2556,16,simple_similar,novel
SS1613079862584,2212,17,simple_dissimilar,novel
SS1613079862584,2247,18,simple_dissimilar,novel
SS1613079862584,2317,19,complex_dissimilar,novel
SS1613079878836,5429.000000000815,0,simple_similar,novel
SS1613079878836,22263.995000005525,1,complex_similar,novel
SS1613079878836,953.7200000020675,2,complex_similar,novel
SS1613079878836,977.5850000049104,3,simple_similar,background
SS1613079878836,1724.6449999991455,4,simple_dissimilar,background
SS1613079878836,1157.0850000032806,5,simple_similar,deviant
SS1613079878836,2365.055000006396,6,complex_similar,novel
SS1613079878836,836.6250000006403,7,simple_similar,background
SS1613079878836,835.6249999967986,8,complex_similar,deviant
SS1613079878836,844.6099999973085,9,complex_dissimilar,novel
SS1613079878836,1099.6500000008382,10,simple_dissimilar,background
SS1613079878836,859.8350000000792,11,complex_dissimilar,background
SS1613079878836,916.235000001383,12,simple_dissimilar,background
SS1613079878836,894.039999996312,13,complex_dissimilar,novel
SS1613079878836,931.8050000045914,14,simple_dissimilar,novel
SS1613079878836,834.6999999965774,15,complex_dissimilar,deviant
SS1613079878836,811.8900000016438,16,complex_similar,deviant
SS1613079878836,1035.8099999983096,17,simple_dissimilar,background
SS1613079878836,1344.194999994943,18,complex_dissimilar,novel
SS1613079878836,955.9100000013132,19,simple_similar,novel
SS1613079878933,2828.519999999844,0,simple_similar,novel
SS1613079878933,8287.91500000516,1,simple_dissimilar,novel
SS1613079878933,9405.52500000631,2,complex_similar,novel
SS1613079878933,8925.315000004775,3,simple_similar,novel
SS1613079878933,11898.525000001246,4,complex_similar,novel
SS1613079878933,29452.630000004137,5,simple_dissimilar,novel
SS1613079878933,5131.914999995206,6,complex_dissimilar,novel
SS1613079878933,5644.420000001264,7,simple_dissimilar,novel
SS1613079878933,9307.505000001402,8,complex_dissimilar,novel
SS1613079878933,11996.524999999441,9,complex_dissimilar,novel
SS1613079878933,4874.489999999059,10,complex_similar,deviant
SS1613079878933,10491.054999995744,11,simple_dissimilar,novel
SS1613079878933,1724.1150000016205,12,simple_dissimilar,novel
SS1613079878933,3818.949999997858,13,complex_similar,novel
SS1613079878933,4379.375000001164,14,complex_dissimilar,novel
SS1613079878933,3209.715000001481,15,simple_similar,novel
SS1613079878933,2189.8449999978766,16,simple_similar,novel
SS1613079878933,2617.9200000013225,17,simple_similar,novel
SS1613079878933,2938.850000002887,18,complex_similar,novel
SS1613079878933,2347.4900000044145,19,complex_dissimilar,novel
SS1613079892573,5764.000000007218,0,complex_dissimilar,novel
SS1613079892573,7088.999999989755,1,simple_similar,novel
SS1613079892573,7103.9999999746215,2,simple_dissimilar,novel
SS1613079892573,6556.999999983236,3,complex_dissimilar,novel
SS1613079892573,7408.99999999674,4,complex_dissimilar,novel
SS1613079892573,7639.9999999965075,5,complex_dissimilar,novel
SS1613079892573,7874.999999982538,6,simple_dissimilar,novel
SS1613079892573,8893.000000022585,7,complex_similar,novel
SS1613079892573,7258.000000013271,8,complex_similar,novel
SS1613079892573,5525.999999995111,9,complex_dissimilar,novel
SS1613079892573,5242.000000010012,10,simple_similar,novel
SS1613079892573,5490.000000002328,11,simple_dissimilar,novel
SS1613079892573,6914.999999990687,12,simple_dissimilar,novel
SS1613079892573,7874.000000022352,13,simple_dissimilar,novel
SS1613079892573,7263.000000017928,14,complex_similar,novel
SS1613079892573,5650.000000005821,15,simple_similar,novel
SS1613079892573,6781.999999989057,16,simple_similar,novel
SS1613079892573,6960.999999992782,17,complex_similar,novel
SS1613079892573,6931.00000002305,18,complex_similar,novel
SS1613079892573,6349.9999999883585,19,simple_similar,novel
SS1613079895352,4719.949999999517,0,simple_similar,novel
SS1613079895352,4765.709999998566,1,simple_similar,novel
SS1613079895352,5241.865000000689,2,complex_similar,novel
SS1613079895352,7369.475000000268,3,simple_similar,novel
SS1613079895352,5358.965000000142,4,complex_dissimilar,novel
SS1613079895352,5870.874999999418,5,simple_similar,novel
SS1613079895352,2956.794999998936,6,simple_dissimilar,novel
SS1613079895352,4603.335000000545,7,complex_similar,novel
SS1613079895352,5025.919999998936,8,simple_dissimilar,novel
SS1613079895352,4673.689999998547,9,complex_similar,novel
