subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,exposure_type,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1617819278525,0,simple_dissimilar,1,background,background,simple,simple_07_A,3652,NA,first half,1,background,3,NA
SS1617819278525,0,simple_dissimilar,2,background,background,simple,simple_07_A,2183,NA,first half,1,background,3,NA
SS1617819278525,0,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_17_A,4533,NA,first half,1,first_deviant,3,NA
SS1617819278525,0,simple_dissimilar,4,background,background,simple,simple_07_A,3270,NA,first half,1,background,3,NA
SS1617819278525,0,simple_dissimilar,5,background,background,simple,simple_07_A,5816,NA,first half,1,background,3,NA
SS1617819278525,1,simple_dissimilar,1,background,background,simple,simple_09_A,6051,NA,first half,1,background,5,NA
SS1617819278525,1,simple_dissimilar,2,background,background,simple,simple_09_A,4513,NA,first half,1,background,5,NA
SS1617819278525,1,simple_dissimilar,3,background,background,simple,simple_09_A,1316,NA,first half,1,background,5,NA
SS1617819278525,1,simple_dissimilar,4,background,background,simple,simple_09_A,557,NA,first half,1,background,5,NA
SS1617819278525,1,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_11_A,3078,NA,first half,1,first_deviant,5,NA
SS1617819278525,2,complex_dissimilar,1,background,background,complex,complex_16_A,9460,NA,first half,0,background,NA,NA
SS1617819278525,2,complex_dissimilar,2,background,background,complex,complex_16_A,8459,NA,first half,0,background,NA,NA
SS1617819278525,2,complex_dissimilar,3,background,background,complex,complex_16_A,2337,NA,first half,0,background,NA,NA
SS1617819278525,2,complex_dissimilar,4,background,background,complex,complex_16_A,2575,NA,first half,0,background,NA,NA
SS1617819278525,3,simple_dissimilar,1,background,background,simple,simple_04_A,5941,NA,first half,0,background,NA,NA
SS1617819278525,3,simple_dissimilar,2,background,background,simple,simple_04_A,4458,NA,first half,0,background,NA,NA
SS1617819278525,3,simple_dissimilar,3,background,background,simple,simple_04_A,2887.999999999971,NA,first half,0,background,NA,NA
SS1617819278525,3,simple_dissimilar,4,background,background,simple,simple_04_A,859,NA,first half,0,background,NA,NA
SS1617819278525,4,simple_dissimilar,1,background,background,simple,simple_05_A,4056,NA,first half,2,background,2,5
SS1617819278525,4,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_11_A,5218,NA,first half,2,first_deviant,2,5
SS1617819278525,4,simple_dissimilar,3,background,background,simple,simple_05_A,6147,NA,first half,2,background,2,5
SS1617819278525,4,simple_dissimilar,4,background,background,simple,simple_05_A,5199,NA,first half,2,background,2,5
SS1617819278525,4,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_11_A,380,NA,first half,2,second_deviant,2,5
SS1617819278525,5,complex_dissimilar,1,background,background,complex,complex_03_A,11060.999999999942,NA,first half,1,background,4,NA
SS1617819278525,5,complex_dissimilar,2,background,background,complex,complex_03_A,8840,NA,first half,1,background,4,NA
SS1617819278525,5,complex_dissimilar,3,background,background,complex,complex_03_A,3304.999999999942,NA,first half,1,background,4,NA
SS1617819278525,5,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_05_A,13881,NA,first half,1,first_deviant,4,NA
SS1617819278525,6,complex_dissimilar,1,background,background,complex,complex_05_A,8324,NA,second half,2,background,2,4
SS1617819278525,6,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_19_A,9167.000000000058,NA,second half,2,first_deviant,2,4
SS1617819278525,6,complex_dissimilar,3,background,background,complex,complex_05_A,2446,NA,second half,2,background,2,4
SS1617819278525,6,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_19_A,4950.999999999942,NA,second half,2,second_deviant,2,4
SS1617819278525,6,complex_dissimilar,5,background,background,complex,complex_05_A,3976,NA,second half,2,background,2,4
SS1617819278525,7,complex_dissimilar,1,background,background,complex,complex_12_A,9048,NA,second half,1,background,3,NA
SS1617819278525,7,complex_dissimilar,2,background,background,complex,complex_12_A,5697,NA,second half,1,background,3,NA
SS1617819278525,7,complex_dissimilar,3,dissimilar deviant,deviant,complex,complex_02_A,6789,NA,second half,1,first_deviant,3,NA
SS1617819278525,7,complex_dissimilar,4,background,background,complex,complex_12_A,2613,NA,second half,1,background,3,NA
SS1617819278525,8,complex_dissimilar,1,background,background,complex,complex_02_A,11835.000000000058,NA,second half,0,background,NA,NA
SS1617819278525,8,complex_dissimilar,2,background,background,complex,complex_02_A,4148,NA,second half,0,background,NA,NA
SS1617819278525,8,complex_dissimilar,3,background,background,complex,complex_02_A,1335.0000000000582,NA,second half,0,background,NA,NA
SS1617819278525,8,complex_dissimilar,4,background,background,complex,complex_02_A,6761,NA,second half,0,background,NA,NA
SS1617819278525,8,complex_dissimilar,5,background,background,complex,complex_02_A,9858,NA,second half,0,background,NA,NA
SS1617819278525,9,complex_dissimilar,1,background,background,complex,complex_08_A,9753.999999999942,NA,second half,0,background,NA,NA
SS1617819278525,9,complex_dissimilar,2,background,background,complex,complex_08_A,947,NA,second half,0,background,NA,NA
SS1617819278525,9,complex_dissimilar,3,background,background,complex,complex_08_A,587,NA,second half,0,background,NA,NA
SS1617819278525,9,complex_dissimilar,4,background,background,complex,complex_08_A,4815,NA,second half,0,background,NA,NA
