subject,age,ethnicity,gender,education
SS1619739134468,19,White,Male,High school diploma
SS1619739156020,22,White,Male,Bachelor's Degree
SS1619739161714,27,White,Male,Bachelor's Degree
SS1619739185303,19,White,Male,High school diploma
SS1619739188870,36,Hispanic or Latino,Male,Bachelor's Degree
SS1619739194809,22,White,Female,Master's Degree
SS1619739196799,21,White,Female,Bachelor's Degree
SS1619739236312,28,Asian,Male,Master's Degree
SS1619739243666,21,White,Male,High school diploma
SS1619739270972,20,Black or African American,Male,Associate Degree/Technical certification
SS1619739299290,21,White,Female,High school diploma
SS1619739307054,20,White,Female,High school diploma
SS1619739315680,18,Hispanic or Latino,Female,High school diploma
SS1619739341056,19,Hispanic or Latino,Male,High school diploma
SS1619739341788,22,Hispanic or Latino,Female,High school diploma
SS1619739362581,21,White,Male,High school diploma
SS1619739377879,25,White,Male,Associate Degree/Technical certification
SS1619739395520,28,Asian,Female,Doctorate/Professional degree
SS1619739428554,20,White,Female,High school diploma
SS1619739432032,28,Hispanic or Latino,Male,Doctorate/Professional degree
SS1619739432069,19,Hispanic or Latino,Decline to Answer,High school diploma
SS1619739442485,25,Hispanic or Latino,Male,Bachelor's Degree
SS1619739450196,20,Hispanic or Latino,Female,High school diploma
SS1619739450277,25,Hispanic or Latino,Female,Bachelor's Degree
SS1619739450868,19,Asian,Female,High school diploma
SS1619739452993,36,White,Female,Master's Degree
SS1619739457003,45,White,Female,Bachelor's Degree
SS1619739489473,20,Black or African American,Female,High school diploma
SS1619739490440,22,Hispanic or Latino,Female,High school diploma
SS1619739496757,26,White,Male,High school diploma
SS1619739512117,21,White,Female,Bachelor's Degree
SS1619739516280,31,White,Female,Master's Degree
SS1619739526305,23,White,Male,High school diploma
SS1619739531313,23,Hispanic or Latino,Male,Associate Degree/Technical certification
SS1619739535999,22,Hispanic or Latino,Male,Bachelor's Degree
SS1619739541834,30,White,Male,High school diploma
SS1619739552633,24,Hispanic or Latino,Male,Bachelor's Degree
SS1619739570391,20,Hispanic or Latino,Female,High school diploma
SS1619739580862,34,White,Male,Associate Degree/Technical certification
SS1619739584196,20,White,Male,Bachelor's Degree
SS1619739588838,47,White,Male,Master's Degree
SS1619739600585,24,Hispanic or Latino,Female,Bachelor's Degree
SS1619739610144,22,White,Female,Bachelor's Degree
SS1619739610683,45,Black or African American,Male,Bachelor's Degree
SS1619739611736,19,White,Female,High school diploma
SS1619739620491,24,White,Female,Master's Degree
SS1619739623165,22,White,Male,High school diploma
SS1619739623638,20,White,Female,Bachelor's Degree
SS1619739624736,22,White,Male,Bachelor's Degree
SS1619739642555,21,Hispanic or Latino,Male,Bachelor's Degree
SS1619739656790,21,Hispanic or Latino,Male,High school diploma
SS1619739660475,47,White,Male,Associate Degree/Technical certification
SS1619739661980,33,White,Male,Associate Degree/Technical certification
SS1619739670582,27,White,Male,Bachelor's Degree
SS1619739672831,21,White,Non-binary,High school diploma
SS1619739682451,22,Hispanic or Latino,Female,Bachelor's Degree
SS1619739682803,22,Hispanic or Latino,Female,High school diploma
SS1619739685705,21,White,Male,Bachelor's Degree
SS1619739687151,19,Hispanic or Latino,Female,Bachelor's Degree
SS1619739703800,31,Asian,Female,Master's Degree
SS1619739704103,22,Hispanic or Latino,Male,High school diploma
SS1619739705444,32,White,Female,Master's Degree
SS1619739706244,27,Hispanic or Latino,Male,High school diploma
SS1619739713443,21,White,Male,High school diploma
SS1619739719701,24,White,Male,Master's Degree
SS1619739724256,35,White,Male,Master's Degree
SS1619739729654,19,White,Male,High school diploma
SS1619739734513,19,White,Female,Some high school
SS1619739740824,26,White,Female,Bachelor's Degree
SS1619739752298,19,White,Male,High school diploma
SS1619739753725,24,White,Female,High school diploma
SS1619739754865,21,Asian,Female,High school diploma
SS1619739756194,31,Hispanic or Latino,Male,Bachelor's Degree
SS1619739763096,24,Hispanic or Latino,Male,High school diploma
SS1619739766921,35,Hispanic or Latino,Male,Bachelor's Degree
SS1619739804274,25,White,Male,Master's Degree
SS1619739807636,22,White,Male,Bachelor's Degree
SS1619739808620,24,White,Female,Bachelor's Degree
SS1619739808785,22,Hispanic or Latino,Male,Bachelor's Degree
SS1619739812145,22,White,Female,High school diploma
SS1619739820932,23,White,Male,Associate Degree/Technical certification
SS1619739821314,23,White,Male,Bachelor's Degree
SS1619739821646,19,Hispanic or Latino,Male,High school diploma
SS1619739822519,20,White,Female,High school diploma
SS1619739823278,22,White,Male,Bachelor's Degree
SS1619739824111,23,White,Male,Bachelor's Degree
SS1619739825744,23,White,Male,High school diploma
SS1619739830079,22,Hispanic or Latino,Male,Bachelor's Degree
SS1619739833035,26,White,Male,Bachelor's Degree
SS1619739837763,20,White,Male,High school diploma
SS1619739838302,23,Hispanic or Latino,Female,Bachelor's Degree
SS1619739843464,22,Hispanic or Latino,Female,High school diploma
SS1619739847224,27,Hispanic or Latino,Female,Bachelor's Degree
SS1619739852794,21,Hispanic or Latino,Male,High school diploma
SS1619739855680,20,White,Male,High school diploma
SS1619739858329,19,White,Male,High school diploma
SS1619739859252,18,White,Male,High school diploma
SS1619739860700,22,White,Female,Bachelor's Degree
SS1619739861046,19,Asian,Decline to Answer,High school diploma
SS1619739861779,18,White,Male,High school diploma
SS1619739862515,19,Hispanic or Latino,Male,Some high school
SS1619739875957,20,White,Male,Associate Degree/Technical certification
SS1619739883619,23,Hispanic or Latino,Male,High school diploma
SS1619739886734,25,Hispanic or Latino,Male,High school diploma
SS1619739888340,30,White,Male,Associate Degree/Technical certification
SS1619739895095,24,Hispanic or Latino,Male,High school diploma
SS1619739897100,22,Hispanic or Latino,Female,Associate Degree/Technical certification
SS1619739899106,21,White,Male,Associate Degree/Technical certification
SS1619739901888,31,White,Female,Master's Degree
SS1619739910027,24,Hispanic or Latino,Male,Bachelor's Degree
SS1619739914991,23,Hispanic or Latino,Female,Bachelor's Degree
SS1619739916640,22,Hispanic or Latino,Male,Associate Degree/Technical certification
SS1619739921017,33,Black or African American,Female,Master's Degree
SS1619739929640,18,White,Male,Some high school
SS1619739934260,34,White,Male,Bachelor's Degree
SS1619739942790,23,Hispanic or Latino,Male,Bachelor's Degree
SS1619739945294,20,White,Male,High school diploma
SS1619739950567,21,White,Female,Bachelor's Degree
SS1619739958178,23,Hispanic or Latino,Female,Bachelor's Degree
SS1619739965907,18,White,Male,Other
SS1619739966649,19,White,Female,High school diploma
SS1619739968685,31,Hispanic or Latino,Male,Bachelor's Degree
SS1619739969517,40,White,Female,Bachelor's Degree
SS1619739971179,23,Other,Male,Bachelor's Degree
SS1619739975890,18,White,Male,Some high school
SS1619739987589,23,White,Male,Some high school
SS1619739988927,22,Hispanic or Latino,Male,Bachelor's Degree
SS1619739991060,23,White,Male,High school diploma
SS1619739995276,22,Hispanic or Latino,Male,High school diploma
SS1619740006087,25,White,Female,Bachelor's Degree
SS1619740007669,47,White,Male,High school diploma
SS1619740009815,20,White,Male,High school diploma
SS1619740017232,26,Hispanic or Latino,Male,Bachelor's Degree
SS1619740020203,19,White,Non-binary,Bachelor's Degree
SS1619740022277,22,Hispanic or Latino,Female,Bachelor's Degree
SS1619740024427,34,White,Male,Master's Degree
SS1619740029888,24,White,Male,Associate Degree/Technical certification
SS1619740032953,24,White,Male,Bachelor's Degree
SS1619740033074,21,Hispanic or Latino,Male,High school diploma
SS1619740036877,21,White,Male,High school diploma
SS1619740037035,20,Hispanic or Latino,Male,High school diploma
SS1619740041688,35,Hispanic or Latino,Male,Bachelor's Degree
SS1619740046290,21,Hispanic or Latino,Female,High school diploma
SS1619740053610,32,White,Male,High school diploma
SS1619740055836,20,White,Male,Associate Degree/Technical certification
SS1619740056133,25,Hispanic or Latino,Male,Master's Degree
SS1619740056399,42,Asian,Male,Doctorate/Professional degree
SS1619740057448,29,White,Male,Bachelor's Degree
SS1619740057558,24,Black or African American,Male,Bachelor's Degree
SS1619740061593,30,Native Hawaiian or Other Pacific Islander,Male,Bachelor's Degree
SS1619740068829,21,White,Female,Bachelor's Degree
SS1619740069780,21,Hispanic or Latino,Female,Bachelor's Degree
SS1619740071110,20,White,Non-binary,Associate Degree/Technical certification
SS1619740071889,19,Asian,Female,High school diploma
SS1619740073432,24,Hispanic or Latino,Male,Bachelor's Degree
SS1619740074027,27,Hispanic or Latino,Male,Associate Degree/Technical certification
SS1619740082049,19,White,Male,High school diploma
SS1619740082158,20,White,Male,Associate Degree/Technical certification
SS1619740088534,26,White,Male,Bachelor's Degree
SS1619740091060,26,White,Male,Bachelor's Degree
SS1619740091474,21,White,Male,High school diploma
SS1619740092344,26,Hispanic or Latino,Male,Bachelor's Degree
SS1619740095592,34,White,Male,Bachelor's Degree
SS1619740096922,21,White,Female,High school diploma
SS1619740097462,23,Other,Female,Bachelor's Degree
SS1619740100683,22,White,Male,High school diploma
SS1619740102026,26,Hispanic or Latino,Male,High school diploma
SS1619740104294,25,Other,Male,Associate Degree/Technical certification
SS1619740105161,27,White,Male,Doctorate/Professional degree
SS1619740107239,30,Hispanic or Latino,Male,Bachelor's Degree
SS1619740107605,27,Hispanic or Latino,Male,Master's Degree
SS1619740108345,27,Hispanic or Latino,Non-binary,High school diploma
SS1619740111250,24,Hispanic or Latino,Female,Bachelor's Degree
SS1619740116547,25,Hispanic or Latino,Male,Doctorate/Professional degree
SS1619740119977,22,White,Male,Bachelor's Degree
SS1619740126590,33,White,Male,High school diploma
SS1619740126736,28,White,Female,Bachelor's Degree
SS1619740127220,20,White,Male,High school diploma
SS1619740129499,27,Hispanic or Latino,Male,High school diploma
SS1619740143704,32,Hispanic or Latino,Male,Bachelor's Degree
SS1619740152126,31,White,Male,Associate Degree/Technical certification
SS1619740157373,21,Hispanic or Latino,Male,Associate Degree/Technical certification
SS1619740178247,37,Asian,Male,Master's Degree
SS1619740197972,26,Hispanic or Latino,Female,Bachelor's Degree
SS1619740209264,26,Hispanic or Latino,Female,Bachelor's Degree
SS1619740212383,18,Hispanic or Latino,Male,Doctorate/Professional degree
SS1619740239084,20,Hispanic or Latino,Female,Bachelor's Degree
SS1619740244617,21,White,Male,High school diploma
SS1619740264980,28,White,Male,Master's Degree
SS1619740299665,23,White,Female,Master's Degree
SS1619740317883,27,Asian,Female,Associate Degree/Technical certification
SS1619740338605,38,White,Female,Bachelor's Degree
SS1619740396232,21,White,Male,High school diploma
SS1619740432849,22,White,Male,Bachelor's Degree
SS1619740442234,21,Hispanic or Latino,Female,Some high school
SS1619740641851,22,White,Female,Bachelor's Degree
SS1619742997298,23,White,Male,Bachelor's Degree
SS1619743504951,21,White,Male,High school diploma
SS1619743511856,25,White,Male,Bachelor's Degree
SS1619743523358,28,Hispanic or Latino,Female,Master's Degree
