"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":8740.045000100508}]","8742.650000029244","instructions","0","8748","0.0-0.0","SS1612925841711","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":12608.280000044033},{""page_index"":1,""viewing_time"":7574.254999984987}]","20183.38499998208","instructions","1","30943","0.0-1.0","SS1612925841711","instructions","","","","","","","","","","","","","","","","",""
"","7286.859999992885","sequential-stimulus-presentation","2","39055","0.0-2.0","SS1612925841711","","","40","800","8086.859999992885","","","","","","","","","","","","",""
"","8310.820000013337","sequential-stimulus-presentation","3","48187","0.0-3.0","SS1612925841711","","","40","800","9110.820000013337","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6711.834999965504}]","6712.625000043772","instructions","4","54904","0.0-4.0","SS1612925841711","instructions","","","","","","","","","","","","","","","","",""
"","13677.479999954812","html-keyboard-response","5","68594","0.0-5.0","SS1612925841711","instructions","","50","","","<video width ='960' height = '540' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","","","","","","","","",""
"","3707.4049999937415","sequential-stimulus-presentation","6","73146","0.0-6.0","SS1612925841711","pref_reveal","","40","800","4507.4049999937415","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":14132.359999930486},{""page_index"":1,""viewing_time"":6088.5950000956655},{""page_index"":2,""viewing_time"":1727.7649999596179},{""page_index"":3,""viewing_time"":1594.0849999897182}]","23543.76000002958","instructions","7","96694","0.0-7.0","SS1612925841711","instructions","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","97838","0.0-8.0-0.0","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","6079.825000022538","sequential-stimulus-presentation","9","104764","0.0-8.0-1.0","SS1612925841711","trial","","40","800","6879.825000022538","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_d.gif","middle","","","","",""
"","null","html-keyboard-response","10","105691","0.0-8.0-0.1","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","6082.705000066198","sequential-stimulus-presentation","11","112619","0.0-8.0-1.1","SS1612925841711","trial","","40","800","6882.705000066198","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_d.gif","middle","","","","",""
"","null","html-keyboard-response","12","113543","0.0-8.0-0.2","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","5471.744999988005","sequential-stimulus-presentation","13","119856","0.0-8.0-1.2","SS1612925841711","trial","","40","800","6271.744999988005","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_06_A_c.gif","left","","","","",""
"","null","html-keyboard-response","14","120763","0.0-8.0-0.3","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","7645.565000013448","sequential-stimulus-presentation","15","129256","0.0-8.0-1.3","SS1612925841711","trial","","40","800","8445.565000013448","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_d.gif","middle","","","","",""
"","null","html-keyboard-response","16","130170","0.0-8.0-0.4","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","6341.404999955557","sequential-stimulus-presentation","17","137345","0.0-8.0-1.4","SS1612925841711","trial","","40","800","7141.404999955557","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_d.gif","middle","","","","",""
"","null","html-keyboard-response","18","138359","0.0-8.0-0.5","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","4518.975000013597","sequential-stimulus-presentation","19","143767","0.0-8.0-1.5","SS1612925841711","trial","","40","800","5318.975000013597","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_d.gif","middle","","","","",""
"","null","html-keyboard-response","20","144855","0.0-8.0-0.6","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","6282.854999997653","sequential-stimulus-presentation","21","151985","0.0-8.0-1.6","SS1612925841711","trial","","40","800","7082.854999997653","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_d.gif","middle","","","","",""
"","null","html-keyboard-response","22","152916","0.0-8.0-0.7","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","3719.0450000343844","sequential-stimulus-presentation","23","157459","0.0-8.0-1.7","SS1612925841711","trial","","40","800","4519.045000034384","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_d.gif","middle","","","","",""
"","2412.1399999130517","html-keyboard-response","24","159879","0.0-9.0","SS1612925841711","pref_question","","49","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","0","","","","","","","",""
"","4988.879999960773","sequential-stimulus-presentation","25","165702","0.0-10.0","SS1612925841711","pref_reveal","","40","800","5788.879999960773","","","","","0","","","","deviant","","","",""
"","null","html-keyboard-response","26","166945","0.0-11.0-0.0","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","5976.340000052005","sequential-stimulus-presentation","27","173763","0.0-11.0-1.0","SS1612925841711","trial","","40","800","6776.340000052005","","","","","1","complex_similar","images/stimuli/spore_stims/complex_14_A_b.gif","right","","","","",""
"","null","html-keyboard-response","28","174906","0.0-11.0-0.1","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","3067.73999996949","sequential-stimulus-presentation","29","178820","0.0-11.0-1.1","SS1612925841711","trial","","40","800","3867.73999996949","","","","","1","complex_similar","images/stimuli/spore_stims/complex_14_A_b.gif","right","","","","",""
"","null","html-keyboard-response","30","179920","0.0-11.0-0.2","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","5252.375000040047","sequential-stimulus-presentation","31","186012","0.0-11.0-1.2","SS1612925841711","trial","","40","800","6052.375000040047","","","","","1","complex_similar","images/stimuli/spore_stims/complex_14_A_b.gif","right","","","","",""
"","null","html-keyboard-response","32","187100","0.0-11.0-0.3","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2886.6350000025705","sequential-stimulus-presentation","33","190811","0.0-11.0-1.3","SS1612925841711","trial","","40","800","3686.6350000025705","","","","","1","complex_similar","images/stimuli/spore_stims/complex_14_A_b.gif","right","","","","",""
"","null","html-keyboard-response","34","191929","0.0-11.0-0.4","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","3938.829999999143","sequential-stimulus-presentation","35","196709","0.0-11.0-1.4","SS1612925841711","trial","","40","800","4738.829999999143","","","","","1","complex_similar","images/stimuli/spore_stims/complex_14_B_b.gif","left","","","","",""
"","null","html-keyboard-response","36","197770","0.0-11.0-0.5","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1297.3549999296665","sequential-stimulus-presentation","37","199935","0.0-11.0-1.5","SS1612925841711","trial","","40","800","2097.3549999296665","","","","","1","complex_similar","images/stimuli/spore_stims/complex_14_A_b.gif","right","","","","",""
"","null","html-keyboard-response","38","201117","0.0-11.0-0.6","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","7505.490000010468","sequential-stimulus-presentation","39","209455","0.0-11.0-1.6","SS1612925841711","trial","","40","800","8305.490000010468","","","","","1","complex_similar","images/stimuli/spore_stims/complex_14_A_b.gif","right","","","","",""
"","null","html-keyboard-response","40","210600","0.0-11.0-0.7","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2557.5400000670925","sequential-stimulus-presentation","41","214000","0.0-11.0-1.7","SS1612925841711","trial","","40","800","3357.5400000670925","","","","","1","complex_similar","images/stimuli/spore_stims/complex_14_A_b.gif","right","","","","",""
"","2871.1799999000505","html-keyboard-response","42","216894","0.0-12.0","SS1612925841711","pref_question","","50","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","1","","","","","","","",""
"","4747.600000002421","sequential-stimulus-presentation","43","222469","0.0-13.0","SS1612925841711","pref_reveal","","40","800","5547.600000002421","","","","","1","","","","novel","","","",""
