"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected"
"[{""page_index"":0,""viewing_time"":1205.6700000539422},{""page_index"":1,""viewing_time"":1018.51500000339}]","2224.5399999665096","instructions","instructions","0","2226","0.0-0.0","SS1611940976610","","","","","","","","","","",""
"","718.0699999444187","","sequential-stimulus-presentation","1","3849","0.0-1.0","SS1611940976610","","40","900","1618.0699999444187","","","","","","",""
"","364.52000006102026","","sequential-stimulus-presentation","2","5120","0.0-2.0","SS1611940976610","","40","900","1264.5200000610203","","","","","","",""
"[{""page_index"":0,""viewing_time"":1685.1500000339001}]","1685.4450000682846","instructions","instructions","3","6809","0.0-3.0","SS1611940976610","","","","","","","","","","",""
"","6161.240000044927","instructions","html-keyboard-response","4","12978","0.0-4.0","SS1611940976610","","49","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","1","left","","","",""
"","1287.9099999554455","pref_reveal","sequential-stimulus-presentation","5","15171","0.0-5.0","SS1611940976610","","40","900","2187.9099999554455","","","","","","",""
"[{""page_index"":0,""viewing_time"":10512.140000006184},{""page_index"":1,""viewing_time"":1774.2599999764934},{""page_index"":2,""viewing_time"":996.4200000977144},{""page_index"":3,""viewing_time"":329.5149999903515}]","13612.595000071451","instructions","instructions","6","28786","0.0-6.0","SS1611940976610","","","","","","","","","","",""
"","null","","html-keyboard-response","7","29687","0.0-7.0-0.0","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","465.5000000493601","trial","sequential-stimulus-presentation","8","31061","0.0-7.0-1.0","SS1611940976610","","40","900","1365.50000004936","","","","0","images/stimuli/spore_stims/simple_16_A_a.gif","left",""
"","null","","html-keyboard-response","9","31964","0.0-7.0-0.1","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
