"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed"
"[{""page_index"":0,""viewing_time"":10085.919999983162},{""page_index"":1,""viewing_time"":2873.4150000382215}]","12960.650000022724","instructions","instructions","0","12979","0.0-0.0","SS1611963135559","","","","","","","","","",""
"","3875.5200000014156","","sequential-stimulus-presentation","1","17765","0.0-1.0","SS1611963135559","","40","900","4775.520000001416","","","","","",""
"","2254.5300000347197","","sequential-stimulus-presentation","2","20923","0.0-2.0","SS1611963135559","","40","900","3154.5300000347197","","","","","",""
"[{""page_index"":0,""viewing_time"":1824.199999915436}]","1824.534999905154","instructions","instructions","3","22750","0.0-3.0","SS1611963135559","","","","","","","","","",""
"","1837.3750001192093","instructions","html-keyboard-response","4","24592","0.0-4.0","SS1611963135559","","49","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","1","left","","",""
"","1451.7350001260638","pref_reveal","sequential-stimulus-presentation","5","26951","0.0-5.0","SS1611963135559","","40","900","2351.735000126064","","","","","",""
"[{""page_index"":0,""viewing_time"":7631.190000101924},{""page_index"":1,""viewing_time"":1463.770000031218},{""page_index"":2,""viewing_time"":895.2299999073148},{""page_index"":3,""viewing_time"":617.7700001280755}]","10608.27500000596","instructions","instructions","6","37564","0.0-6.0","SS1611963135559","","","","","","","","","",""
"","null","","html-keyboard-response","7","38728","0.0-7.0-0.0","SS1611963135559","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","2481.3350001350045","trial","sequential-stimulus-presentation","8","42121","0.0-7.0-1.0","SS1611963135559","","40","900","3381.3350001350045","","","","0","images/stimuli/spore_stims/complex_12_A_d.gif","right"
"","null","","html-keyboard-response","9","43174","0.0-7.0-0.1","SS1611963135559","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
