"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":4666.0699999993085},{""page_index"":1,""viewing_time"":4720.334999998158}]","9387.455000000045","instructions","instructions","0","9389","0.0-0.0","SS1612117478452","","","","","","","","","","","","","","","",""
"","3500.6199999988894","","sequential-stimulus-presentation","1","13798","0.0-1.0","SS1612117478452","","40","900","4400.619999998889","","","","","","","","","","","",""
"","3236.994999999297","","sequential-stimulus-presentation","2","17938","0.0-2.0","SS1612117478452","","40","900","4136.994999999297","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3706.754999999248}]","3706.9749999973283","instructions","instructions","3","21646","0.0-3.0","SS1612117478452","","","","","","","","","","","","","","","",""
"","12189.220000000205","instructions","html-keyboard-response","4","33837","0.0-4.0","SS1612117478452","","51","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","3","right","","","","","","","","",""
"","2879.54499999978","pref_reveal","sequential-stimulus-presentation","5","37626","0.0-5.0","SS1612117478452","","40","900","3779.54499999978","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6902.089999999589},{""page_index"":1,""viewing_time"":4188.174999999319},{""page_index"":2,""viewing_time"":1218.44499999861},{""page_index"":3,""viewing_time"":1083.0449999994016}]","13391.98000000033","instructions","instructions","6","51019","0.0-6.0","SS1612117478452","","","","","","","","","","","","","","","",""
"","null","","html-keyboard-response","7","52187","0.0-7.0-0.0","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","2058.5449999998673","trial","sequential-stimulus-presentation","8","54950","0.0-7.0-1.0","SS1612117478452","","40","700","2758.5449999998673","","","","0","complex_similar","images/stimuli/spore_stims/complex_15_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","9","55948","0.0-7.0-0.1","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","2017.4649999971734","trial","sequential-stimulus-presentation","10","58672","0.0-7.0-1.1","SS1612117478452","","40","700","2717.4649999971734","","","","0","complex_similar","images/stimuli/spore_stims/complex_15_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","11","59942","0.0-7.0-0.2","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","1297.0099999984086","trial","sequential-stimulus-presentation","12","61948","0.0-7.0-1.2","SS1612117478452","","40","700","1997.0099999984086","","","","0","complex_similar","images/stimuli/spore_stims/complex_15_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","13","62897","0.0-7.0-0.3","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","778.1950000025972","trial","sequential-stimulus-presentation","14","64384","0.0-7.0-1.3","SS1612117478452","","40","700","1478.1950000025972","","","","0","complex_similar","images/stimuli/spore_stims/complex_15_B_d.gif","right","","","","",""
"","null","","html-keyboard-response","15","65345","0.0-7.0-0.4","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","808.5150000006252","trial","sequential-stimulus-presentation","16","66859","0.0-7.0-1.4","SS1612117478452","","40","700","1508.5150000006252","","","","0","complex_similar","images/stimuli/spore_stims/complex_15_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","17","68138","0.0-7.0-0.5","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","1528.4600000013597","trial","sequential-stimulus-presentation","18","70372","0.0-7.0-1.5","SS1612117478452","","40","700","2228.4600000013597","","","","0","complex_similar","images/stimuli/spore_stims/complex_15_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","19","71583","0.0-7.0-0.6","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","240.77000000033877","trial","sequential-stimulus-presentation","20","72529","0.0-7.0-1.6","SS1612117478452","","40","700","940.7700000003388","","","","0","complex_similar","images/stimuli/spore_stims/complex_15_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","21","73714","0.0-7.0-0.7","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
