"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":1945.2900000032969}]","1945.5350000062026","instructions","0","1946","0.0-0.0","SS1613020801957","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1542.6899999729358},{""page_index"":1,""viewing_time"":1311.4449999993667}]","2854.5399999711663","instructions","1","6804","0.0-1.0","SS1613020801957","instructions","","","","","","","","","","","","","","","","",""
"","1959.175000025425","sequential-stimulus-presentation","2","9574","0.0-2.0","SS1613020801957","","","40","800","2759.175000025425","","","","","","","","","","","","",""
"","432.86499998066574","sequential-stimulus-presentation","3","10812","0.0-3.0","SS1613020801957","","","40","800","1232.8649999806657","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2996.9750000163913}]","2997.460000042338","instructions","4","13811","0.0-4.0","SS1613020801957","instructions","","","","","","","","","","","","","","","","",""
"","2910.329999984242","html-keyboard-response","5","16726","0.0-5.0","SS1613020801957","instructions","","50","","","<video width ='960' height = '540' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","","","","","","","","",""
"","1483.2999999634922","sequential-stimulus-presentation","6","19018","0.0-6.0","SS1613020801957","pref_reveal","","40","800","2283.299999963492","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2311.424999963492},{""page_index"":1,""viewing_time"":663.4949999861419},{""page_index"":2,""viewing_time"":22528.57500000391},{""page_index"":3,""viewing_time"":774.93500005221}]","26278.999999980442","instructions","7","45298","0.0-7.0","SS1613020801957","instructions","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","46357","0.0-8.0-0.0","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1035.0949999992736","sequential-stimulus-presentation","9","48203","0.0-8.0-1.0","SS1613020801957","trial","","40","800","1835.0949999992736","","","","","0","simple_similar","images/stimuli/spore_stims/simple_12_B_b.gif","middle","","","","",""
