"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":17943.184999981895},{""page_index"":1,""viewing_time"":6689.41500002984}]","24634.62500006426","instructions","instructions","0","24694","0.0-0.0","SS1611976444667","","","","","","","","","","","","","","",""
"","7180.644999956712","","sequential-stimulus-presentation","1","32792","0.0-1.0","SS1611976444667","","40","900","8080.644999956712","","","","","","","","","","",""
"","4086.424999986775","","sequential-stimulus-presentation","2","37786","0.0-2.0","SS1611976444667","","40","900","4986.424999986775","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6072.7650000480935}]","6073.270000051707","instructions","instructions","3","43862","0.0-3.0","SS1611976444667","","","","","","","","","","","","","","",""
"","158422.35999996774","instructions","html-keyboard-response","4","202291","0.0-4.0","SS1611976444667","","50","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","2","middle","","","","","","","",""
"","8960.580000071786","pref_reveal","sequential-stimulus-presentation","5","212161","0.0-5.0","SS1611976444667","","40","900","9860.580000071786","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":14249.869999941438},{""page_index"":1,""viewing_time"":6774.84500000719},{""page_index"":2,""viewing_time"":1577.4150000652298},{""page_index"":3,""viewing_time"":822.8949999902397}]","23425.285000004806","instructions","instructions","6","235596","0.0-6.0","SS1611976444667","","","","","","","","","","","","","","",""
"","null","","html-keyboard-response","7","236608","0.0-7.0-0.0","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","3004.534999956377","trial","sequential-stimulus-presentation","8","240537","0.0-7.0-1.0","SS1611976444667","","40","900","3904.534999956377","","","","0","images/stimuli/spore_stims/complex_12_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","9","241514","0.0-7.0-0.1","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","1250.9649998974055","trial","sequential-stimulus-presentation","10","243677","0.0-7.0-1.1","SS1611976444667","","40","900","2150.9649998974055","","","","0","images/stimuli/spore_stims/complex_12_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","11","244868","0.0-7.0-0.2","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","3090.999999898486","trial","sequential-stimulus-presentation","12","248870","0.0-7.0-1.2","SS1611976444667","","40","900","3990.999999898486","","","","0","images/stimuli/spore_stims/complex_12_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","13","250152","0.0-7.0-0.3","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","395.40000003762543","trial","sequential-stimulus-presentation","14","251459","0.0-7.0-1.3","SS1611976444667","","40","900","1295.4000000376254","","","","0","images/stimuli/spore_stims/complex_12_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","15","252270","0.0-7.0-0.4","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","3844.3950000219047","trial","sequential-stimulus-presentation","16","257023","0.0-7.0-1.4","SS1611976444667","","40","900","4744.395000021905","","","","0","images/stimuli/spore_stims/complex_12_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","17","258268","0.0-7.0-0.5","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","498.4599999152124","trial","sequential-stimulus-presentation","18","259683","0.0-7.0-1.5","SS1611976444667","","40","900","1398.4599999152124","","","","0","images/stimuli/spore_stims/complex_12_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","19","260670","0.0-7.0-0.6","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","435.23500009905547","trial","sequential-stimulus-presentation","20","262019","0.0-7.0-1.6","SS1611976444667","","40","900","1335.2350000990555","","","","0","images/stimuli/spore_stims/complex_12_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","21","262999","0.0-7.0-0.7","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","452.8400000417605","trial","sequential-stimulus-presentation","22","264366","0.0-7.0-1.7","SS1611976444667","","40","900","1352.8400000417605","","","","0","images/stimuli/spore_stims/complex_12_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","23","265200","0.0-7.0-0.8","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
