"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","block_type","stimulus_displayed","position_displayed"
"[{""page_index"":0,""viewing_time"":2317.754999996396},{""page_index"":1,""viewing_time"":845.9650000004331}]","3163.989999993646","instructions","instructions","0","3178","0.0-0.0","SS1612186510463","","","","","","","","","","",""
"","1148.9499999952386","","sequential-stimulus-presentation","1","5230","0.0-1.0","SS1612186510463","","40","900","2048.9499999952386","","","","","","",""
"","1044.0349999989849","","sequential-stimulus-presentation","2","7181","0.0-2.0","SS1612186510463","","40","900","1944.0349999989849","","","","","","",""
"[{""page_index"":0,""viewing_time"":1710.3550000028918}]","1710.5700000029174","instructions","instructions","3","8893","0.0-3.0","SS1612186510463","","","","","","","","","","",""
"","1260.9799999991083","instructions","html-keyboard-response","4","10155","0.0-4.0","SS1612186510463","","51","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","3","right","","","",""
"","1809.594999998808","pref_reveal","sequential-stimulus-presentation","5","12870","0.0-5.0","SS1612186510463","","40","900","2709.594999998808","","","","","","",""
"[{""page_index"":0,""viewing_time"":1496.9250000067404},{""page_index"":1,""viewing_time"":584.5999999946798},{""page_index"":2,""viewing_time"":742.6550000018324},{""page_index"":3,""viewing_time"":677.7799999981653}]","3502.1100000012666","instructions","instructions","6","16373","0.0-6.0","SS1612186510463","","","","","","","","","","",""
"","null","","html-keyboard-response","7","17420","0.0-7.0-0.0","SS1612186510463","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","3147.239999998419","trial","sequential-stimulus-presentation","8","21277","0.0-7.0-1.0","SS1612186510463","","40","700","3847.239999998419","","","","0","simple_similar","images/stimuli/spore_stims/simple_17_B_c.gif","left"
"","null","","html-keyboard-response","9","22347","0.0-7.0-0.1","SS1612186510463","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","1740.460000000894","trial","sequential-stimulus-presentation","10","24794","0.0-7.0-1.1","SS1612186510463","","40","700","2440.460000000894","","","","0","simple_similar","images/stimuli/spore_stims/simple_17_B_c.gif","left"
"","null","","html-keyboard-response","11","25838","0.0-7.0-0.2","SS1612186510463","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","540.515000000596","trial","sequential-stimulus-presentation","12","27082","0.0-7.0-1.2","SS1612186510463","","40","700","1240.515000000596","","","","0","simple_similar","images/stimuli/spore_stims/simple_17_B_c.gif","left"
"","null","","html-keyboard-response","13","28113","0.0-7.0-0.3","SS1612186510463","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
