"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":5912.935000000289}]","5913.424999976996","instructions","0","5915","0.0-0.0","SS1612927684632","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":17788.079999998445},{""page_index"":1,""viewing_time"":8170.049999986077}]","25958.249999996042","instructions","1","33876","0.0-1.0","SS1612927684632","instructions","","","","","","","","","","","","","","","","",""
"","8484.175000019604","sequential-stimulus-presentation","2","43177","0.0-2.0","SS1612927684632","","","40","800","9284.175000019604","","","","","","","","","","","","",""
"","1964.9950000166427","sequential-stimulus-presentation","3","45956","0.0-3.0","SS1612927684632","","","40","800","2764.9950000166427","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4908.8599999959115}]","4909.000000014203","instructions","4","50866","0.0-4.0","SS1612927684632","instructions","","","","","","","","","","","","","","","","",""
"","13963.790000008885","html-keyboard-response","5","64832","0.0-5.0","SS1612927684632","instructions","","98","","","<video width ='960' height = '540' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","","","","","","","","",""
"","2668.854999996256","sequential-stimulus-presentation","6","68304","0.0-6.0","SS1612927684632","pref_reveal","","40","800","3468.854999996256","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":11479.399999981979},{""page_index"":1,""viewing_time"":2549.890000023879},{""page_index"":2,""viewing_time"":1669.8549999855459},{""page_index"":3,""viewing_time"":1320.145000005141}]","17019.484999997076","instructions","7","85325","0.0-7.0","SS1612927684632","instructions","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","86450","0.0-8.0-0.0","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","4626.915000000736","sequential-stimulus-presentation","9","91885","0.0-8.0-1.0","SS1612927684632","trial","","40","800","5426.915000000736","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_02_B_b.gif","middle","","","","",""
"","null","html-keyboard-response","10","92917","0.0-8.0-0.1","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2486.3550000009127","sequential-stimulus-presentation","11","96214","0.0-8.0-1.1","SS1612927684632","trial","","40","800","3286.3550000009127","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_02_B_b.gif","middle","","","","",""
"","null","html-keyboard-response","12","97093","0.0-8.0-0.2","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2264.2999999807216","sequential-stimulus-presentation","13","100164","0.0-8.0-1.2","SS1612927684632","trial","","40","800","3064.2999999807216","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_02_B_b.gif","middle","","","","",""
"","null","html-keyboard-response","14","101272","0.0-8.0-0.3","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1273.2949999917764","sequential-stimulus-presentation","15","103354","0.0-8.0-1.3","SS1612927684632","trial","","40","800","2073.2949999917764","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_02_B_b.gif","middle","","","","",""
"","null","html-keyboard-response","16","104338","0.0-8.0-0.4","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1706.4299999910872","sequential-stimulus-presentation","17","106853","0.0-8.0-1.4","SS1612927684632","trial","","40","800","2506.4299999910872","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_02_B_b.gif","middle","","","","",""
"","null","html-keyboard-response","18","107938","0.0-8.0-0.5","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2462.570000003325","sequential-stimulus-presentation","19","111214","0.0-8.0-1.5","SS1612927684632","trial","","40","800","3262.570000003325","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_02_B_b.gif","middle","","","","",""
"","null","html-keyboard-response","20","112118","0.0-8.0-0.6","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","6265.454999986105","sequential-stimulus-presentation","21","119194","0.0-8.0-1.6","SS1612927684632","trial","","40","800","7065.454999986105","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_03_B_d.gif","right","","","","",""
"","null","html-keyboard-response","22","120291","0.0-8.0-0.7","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1088.7949999887496","sequential-stimulus-presentation","23","122193","0.0-8.0-1.7","SS1612927684632","trial","","40","800","1888.7949999887496","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_02_B_b.gif","middle","","","","",""
"","2220.935000019381","html-keyboard-response","24","124416","0.0-9.0","SS1612927684632","pref_question","","97","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","0","","","","","","","",""
"","3314.2299999890383","sequential-stimulus-presentation","25","128534","0.0-10.0","SS1612927684632","pref_reveal","","40","800","4114.229999989038","","","","","0","","","","novel","","","",""
"","null","html-keyboard-response","26","129482","0.0-11.0-0.0","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","3599.194999987958","sequential-stimulus-presentation","27","133894","0.0-11.0-1.0","SS1612927684632","trial","","40","800","4399.194999987958","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_08_B_a.gif","right","","","","",""
"","null","html-keyboard-response","28","134920","0.0-11.0-0.1","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2797.465000010561","sequential-stimulus-presentation","29","138524","0.0-11.0-1.1","SS1612927684632","trial","","40","800","3597.465000010561","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_08_B_a.gif","right","","","","",""
"","null","html-keyboard-response","30","139735","0.0-11.0-0.2","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","5540.739999996731","sequential-stimulus-presentation","31","146083","0.0-11.0-1.2","SS1612927684632","trial","","40","800","6340.739999996731","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_17_B_d.gif","middle","","","","",""
"","null","html-keyboard-response","32","147331","0.0-11.0-0.3","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1347.0800000068266","sequential-stimulus-presentation","33","149493","0.0-11.0-1.3","SS1612927684632","trial","","40","800","2147.0800000068266","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_08_B_a.gif","right","","","","",""
"","null","html-keyboard-response","34","150737","0.0-11.0-0.4","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1709.5399999816436","sequential-stimulus-presentation","35","153263","0.0-11.0-1.4","SS1612927684632","trial","","40","800","2509.5399999816436","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_08_B_a.gif","right","","","","",""
"","null","html-keyboard-response","36","154177","0.0-11.0-0.5","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1968.7750000157394","sequential-stimulus-presentation","37","156953","0.0-11.0-1.5","SS1612927684632","trial","","40","800","2768.7750000157394","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_08_B_a.gif","right","","","","",""
"","null","html-keyboard-response","38","158153","0.0-11.0-0.6","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2660.0849999813363","sequential-stimulus-presentation","39","161623","0.0-11.0-1.6","SS1612927684632","trial","","40","800","3460.0849999813363","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_08_B_a.gif","right","","","","",""
"","null","html-keyboard-response","40","162845","0.0-11.0-0.7","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2381.8500000052154","sequential-stimulus-presentation","41","166043","0.0-11.0-1.7","SS1612927684632","trial","","40","800","3181.8500000052154","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_08_B_a.gif","right","","","","",""
"","2859.4649999868125","html-keyboard-response","42","168905","0.0-12.0","SS1612927684632","pref_question","","97","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","1","","","","","","","",""
"","4740.169999975478","sequential-stimulus-presentation","43","174452","0.0-13.0","SS1612927684632","pref_reveal","","40","800","5540.169999975478","","","","","1","","","","novel","","","",""
"","null","html-keyboard-response","44","175662","0.0-14.0-0.0","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","4902.289999998175","sequential-stimulus-presentation","45","181373","0.0-14.0-1.0","SS1612927684632","trial","","40","800","5702.289999998175","","","","","2","simple_dissimilar","images/stimuli/spore_stims/simple_02_B_d.gif","middle","","","","",""
"","null","html-keyboard-response","46","182639","0.0-14.0-0.1","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2609.744999994291","sequential-stimulus-presentation","47","186061","0.0-14.0-1.1","SS1612927684632","trial","","40","800","3409.744999994291","","","","","2","simple_dissimilar","images/stimuli/spore_stims/simple_02_B_d.gif","middle","","","","",""
"","null","html-keyboard-response","48","187289","0.0-14.0-0.2","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","5394.33999999892","sequential-stimulus-presentation","49","193501","0.0-14.0-1.2","SS1612927684632","trial","","40","800","6194.33999999892","","","","","2","simple_dissimilar","images/stimuli/spore_stims/simple_02_B_d.gif","middle","","","","",""
"","null","html-keyboard-response","50","194688","0.0-14.0-0.3","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2095.8649999811314","sequential-stimulus-presentation","51","197591","0.0-14.0-1.3","SS1612927684632","trial","","40","800","2895.8649999811314","","","","","2","simple_dissimilar","images/stimuli/spore_stims/simple_02_B_d.gif","middle","","","","",""
"","null","html-keyboard-response","52","198627","0.0-14.0-0.4","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","3840.855000016745","sequential-stimulus-presentation","53","203281","0.0-14.0-1.4","SS1612927684632","trial","","40","800","4640.855000016745","","","","","2","simple_dissimilar","images/stimuli/spore_stims/simple_03_B_a.gif","right","","","","",""
"","null","html-keyboard-response","54","204155","0.0-14.0-0.5","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1190.245000005234","sequential-stimulus-presentation","55","206161","0.0-14.0-1.5","SS1612927684632","trial","","40","800","1990.245000005234","","","","","2","simple_dissimilar","images/stimuli/spore_stims/simple_02_B_d.gif","middle","","","","",""
"","null","html-keyboard-response","56","207067","0.0-14.0-0.6","SS1612927684632","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1952.0500000216998","sequential-stimulus-presentation","57","209831","0.0-14.0-1.6","SS1612927684632","trial","","40","800","2752.0500000217","","","","","2","simple_dissimilar","images/stimuli/spore_stims/simple_02_B_d.gif","middle","","","","",""
