"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":5934.129999950528}]","5935.035000089556","instructions","0","5937","0.0-0.0","SS1613079990976","","","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3879.3100002221763},{""page_index"":1,""viewing_time"":9518.054999876767}]","13397.65499997884","instructions","1","21338","0.0-1.0","SS1613079990976","instructions","","","","","","","","","","","","","","","","","","",""
"","4167.9600002244115","sequential-stimulus-presentation","2","26405","0.0-2.0","SS1613079990976","","","40","800","4967.9600002244115","null","null","","","","","","","","","","","","",""
"","1192.8350003436208","sequential-stimulus-presentation","3","28405","0.0-3.0","SS1613079990976","","","40","800","1992.8350003436208","null","null","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1651.7650000751019}]","1652.0199999213219","instructions","4","30059","0.0-4.0","SS1613079990976","instructions","","","","","","","","","","","","","","","","","","",""
"","11233.750000130385","html-keyboard-response","5","41297","0.0-5.0","SS1613079990976","instructions","","50","","","","","<video width ='960' height = '540' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","","","","","","","","",""
"","1386.9499997235835","sequential-stimulus-presentation","6","43494","0.0-6.0","SS1613079990976","pref_reveal","","40","800","2186.9499997235835","null","null","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1472.3950000479817},{""page_index"":1,""viewing_time"":3175.679999869317},{""page_index"":2,""viewing_time"":2702.440000139177},{""page_index"":3,""viewing_time"":977.5450001470745}]","8328.354999888688","instructions","7","51823","0.0-7.0","SS1613079990976","instructions","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","53086","0.0-8.0-0.0","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1821.059999987483","sequential-stimulus-presentation","9","55713","0.0-8.0-1.0","SS1613079990976","trial","","40","800","2621.059999987483","images/stimuli/spore_stims/simple_03_A_a.gif","images/stimuli/spore_stims/simple_08_A_a.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_08_A_a.gif","left","","","","",""
