"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected"
"[{""page_index"":0,""viewing_time"":3338.7600000132807}]","3340.550000022631","instructions","0","3344","0.0-0.0","SS1613099237624","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1634.4499999831896},{""page_index"":1,""viewing_time"":3077.530000009574}]","4712.614999996731","instructions","1","10062","0.0-1.0","SS1613099237624","instructions","","","","","","","","","","","","","","",""
"","3144.929999980377","sequential-stimulus-presentation","2","14017","0.0-2.0","SS1613099237624","","","40","800","3944.929999980377","null","null","","","","","","","","",""
"","241.62000001524575","sequential-stimulus-presentation","3","15067","0.0-3.0","SS1613099237624","","","40","800","1041.6200000152458","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2577.9200000106357}]","2578.5650000034366","instructions","4","17647","0.0-4.0","SS1613099237624","instructions","","","","","","","","","","","","","","",""
"","3857.8550000092946","html-keyboard-response","5","21514","0.0-5.0","SS1613099237624","instructions","","50","","","","","<video width ='960' height = '540' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","","","","",""
"","1674.4349999935366","sequential-stimulus-presentation","6","24003","0.0-6.0","SS1613099237624","pref_reveal","","40","800","2474.4349999935366","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2125.1000000047497},{""page_index"":1,""viewing_time"":1239.2699999909382},{""page_index"":2,""viewing_time"":1570.6650000065565},{""page_index"":3,""viewing_time"":1487.154999980703}]","6423.339999979362","instructions","7","30429","0.0-7.0","SS1613099237624","instructions","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","31681","0.0-8.0-0.0","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","579.8199999844655","sequential-stimulus-presentation","9","33081","0.0-8.0-1.0","SS1613099237624","trial","","40","800","1379.8199999844655","images/stimuli/spore_stims/simple_11_A_d.gif","images/stimuli/spore_stims/simple_05_A_c.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_05_A_c.gif","right",""
"","null","html-keyboard-response","10","33957","0.0-8.0-0.1","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","369.0000000060536","sequential-stimulus-presentation","11","35137","0.0-8.0-1.1","SS1613099237624","trial","","40","800","1169.0000000060536","images/stimuli/spore_stims/simple_11_A_d.gif","images/stimuli/spore_stims/simple_05_A_c.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_05_A_c.gif","right",""
"","null","html-keyboard-response","12","36229","0.0-8.0-0.2","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","275.67000000271946","sequential-stimulus-presentation","13","37317","0.0-8.0-1.2","SS1613099237624","trial","","40","800","1075.6700000027195","images/stimuli/spore_stims/simple_11_A_d.gif","images/stimuli/spore_stims/simple_05_A_c.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_05_A_c.gif","right",""
"","null","html-keyboard-response","14","38154","0.0-8.0-0.3","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
