view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,stimulus_type,trial_stimulus,key_press,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,stimulus,block_number,block_type,stimulus_displayed,responses,question_order,math_correct_answer,stimulus_left,stimulus_right
"[{""page_index"":0,""viewing_time"":199443.90000000596}]",199445.09999999404,instructions,0,199447,0.0-0.0,SS1626380790586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[{""page_index"":0,""viewing_time"":8341.90000000596},{""page_index"":1,""viewing_time"":4004}]",12346.299999982119,instructions,1,213806,0.0-1.0,SS1626380790586,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4299.699999988079,sequential-stimulus-presentation-old,2,218626,0.0-2.0,SS1626380790586,NA,NA,40,500,4799.699999988079,null,null,self_paced,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4631,sequential-stimulus-presentation-old,3,223775,0.0-3.0,SS1626380790586,NA,NA,40,500,5131,null,null,self_paced,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[{""page_index"":0,""viewing_time"":8896.59999999404}]",8897,instructions,4,232675,0.0-4.0,SS1626380790586,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5955.600000023842,sequential-stimulus-presentation-old,5,239135,0.0-5.0,SS1626380790586,NA,NA,40,500,6455.600000023842,null,null,forced_short,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3181.699999988079,sequential-stimulus-presentation-old,6,242823,0.0-6.0,SS1626380790586,NA,NA,40,500,3681.699999988079,null,null,forced_short,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[{""page_index"":0,""viewing_time"":2538.0999999940395}]",2538.5,instructions,7,245364,0.0-7.0,SS1626380790586,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[{""page_index"":0,""viewing_time"":6814.4000000059605},{""page_index"":1,""viewing_time"":10890},{""page_index"":2,""viewing_time"":5389},{""page_index"":3,""viewing_time"":1365},{""page_index"":4,""viewing_time"":1372.0999999940395}]",25830.90000000596,instructions,8,271198,0.0-8.0,SS1626380790586,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,null,html-keyboard-response,9,272066,0.0-9.0-0.0,SS1626380790586,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA
NA,3493.300000011921,sequential-stimulus-presentation-old,10,275935,0.0-9.0-1.0,SS1626380790586,trial,NA,40,500,3993.300000011921,images/stimuli/spore_stims/complex_19_A_a.gif,images/stimuli/spore_stims/complex_21_A_a.gif,forced_short,370,NA,0,complex_dissimilar,images/stimuli/spore_stims/complex_21_A_a.gif,NA,NA,NA,NA,NA
NA,null,html-keyboard-response,11,276883,0.0-9.0-0.1,SS1626380790586,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA
NA,1584.3999999761581,sequential-stimulus-presentation-old,12,278975,0.0-9.0-1.1,SS1626380790586,trial,NA,40,500,2084.399999976158,images/stimuli/spore_stims/complex_19_A_a.gif,images/stimuli/spore_stims/complex_21_A_a.gif,forced_short,370,NA,0,complex_dissimilar,images/stimuli/spore_stims/complex_21_A_a.gif,NA,NA,NA,NA,NA
