"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","question_order","view_history","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","stimulus","block_number","block_type","stimulus_displayed","math_correct_answer"
"true","fullscreen","0","1889","0.0-0.0","SS1630642772773","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","1","3399","0.0-1.0","SS1630642772773","1505.1000000238419","{""task"":""Math""}","[0]","","","","","","","","","","","","","","",""
"","instructions","2","4241","0.0-2.0-0.0","SS1630642772773","835.6000000238419","","","[{""page_index"":0,""viewing_time"":835}]","","","","","","","","","","","","","",""
"","instructions","3","12550","0.0-2.0-1.0","SS1630642772773","6302.199999928474","","","[{""page_index"":0,""viewing_time"":5290.699999928474},{""page_index"":1,""viewing_time"":1011.1000000238419}]","instructions","","","","","","","","","","","","",""
"","stimuli-presentation","4","14038","0.0-2.0-2.0","SS1630642772773","978.7999999523163","","","","","","40","500","1478.7999999523163","null","null","self_paced","0","","","","",""
"","stimuli-presentation","5","14780","0.0-2.0-3.0","SS1630642772773","239.29999995231628","","","","","","40","500","739.2999999523163","null","null","self_paced","0","","","","",""
"","instructions","6","16078","0.0-2.0-4.0","SS1630642772773","1296.8999999761581","","","[{""page_index"":0,""viewing_time"":1296.6000000238419}]","instructions","","","","","","","","","","","","",""
"","instructions","7","24734","0.0-2.0-5.0","SS1630642772773","8653.700000047684","","","[{""page_index"":0,""viewing_time"":2310.2000000476837},{""page_index"":1,""viewing_time"":4128},{""page_index"":2,""viewing_time"":942.3999999761581},{""page_index"":3,""viewing_time"":752.3999999761581},{""page_index"":4,""viewing_time"":520}]","instructions","","","","","","","","","","","","",""
"","html-keyboard-response","8","25903","0.0-2.0-6.0-0.0","SS1630642772773","null","","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","",""
"","stimuli-presentation","9","26429","0.0-2.0-6.0-1.0","SS1630642772773","19.700000047683716","","","","trial","","40","500","519.7000000476837","images/stimuli/simple_07_A_a.gif","images/stimuli/simple_19_A_a.gif","self_paced","690","","0","simple_dissimilar","images/stimuli/simple_19_A_a.gif",""
"","html-keyboard-response","10","27346","0.0-2.0-6.0-0.1","SS1630642772773","null","","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","",""
"","stimuli-presentation","11","27949","0.0-2.0-6.0-1.1","SS1630642772773","95.29999995231628","","","","trial","","40","500","595.2999999523163","images/stimuli/simple_07_A_a.gif","images/stimuli/simple_19_A_a.gif","self_paced","690","","0","simple_dissimilar","images/stimuli/simple_19_A_a.gif",""
"","html-keyboard-response","12","28944","0.0-2.0-6.0-0.2","SS1630642772773","null","","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","",""
"","stimuli-presentation","13","29523","0.0-2.0-6.0-1.2","SS1630642772773","75.20000004768372","","","","trial","","40","500","575.2000000476837","images/stimuli/simple_07_A_a.gif","images/stimuli/simple_19_A_a.gif","self_paced","690","","0","simple_dissimilar","images/stimuli/simple_19_A_a.gif",""
"","html-keyboard-response","14","30357","0.0-2.0-6.0-0.3","SS1630642772773","null","","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","",""
"","stimuli-presentation","15","31009","0.0-2.0-6.0-1.3","SS1630642772773","146.5","","","","trial","","40","500","646.5","images/stimuli/simple_07_A_a.gif","images/stimuli/simple_19_A_a.gif","self_paced","690","","0","simple_dissimilar","images/stimuli/simple_19_A_a.gif",""
"","html-keyboard-response","16","31874","0.0-2.0-6.0-0.4","SS1630642772773","null","","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","",""
"","stimuli-presentation","17","32541","0.0-2.0-6.0-1.4","SS1630642772773","161.09999990463257","","","","trial","","40","500","661.0999999046326","images/stimuli/simple_07_A_a.gif","images/stimuli/simple_19_A_a.gif","self_paced","690","","0","simple_dissimilar","images/stimuli/simple_19_A_a.gif",""
"","html-keyboard-response","18","33789","0.0-2.0-6.0-0.5","SS1630642772773","null","","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","",""
"","stimuli-presentation","19","34487","0.0-2.0-6.0-1.5","SS1630642772773","190.10000002384186","","","","trial","","40","500","690.1000000238419","images/stimuli/simple_07_A_a.gif","images/stimuli/simple_19_A_a.gif","self_paced","690","","0","simple_dissimilar","images/stimuli/simple_19_A_a.gif",""
"","survey-multi-choice","20","36911","0.0-2.0-7.0","SS1630642772773","2421.8000000715256","{""Q0"":""9""}","[0]","","math_question","","","","","","","","","","","","","9"
"","html-keyboard-response","21","37832","0.0-2.0-8.0-0.0","SS1630642772773","null","","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","",""
