rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,subject,success,view_history,stimulus_type,trial_stimulus,key_press,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,stimulus,block_number,block_type,stimulus_displayed,question_order,question_stimuli,block_index,stimulus_left,stimulus_right,math_correct_answer
2498.6999999284744,"{""p_id"":""a""}",survey-text,0,2502,0.0-0.0,SS1630642817043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,fullscreen,1,4158,0.0-1.0,SS1630642817043,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1489.5,NA,instructions,2,5649,0.0-2.0,SS1630642817043,NA,"[{""page_index"":0,""viewing_time"":1488.8999999761581}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2976.399999976158,NA,instructions,3,10631,0.0-3.0,SS1630642817043,NA,"[{""page_index"":0,""viewing_time"":1617.1000000238419},{""page_index"":1,""viewing_time"":1358.8999999761581}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4784.899999976158,NA,stimuli-presentation,4,15922,0.0-4.0,SS1630642817043,NA,NA,NA,NA,40,500,5284.899999976158,null,null,self_paced,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
971,NA,stimuli-presentation,5,17396,0.0-5.0,SS1630642817043,NA,NA,NA,NA,40,500,1471,null,null,self_paced,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963.6999999284744,NA,instructions,6,19360,0.0-6.0,SS1630642817043,NA,"[{""page_index"":0,""viewing_time"":1963.2999999523163}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6478.700000047684,NA,instructions,7,25841,0.0-7.0,SS1630642817043,NA,"[{""page_index"":0,""viewing_time"":2502.5},{""page_index"":1,""viewing_time"":1871.6000000238419},{""page_index"":2,""viewing_time"":615.7999999523163},{""page_index"":3,""viewing_time"":927.5},{""page_index"":4,""viewing_time"":560.9000000953674}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,8,26803,0.0-8.0-0.0,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
532,NA,stimuli-presentation,9,27841,0.0-8.0-1.0,SS1630642817043,NA,NA,trial,NA,40,500,1032,images/stimuli/complex_15_A_a.gif,images/stimuli/complex_07_A_a.gif,self_paced,260,NA,0,complex_dissimilar,images/stimuli/complex_07_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,10,29092,0.0-8.0-0.1,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
63.300000071525574,NA,stimuli-presentation,11,29659,0.0-8.0-1.1,SS1630642817043,NA,NA,trial,NA,40,500,563.3000000715256,images/stimuli/complex_15_A_a.gif,images/stimuli/complex_07_A_a.gif,self_paced,260,NA,0,complex_dissimilar,images/stimuli/complex_07_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,12,30613,0.0-8.0-0.2,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
773.5,NA,stimuli-presentation,13,31891,0.0-8.0-1.2,SS1630642817043,NA,NA,trial,NA,40,500,1273.5,images/stimuli/complex_15_A_a.gif,images/stimuli/complex_07_A_a.gif,self_paced,260,NA,0,complex_dissimilar,images/stimuli/complex_07_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,14,32788,0.0-8.0-0.3,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
254.39999997615814,NA,stimuli-presentation,15,33547,0.0-8.0-1.3,SS1630642817043,NA,NA,trial,NA,40,500,754.3999999761581,images/stimuli/complex_15_A_a.gif,images/stimuli/complex_07_A_a.gif,self_paced,260,NA,0,complex_dissimilar,images/stimuli/complex_07_A_a.gif,NA,NA,NA,NA,NA,NA
