session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6272a3cab7eaa4b7ecfd93e9,6130c6f2f70b6f67907d589d,APPROVED,03:22.8,10:37.3,434.479,21,110,0,100,16:05.1,3D699F4F,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Male,Yes
6272a780393cadae50e39dae,613606ee982c012a632d9d31,RETURNED,19:14.8,,1049687.653,42,315,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6272a7ab393cadae50e39db0,613433254f90cad23b8907fe,APPROVED,19:55.1,24:23.1,267.974,33,309,2,100,16:05.0,3D699F4F,Canada,Canada,Full-Time,English,Canada,Female,No
6272a81fe5e1ab54b288ae28,61352b28c1729389a65e4fd5,APPROVED,21:55.6,27:55.8,360.19,21,284,0,100,16:05.0,3D699F4F,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,Yes
6272a87898d9c12f289969dd,61323e3a8523aa286c68daed,APPROVED,23:31.4,31:08.4,457.029,58,79,1,100,16:04.9,3D699F4F,Italy,Italy,Part-Time,Italian,Italy,Female,No
6272b08104437eeba34203fa,61333a6aeba7e6f02294f861,APPROVED,00:21.2,08:37.2,496.026,37,315,0,100,16:04.8,3D699F4F,France,France,Full-Time,French,France,Male,No
6272b295718ada5a2f2e0b93,5a9adf93dbdb470001eee5e1,APPROVED,07:25.8,12:31.4,305.65,49,261,1,100,16:04.8,3D699F4F,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
6272b50f1149943e6b6beaf8,612687b5900550f2ada43cf2,APPROVED,17:03.8,26:47.7,583.869,30,113,3,97,16:04.7,3D699F4F,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Male,No
6272ba8b0d7770971d07a56b,6131465e8d4878c362161476,APPROVED,41:14.3,48:04.1,409.837,30,364,0,100,16:04.6,3D699F4F,Egypt,United Kingdom,Full-Time,Arabic,Egypt,Male,Yes
6272bded97290b87704b6152,6131411246a6bd5f60f51137,APPROVED,54:56.1,04:41.4,585.231,21,503,4,99,16:04.5,3D699F4F,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
6272cbb80199cf156ab0f276,611cfb5fd91858d54ebeeaf7,APPROVED,53:44.5,58:22.5,278.01,26,29,1,99,16:04.5,3D699F4F,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Male,Yes
6272cf593372d40a8eb25b12,6132b3f7a28ef1016cc209f0,APPROVED,09:18.3,14:44.6,326.35,29,65,0,100,16:04.4,3D699F4F,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6272d0a7ac88bb852d54c67d,612410dbf7e32aeebf892633,APPROVED,14:50.8,20:09.2,318.338,40,85,0,100,16:04.3,3D699F4F,South Africa,South Africa,Full-Time,DATA EXPIRED,Portugal,Male,No
6272d7890408fe027327f038,6108734c3913b3b3fd503763,APPROVED,44:15.4,52:25.0,489.614,27,24,0,100,16:04.2,3D699F4F,Brazil,Portugal,Full-Time,Portuguese,Portugal,Female,No
627305f0173ffd9f0e757c6e,5cffbe112d2abc0016392d2c,APPROVED,02:08.8,06:11.9,243.106,37,233,5,96,16:04.2,3D699F4F,United Kingdom,United Kingdom,DATA EXPIRED,DATA EXPIRED,United Kingdom,Female,DATA EXPIRED
6273071c7e9b2d1a3e403174,613443bb8a6a4d961ffcd917,APPROVED,07:08.5,13:31.2,382.767,20,497,0,100,16:04.1,3D699F4F,United States,United States,Other,English,United States,Female,Yes
62730fe66353154380b796cc,612be806b734955d25e6a01e,APPROVED,44:43.0,48:57.3,254.297,18,39,1,98,16:04.0,3D699F4F,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Male,DATA EXPIRED
627316e11ddf7e3f09cb779c,5d3f34ea8d82dd0001e04247,APPROVED,14:25.6,22:29.0,483.405,30,288,1,100,16:04.0,3D699F4F,Mexico,Mexico,Full-Time,DATA EXPIRED,Mexico,Male,No
6273185d587949a1758edecb,6132efde198ab0560f3c107d,APPROVED,20:51.3,28:45.4,474.121,20,62,1,100,16:03.9,3D699F4F,United States,United States,DATA EXPIRED,English,United States,Female,Yes
