subject,background_stimuli,deviant_stimuli,question_stimuli,prolific_id
SS1630945779290,"'c(""images/stimuli/complex_10_A_a.gif"", ""images/stimuli/complex_09_A_a.gif"", ""images/stimuli/simple_01_A_a.gif"", ""images/stimuli/complex_19_A_a.gif"", ""images/stimuli/simple_12_A_a.gif"", ""images/stimuli/simple_04_A_a.gif"", ""images/stimuli/complex_03_A_a.gif"", ""images/stimuli/simple_09_A_a.gif"")'","'c(""images/stimuli/complex_13_A_a.gif"", ""images/stimuli/complex_06_A_a.gif"", ""images/stimuli/simple_17_A_a.gif"", ""images/stimuli/complex_17_A_a.gif"", ""images/stimuli/simple_07_A_a.gif"", ""images/stimuli/simple_03_A_a.gif"")'","'c(""images/stimuli/complex_10_A_a.gif"", ""images/stimuli/complex_09_A_a.gif"", ""images/stimuli/simple_05_A_a.gif"", ""images/stimuli/complex_19_A_a.gif"", ""images/stimuli/simple_12_A_a.gif"", ""images/stimuli/simple_20_A_a.gif"", ""images/stimuli/complex_03_A_a.gif"", ""images/stimuli/simple_14_A_a.gif"")'",6130c6f2f70b6f67907d589d
SS1630945803732,"'c(""images/stimuli/simple_10_A_a.gif"", ""images/stimuli/simple_16_A_a.gif"", ""images/stimuli/simple_04_A_a.gif"", ""images/stimuli/complex_08_A_a.gif"", ""images/stimuli/complex_11_A_a.gif"", ""images/stimuli/simple_07_A_a.gif"", ""images/stimuli/complex_18_A_a.gif"", ""images/stimuli/complex_05_A_a.gif"")'","'c(""images/stimuli/simple_19_A_a.gif"", ""images/stimuli/simple_03_A_a.gif"", ""images/stimuli/complex_12_A_a.gif"", ""images/stimuli/complex_06_A_a.gif"", ""images/stimuli/simple_11_A_a.gif"", ""images/stimuli/complex_03_A_a.gif"")'","'c(""images/stimuli/simple_10_A_a.gif"", ""images/stimuli/simple_20_A_a.gif"", ""images/stimuli/simple_04_A_a.gif"", ""images/stimuli/complex_08_A_a.gif"", ""images/stimuli/complex_09_A_a.gif"", ""images/stimuli/simple_18_A_a.gif"", ""images/stimuli/complex_01_A_a.gif"", ""images/stimuli/complex_13_A_a.gif"")'",600de3b1ba3ac5630173db73
SS1630945822689,"'c(""images/stimuli/simple_08_A_a.gif"", ""images/stimuli/complex_09_A_a.gif"", ""images/stimuli/simple_04_A_a.gif"", ""images/stimuli/simple_05_A_a.gif"", ""images/stimuli/complex_20_A_a.gif"", ""images/stimuli/simple_20_A_a.gif"", ""images/stimuli/complex_10_A_a.gif"", ""images/stimuli/complex_08_A_a.gif"")'","'c(""images/stimuli/simple_14_A_a.gif"", ""images/stimuli/complex_19_A_a.gif"", ""images/stimuli/simple_16_A_a.gif"", ""images/stimuli/simple_19_A_a.gif"", ""images/stimuli/complex_06_A_a.gif"", ""images/stimuli/complex_17_A_a.gif"")'",'NULL',61363d8ec8017d6ab691afe2
SS1630945851097,"'c(""images/stimuli/simple_12_A_a.gif"", ""images/stimuli/complex_06_A_a.gif"", ""images/stimuli/simple_05_A_a.gif"", ""images/stimuli/simple_19_A_a.gif"", ""images/stimuli/complex_09_A_a.gif"", ""images/stimuli/complex_04_A_a.gif"", ""images/stimuli/complex_03_A_a.gif"", ""images/stimuli/simple_13_A_a.gif"")'","'c(""images/stimuli/complex_11_A_a.gif"", ""images/stimuli/simple_07_A_a.gif"", ""images/stimuli/simple_09_A_a.gif"", ""images/stimuli/complex_08_A_a.gif"", ""images/stimuli/complex_01_A_a.gif"", ""images/stimuli/simple_02_A_a.gif"")'","'c(""images/stimuli/simple_12_A_a.gif"", ""images/stimuli/complex_06_A_a.gif"", ""images/stimuli/simple_05_A_a.gif"", ""images/stimuli/simple_19_A_a.gif"", ""images/stimuli/complex_09_A_a.gif"", ""images/stimuli/complex_14_A_a.gif"", ""images/stimuli/complex_03_A_a.gif"", ""images/stimuli/simple_13_A_a.gif"")'",61363cce5c9fb7c3ec797790
SS1630945858043,"'c(""images/stimuli/simple_11_A_a.gif"", ""images/stimuli/simple_13_A_a.gif"", ""images/stimuli/complex_07_A_a.gif"", ""images/stimuli/complex_09_A_a.gif"", ""images/stimuli/simple_04_A_a.gif"", ""images/stimuli/complex_17_A_a.gif"", ""images/stimuli/complex_02_A_a.gif"", ""images/stimuli/simple_14_A_a.gif"")'","'c(""images/stimuli/simple_05_A_a.gif"", ""images/stimuli/complex_06_A_a.gif"", ""images/stimuli/complex_20_A_a.gif"", ""images/stimuli/simple_07_A_a.gif"", ""images/stimuli/complex_05_A_a.gif"", ""images/stimuli/simple_12_A_a.gif"")'","'c(""images/stimuli/simple_11_A_a.gif"", ""images/stimuli/simple_13_A_a.gif"", ""images/stimuli/complex_11_A_a.gif"", ""images/stimuli/complex_09_A_a.gif"", ""images/stimuli/simple_04_A_a.gif"", ""images/stimuli/complex_17_A_a.gif"", ""images/stimuli/complex_02_A_a.gif"", ""images/stimuli/simple_06_A_a.gif"")'",61356377bda43b654ccd65ca
SS1630945861380,"'c(""images/stimuli/complex_13_A_a.gif"", ""images/stimuli/simple_03_A_a.gif"", ""images/stimuli/simple_20_A_a.gif"", ""images/stimuli/complex_01_A_a.gif"", ""images/stimuli/complex_05_A_a.gif"", ""images/stimuli/complex_19_A_a.gif"", ""images/stimuli/simple_13_A_a.gif"", ""images/stimuli/simple_16_A_a.gif"")'","'c(""images/stimuli/simple_17_A_a.gif"", ""images/stimuli/simple_12_A_a.gif"", ""images/stimuli/complex_20_A_a.gif"", ""images/stimuli/complex_16_A_a.gif"", ""images/stimuli/complex_06_A_a.gif"", ""images/stimuli/simple_06_A_a.gif"")'",'NULL',61335a9e82c52424d8d5ed87
SS1630945865558,"'c(""images/stimuli/complex_01_A_a.gif"", ""images/stimuli/complex_13_A_a.gif"", ""images/stimuli/complex_17_A_a.gif"", ""images/stimuli/simple_14_A_a.gif"", ""images/stimuli/simple_16_A_a.gif"", ""images/stimuli/simple_06_A_a.gif"", ""images/stimuli/simple_10_A_a.gif"", ""images/stimuli/complex_08_A_a.gif"")'","'c(""images/stimuli/complex_05_A_a.gif"", ""images/stimuli/complex_18_A_a.gif"", ""images/stimuli/simple_15_A_a.gif"", ""images/stimuli/simple_08_A_a.gif"", ""images/stimuli/simple_04_A_a.gif"", ""images/stimuli/complex_12_A_a.gif"")'",'NULL',613402791a2b85ffe0be6895
SS1630946047579,"'c(""images/stimuli/simple_09_A_a.gif"", ""images/stimuli/simple_14_A_a.gif"", ""images/stimuli/complex_08_A_a.gif"", ""images/stimuli/complex_14_A_a.gif"", ""images/stimuli/complex_13_A_a.gif"", ""images/stimuli/simple_04_A_a.gif"", ""images/stimuli/complex_19_A_a.gif"", ""images/stimuli/simple_05_A_a.gif"")'","'c(""images/stimuli/simple_20_A_a.gif"", ""images/stimuli/simple_13_A_a.gif"", ""images/stimuli/complex_12_A_a.gif"", ""images/stimuli/complex_20_A_a.gif"", ""images/stimuli/complex_06_A_a.gif"", ""images/stimuli/simple_11_A_a.gif"")'","'c(""images/stimuli/simple_02_A_a.gif"", ""images/stimuli/simple_14_A_a.gif"", ""images/stimuli/complex_08_A_a.gif"", ""images/stimuli/complex_14_A_a.gif"", ""images/stimuli/complex_13_A_a.gif"", ""images/stimuli/simple_04_A_a.gif"", ""images/stimuli/complex_01_A_a.gif"", ""images/stimuli/simple_05_A_a.gif"")'",612c8da78fa9965ac397c5f1
SS1630948678486,"'c(""images/stimuli/complex_15_A_a.gif"", ""images/stimuli/simple_07_A_a.gif"", ""images/stimuli/complex_06_A_a.gif"", ""images/stimuli/complex_18_A_a.gif"", ""images/stimuli/simple_08_A_a.gif"", ""images/stimuli/complex_01_A_a.gif"", ""images/stimuli/simple_13_A_a.gif"", ""images/stimuli/simple_02_A_a.gif"")'","'c(""images/stimuli/complex_09_A_a.gif"", ""images/stimuli/simple_12_A_a.gif"", ""images/stimuli/complex_08_A_a.gif"", ""images/stimuli/simple_01_A_a.gif"", ""images/stimuli/complex_13_A_a.gif"", ""images/stimuli/simple_09_A_a.gif"")'","'c(""images/stimuli/complex_15_A_a.gif"", ""images/stimuli/simple_07_A_a.gif"", ""images/stimuli/complex_06_A_a.gif"", ""images/stimuli/complex_04_A_a.gif"", ""images/stimuli/simple_08_A_a.gif"", ""images/stimuli/complex_01_A_a.gif"", ""images/stimuli/simple_13_A_a.gif"", ""images/stimuli/simple_02_A_a.gif"")'",612c92b749936444d5138dfa
SS1630948755198,"'c(""images/stimuli/complex_08_A_a.gif"", ""images/stimuli/complex_03_A_a.gif"", ""images/stimuli/simple_12_A_a.gif"", ""images/stimuli/complex_20_A_a.gif"", ""images/stimuli/complex_11_A_a.gif"", ""images/stimuli/simple_19_A_a.gif"", ""images/stimuli/simple_05_A_a.gif"", ""images/stimuli/simple_10_A_a.gif"")'","'c(""images/stimuli/complex_07_A_a.gif"", ""images/stimuli/simple_08_A_a.gif"", ""images/stimuli/complex_19_A_a.gif"", ""images/stimuli/complex_02_A_a.gif"", ""images/stimuli/simple_17_A_a.gif"", ""images/stimuli/simple_18_A_a.gif"")'","'c(""images/stimuli/complex_17_A_a.gif"", ""images/stimuli/complex_12_A_a.gif"", ""images/stimuli/simple_12_A_a.gif"", ""images/stimuli/complex_05_A_a.gif"", ""images/stimuli/complex_18_A_a.gif"", ""images/stimuli/simple_07_A_a.gif"", ""images/stimuli/simple_05_A_a.gif"", ""images/stimuli/simple_20_A_a.gif"")'",60fdae26aca935de2a4e9f59
