rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,subject,success,view_history,stimulus_type,stimulus,key_press,trial_stimulus,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,block_number,block_type,block_exposure_length,stimulus_displayed,question_order,question_stimuli,block_index
9477,"{""p_id"":""5f1fc5b5f0adf01ed9d74ba1""}",survey-text,0,9492,0.0-0.0,SS1646459694618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,fullscreen,1,13267,0.0-1.0,SS1646459694618,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2440.300000011921,NA,instructions,2,15708,0.0-2.0,SS1646459694618,NA,"[{""page_index"":0,""viewing_time"":2439.800000011921}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12934.699999988079,NA,instructions,3,30652,0.0-3.0,SS1646459694618,NA,"[{""page_index"":0,""viewing_time"":6790.899999976158},{""page_index"":1,""viewing_time"":2807.600000023842},{""page_index"":2,""viewing_time"":3336}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,4,31657,0.0-4.0,SS1646459694618,NA,NA,NA,Watch carefully!,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,stimuli-presentation,5,31968,0.0-5.0,SS1646459694618,NA,NA,NA,NA,null,NA,500,500,null,null,forced,300,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,6,32980,0.0-6.0,SS1646459694618,NA,NA,NA,Now you can keep studying the creature.,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4908.299999982119,NA,stimuli-presentation,7,36876,0.0-7.0,SS1646459694618,NA,NA,NA,NA,40,NA,500,5408.299999982119,null,null,forced,300,NA,NA,NA,NA,NA,NA,NA
6616.4000000059605,NA,stimuli-presentation,8,44004,0.0-8.0,SS1646459694618,NA,NA,NA,NA,40,NA,500,7116.4000000059605,null,null,self_paced,0,NA,NA,NA,NA,NA,NA,NA
1124.5999999940395,NA,stimuli-presentation,9,45644,0.0-9.0,SS1646459694618,NA,NA,NA,NA,40,NA,500,1624.5999999940395,null,null,self_paced,0,NA,NA,NA,NA,NA,NA,NA
3567,NA,instructions,10,49211,0.0-10.0,SS1646459694618,NA,"[{""page_index"":0,""viewing_time"":3566.899999976158}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12296.199999988079,NA,instructions,11,61507,0.0-11.0,SS1646459694618,NA,"[{""page_index"":0,""viewing_time"":8023.0999999940395},{""page_index"":1,""viewing_time"":2400.2000000178814},{""page_index"":2,""viewing_time"":975.7999999821186},{""page_index"":3,""viewing_time"":896.8000000119209}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,12,62520,0.0-12.0,SS1646459694618,NA,NA,NA,Watch carefully!,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,stimuli-presentation,13,63022,0.0-13.0,SS1646459694618,NA,NA,NA,NA,null,NA,500,500,null,null,forced,500,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,14,64038,0.0-14.0,SS1646459694618,NA,NA,NA,Now you can keep studying the creature.,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,15,64878,0.0-15.0-0.0,SS1646459694618,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8836.59999999404,NA,stimuli-presentation,16,71859,0.0-15.0-1.0,SS1646459694618,NA,NA,trial,NA,40,NA,500,9336.59999999404,null,null,forced,500,0,complex,500,images/stimuli/complex_17_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,17,73050,0.0-15.0-0.1,SS1646459694618,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
834.1999999880791,NA,stimuli-presentation,18,74387,0.0-15.0-1.1,SS1646459694618,NA,NA,trial,NA,40,NA,500,1334.199999988079,images/stimuli/complex_04_A_a.gif,images/stimuli/complex_17_A_a.gif,self-paced,500,0,complex,500,images/stimuli/complex_17_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,19,75266,0.0-15.0-0.2,SS1646459694618,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3177.5999999940395,NA,stimuli-presentation,20,78947,0.0-15.0-1.2,SS1646459694618,NA,NA,trial,NA,40,NA,500,3677.5999999940395,images/stimuli/complex_04_A_a.gif,images/stimuli/complex_17_A_a.gif,self-paced,500,0,complex,500,images/stimuli/complex_17_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,21,80128,0.0-15.0-0.3,SS1646459694618,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
