subject,complexity_rating_stimulus,complexity_rating_type,complexity_rating,animacy,number,pose
SS1673386322769,media/padded_stims/inanimate_048_left.png,inanimate_single_left,1,inanimate,single,left
SS1673386322769,media/padded_stims/inanimate_019_right.png,inanimate_single_right,1,inanimate,single,right
SS1673386322769,media/padded_stims/animate_037_left.png,animate_single_left,0,animate,single,left
SS1673386322769,media/padded_stims/inanimate_012_right.png,inanimate_pair_right,1,inanimate,pair,right
SS1673386322769,media/padded_stims/animate_006_right.png,animate_single_right,1,animate,single,right
SS1673386322769,media/padded_stims/animate_007_left.png,animate_pair_left,1,animate,pair,left
SS1673386322769,media/padded_stims/inanimate_032_left.png,inanimate_pair_left,1,inanimate,pair,left
SS1673386322769,media/padded_stims/inanimate_038_right.png,inanimate_single_right,2,inanimate,single,right
SS1673386322769,media/padded_stims/inanimate_026_left.png,inanimate_single_left,1,inanimate,single,left
SS1673386322769,media/padded_stims/animate_009_right.png,animate_pair_right,1,animate,pair,right
SS1673386322769,media/padded_stims/animate_059_left.png,animate_pair_left,1,animate,pair,left
SS1673386322769,media/padded_stims/animate_002_left.png,animate_single_left,1,animate,single,left
SS1673386322769,media/padded_stims/inanimate_053_left.png,inanimate_pair_left,1,inanimate,pair,left
SS1673386322769,media/padded_stims/animate_020_right.png,animate_single_right,1,animate,single,right
SS1673386322769,media/padded_stims/animate_043_right.png,animate_pair_right,0,animate,pair,right
SS1673386322769,media/padded_stims/inanimate_069_right.png,inanimate_pair_right,1,inanimate,pair,right
SS1673386327200,media/padded_stims/animate_008_right.png,animate_single_right,2,animate,single,right
SS1673386327200,media/padded_stims/animate_033_left.png,animate_single_left,2,animate,single,left
SS1673386327200,media/padded_stims/inanimate_005_left.png,inanimate_pair_left,6,inanimate,pair,left
SS1673386327200,media/padded_stims/animate_010_right.png,animate_pair_right,2,animate,pair,right
SS1673386327200,media/padded_stims/animate_067_left.png,animate_pair_left,2,animate,pair,left
SS1673386327200,media/padded_stims/animate_068_right.png,animate_single_right,2,animate,single,right
SS1673386327200,media/padded_stims/inanimate_012_left.png,inanimate_pair_left,5,inanimate,pair,left
SS1673386327200,media/padded_stims/inanimate_016_left.png,inanimate_single_left,6,inanimate,single,left
SS1673386327200,media/padded_stims/animate_080_left.png,animate_pair_left,5,animate,pair,left
SS1673386327200,media/padded_stims/inanimate_065_left.png,inanimate_single_left,2,inanimate,single,left
SS1673386327200,media/padded_stims/animate_017_left.png,animate_single_left,2,animate,single,left
SS1673386327200,media/padded_stims/inanimate_021_right.png,inanimate_pair_right,0,inanimate,pair,right
SS1673386327200,media/padded_stims/inanimate_051_right.png,inanimate_single_right,4,inanimate,single,right
SS1673386327200,media/padded_stims/inanimate_038_right.png,inanimate_single_right,5,inanimate,single,right
SS1673386327200,media/padded_stims/inanimate_069_right.png,inanimate_pair_right,5,inanimate,pair,right
SS1673386327200,media/padded_stims/animate_060_right.png,animate_pair_right,2,animate,pair,right
SS1673386327942,media/padded_stims/inanimate_009_right.png,inanimate_pair_right,2,inanimate,pair,right
SS1673386327942,media/padded_stims/inanimate_044_right.png,inanimate_pair_right,2,inanimate,pair,right
SS1673386327942,media/padded_stims/inanimate_063_left.png,inanimate_pair_left,4,inanimate,pair,left
SS1673386327942,media/padded_stims/animate_036_right.png,animate_single_right,1,animate,single,right
SS1673386327942,media/padded_stims/inanimate_056_left.png,inanimate_single_left,1,inanimate,single,left
SS1673386327942,media/padded_stims/animate_020_left.png,animate_pair_left,0,animate,pair,left
SS1673386327942,media/padded_stims/animate_022_left.png,animate_pair_left,0,animate,pair,left
SS1673386327942,media/padded_stims/animate_079_right.png,animate_pair_right,1,animate,pair,right
SS1673386327942,media/padded_stims/animate_030_right.png,animate_pair_right,1,animate,pair,right
SS1673386327942,media/padded_stims/inanimate_037_left.png,inanimate_single_left,4,inanimate,single,left
SS1673386327942,media/padded_stims/animate_059_left.png,animate_single_left,1,animate,single,left
SS1673386327942,media/padded_stims/inanimate_050_left.png,inanimate_pair_left,4,inanimate,pair,left
SS1673386327942,media/padded_stims/inanimate_070_right.png,inanimate_single_right,4,inanimate,single,right
SS1673386327942,media/padded_stims/animate_060_left.png,animate_single_left,0,animate,single,left
SS1673386327942,media/padded_stims/animate_024_right.png,animate_single_right,0,animate,single,right
SS1673386327942,media/padded_stims/inanimate_026_right.png,inanimate_single_right,4,inanimate,single,right
SS1673386328187,media/padded_stims/animate_079_right.png,animate_single_right,2,animate,single,right
