subject,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,trial_number
SS1673386322769,1432,deviant_block,media/padded_stims/inanimate_048_left.png,media/padded_stims/animate_071_left.png,inanimate_single_left,animate_single_left,animacy,2
SS1673386322769,1115,deviant_block,media/padded_stims/inanimate_048_left.png,media/padded_stims/animate_071_left.png,inanimate_single_left,animate_single_left,animacy,2
SS1673386322769,1589,deviant_block,media/padded_stims/inanimate_019_right.png,media/padded_stims/inanimate_078_left.png,inanimate_single_right,inanimate_single_left,pose,4
SS1673386322769,1211,deviant_block,media/padded_stims/inanimate_019_right.png,media/padded_stims/inanimate_078_left.png,inanimate_single_right,inanimate_single_left,pose,4
SS1673386322769,1112,deviant_block,media/padded_stims/inanimate_019_right.png,media/padded_stims/inanimate_078_left.png,inanimate_single_right,inanimate_single_left,pose,4
SS1673386322769,1436,deviant_block,media/padded_stims/inanimate_019_right.png,media/padded_stims/inanimate_078_left.png,inanimate_single_right,inanimate_single_left,pose,4
SS1673386322769,1432,background_block,media/padded_stims/animate_037_left.png,null,animate_single_left,null,null,4
SS1673386322769,2205,background_block,media/padded_stims/animate_037_left.png,null,animate_single_left,null,null,4
SS1673386322769,1175,background_block,media/padded_stims/animate_037_left.png,null,animate_single_left,null,null,4
SS1673386322769,1210,background_block,media/padded_stims/animate_037_left.png,null,animate_single_left,null,null,4
SS1673386322769,1375,deviant_block,media/padded_stims/inanimate_012_right.png,media/padded_stims/inanimate_018_right.png,inanimate_pair_right,inanimate_pair_right,identity,6
SS1673386322769,1224,deviant_block,media/padded_stims/inanimate_012_right.png,media/padded_stims/inanimate_018_right.png,inanimate_pair_right,inanimate_pair_right,identity,6
SS1673386322769,1165,deviant_block,media/padded_stims/inanimate_012_right.png,media/padded_stims/inanimate_018_right.png,inanimate_pair_right,inanimate_pair_right,identity,6
SS1673386322769,1215,deviant_block,media/padded_stims/inanimate_012_right.png,media/padded_stims/inanimate_018_right.png,inanimate_pair_right,inanimate_pair_right,identity,6
SS1673386322769,1597,deviant_block,media/padded_stims/inanimate_012_right.png,media/padded_stims/inanimate_018_right.png,inanimate_pair_right,inanimate_pair_right,identity,6
SS1673386322769,1388,deviant_block,media/padded_stims/inanimate_012_right.png,media/padded_stims/inanimate_018_right.png,inanimate_pair_right,inanimate_pair_right,identity,6
SS1673386322769,1083,background_block,media/padded_stims/animate_006_right.png,null,animate_single_right,null,null,2
SS1673386322769,1424,background_block,media/padded_stims/animate_006_right.png,null,animate_single_right,null,null,2
SS1673386322769,1440,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_058_right.png,animate_pair_left,animate_pair_right,pose,2
SS1673386322769,1155,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_058_right.png,animate_pair_left,animate_pair_right,pose,2
SS1673386322769,1221,background_block,media/padded_stims/inanimate_032_left.png,null,inanimate_pair_left,null,null,4
SS1673386322769,1540,background_block,media/padded_stims/inanimate_032_left.png,null,inanimate_pair_left,null,null,4
SS1673386322769,1511,background_block,media/padded_stims/inanimate_032_left.png,null,inanimate_pair_left,null,null,4
SS1673386322769,1806,background_block,media/padded_stims/inanimate_032_left.png,null,inanimate_pair_left,null,null,4
SS1673386322769,2406,background_block,media/padded_stims/inanimate_038_right.png,null,inanimate_single_right,null,null,6
SS1673386322769,7157,background_block,media/padded_stims/inanimate_038_right.png,null,inanimate_single_right,null,null,6
SS1673386322769,1390,background_block,media/padded_stims/inanimate_038_right.png,null,inanimate_single_right,null,null,6
SS1673386322769,1222,background_block,media/padded_stims/inanimate_038_right.png,null,inanimate_single_right,null,null,6
SS1673386322769,1378,background_block,media/padded_stims/inanimate_038_right.png,null,inanimate_single_right,null,null,6
SS1673386322769,2199,background_block,media/padded_stims/inanimate_038_right.png,null,inanimate_single_right,null,null,6
SS1673386322769,1764,background_block,media/padded_stims/inanimate_026_left.png,null,inanimate_single_left,null,null,4
SS1673386322769,1085,background_block,media/padded_stims/inanimate_026_left.png,null,inanimate_single_left,null,null,4
SS1673386322769,1084,background_block,media/padded_stims/inanimate_026_left.png,null,inanimate_single_left,null,null,4
SS1673386322769,1013,background_block,media/padded_stims/inanimate_026_left.png,null,inanimate_single_left,null,null,4
SS1673386322769,1393,background_block,media/padded_stims/animate_009_right.png,null,animate_pair_right,null,null,6
SS1673386322769,1214,background_block,media/padded_stims/animate_009_right.png,null,animate_pair_right,null,null,6
SS1673386322769,1382,background_block,media/padded_stims/animate_009_right.png,null,animate_pair_right,null,null,6
SS1673386322769,1451,background_block,media/padded_stims/animate_009_right.png,null,animate_pair_right,null,null,6
SS1673386322769,1954,background_block,media/padded_stims/animate_009_right.png,null,animate_pair_right,null,null,6
SS1673386322769,1243,background_block,media/padded_stims/animate_009_right.png,null,animate_pair_right,null,null,6
SS1673386322769,1156,background_block,media/padded_stims/animate_059_left.png,null,animate_pair_left,null,null,6
SS1673386322769,1086,background_block,media/padded_stims/animate_059_left.png,null,animate_pair_left,null,null,6
SS1673386322769,1605,background_block,media/padded_stims/animate_059_left.png,null,animate_pair_left,null,null,6
SS1673386322769,1081,background_block,media/padded_stims/animate_059_left.png,null,animate_pair_left,null,null,6
SS1673386322769,1155,background_block,media/padded_stims/animate_059_left.png,null,animate_pair_left,null,null,6
SS1673386322769,1216,background_block,media/padded_stims/animate_059_left.png,null,animate_pair_left,null,null,6
SS1673386322769,1142,deviant_block,media/padded_stims/animate_002_left.png,media/padded_stims/animate_072_right.png,animate_single_left,animate_single_right,pose,4
SS1673386322769,1514,deviant_block,media/padded_stims/animate_002_left.png,media/padded_stims/animate_072_right.png,animate_single_left,animate_single_right,pose,4
SS1673386322769,1033,deviant_block,media/padded_stims/animate_002_left.png,media/padded_stims/animate_072_right.png,animate_single_left,animate_single_right,pose,4
SS1673386322769,1242,deviant_block,media/padded_stims/animate_002_left.png,media/padded_stims/animate_072_right.png,animate_single_left,animate_single_right,pose,4
SS1673386322769,1021,deviant_block,media/padded_stims/inanimate_053_left.png,media/padded_stims/animate_048_left.png,inanimate_pair_left,animate_pair_left,animacy,4
SS1673386322769,1021,deviant_block,media/padded_stims/inanimate_053_left.png,media/padded_stims/animate_048_left.png,inanimate_pair_left,animate_pair_left,animacy,4
SS1673386322769,1016,deviant_block,media/padded_stims/inanimate_053_left.png,media/padded_stims/animate_048_left.png,inanimate_pair_left,animate_pair_left,animacy,4
SS1673386322769,1354,deviant_block,media/padded_stims/inanimate_053_left.png,media/padded_stims/animate_048_left.png,inanimate_pair_left,animate_pair_left,animacy,4
SS1673386322769,1035,deviant_block,media/padded_stims/animate_020_right.png,media/padded_stims/inanimate_032_right.png,animate_single_right,inanimate_single_right,animacy,6
SS1673386322769,1318,deviant_block,media/padded_stims/animate_020_right.png,media/padded_stims/inanimate_032_right.png,animate_single_right,inanimate_single_right,animacy,6
SS1673386322769,1057,deviant_block,media/padded_stims/animate_020_right.png,media/padded_stims/inanimate_032_right.png,animate_single_right,inanimate_single_right,animacy,6
SS1673386322769,1415,deviant_block,media/padded_stims/animate_020_right.png,media/padded_stims/inanimate_032_right.png,animate_single_right,inanimate_single_right,animacy,6
SS1673386322769,1026,deviant_block,media/padded_stims/animate_020_right.png,media/padded_stims/inanimate_032_right.png,animate_single_right,inanimate_single_right,animacy,6
SS1673386322769,1062,deviant_block,media/padded_stims/animate_020_right.png,media/padded_stims/inanimate_032_right.png,animate_single_right,inanimate_single_right,animacy,6
SS1673386322769,1076,deviant_block,media/padded_stims/animate_043_right.png,media/padded_stims/animate_038_right.png,animate_pair_right,animate_single_right,number,2
SS1673386322769,1482,deviant_block,media/padded_stims/animate_043_right.png,media/padded_stims/animate_038_right.png,animate_pair_right,animate_single_right,number,2
SS1673386322769,1468,background_block,media/padded_stims/inanimate_069_right.png,null,inanimate_pair_right,null,null,4
SS1673386322769,1050,background_block,media/padded_stims/inanimate_069_right.png,null,inanimate_pair_right,null,null,4
SS1673386322769,1158,background_block,media/padded_stims/inanimate_069_right.png,null,inanimate_pair_right,null,null,4
SS1673386322769,1257,background_block,media/padded_stims/inanimate_069_right.png,null,inanimate_pair_right,null,null,4
SS1673386327200,4699,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/animate_066_right.png,animate_single_right,animate_pair_right,number,4
SS1673386327200,5989,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/animate_066_right.png,animate_single_right,animate_pair_right,number,4
SS1673386327200,3480,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/animate_066_right.png,animate_single_right,animate_pair_right,number,4
SS1673386327200,4712,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/animate_066_right.png,animate_single_right,animate_pair_right,number,4
SS1673386327200,4646,deviant_block,media/padded_stims/animate_033_left.png,media/padded_stims/inanimate_009_left.png,animate_single_left,inanimate_single_left,animacy,2
SS1673386327200,3593,deviant_block,media/padded_stims/animate_033_left.png,media/padded_stims/inanimate_009_left.png,animate_single_left,inanimate_single_left,animacy,2
SS1673386327200,4702,background_block,media/padded_stims/inanimate_005_left.png,null,inanimate_pair_left,null,null,2
SS1673386327200,1674,background_block,media/padded_stims/inanimate_005_left.png,null,inanimate_pair_left,null,null,2
SS1673386327200,1712,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_043_left.png,animate_pair_right,animate_pair_left,pose,4
SS1673386327200,1192,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_043_left.png,animate_pair_right,animate_pair_left,pose,4
SS1673386327200,1031,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_043_left.png,animate_pair_right,animate_pair_left,pose,4
SS1673386327200,1141,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_043_left.png,animate_pair_right,animate_pair_left,pose,4
SS1673386327200,1299,background_block,media/padded_stims/animate_067_left.png,null,animate_pair_left,null,null,4
SS1673386327200,1042,background_block,media/padded_stims/animate_067_left.png,null,animate_pair_left,null,null,4
SS1673386327200,2447,background_block,media/padded_stims/animate_067_left.png,null,animate_pair_left,null,null,4
SS1673386327200,2849,background_block,media/padded_stims/animate_067_left.png,null,animate_pair_left,null,null,4
SS1673386327200,11323,background_block,media/padded_stims/animate_068_right.png,null,animate_single_right,null,null,6
SS1673386327200,1028,background_block,media/padded_stims/animate_068_right.png,null,animate_single_right,null,null,6
SS1673386327200,1099,background_block,media/padded_stims/animate_068_right.png,null,animate_single_right,null,null,6
SS1673386327200,1062,background_block,media/padded_stims/animate_068_right.png,null,animate_single_right,null,null,6
SS1673386327200,1054,background_block,media/padded_stims/animate_068_right.png,null,animate_single_right,null,null,6
SS1673386327200,1550,background_block,media/padded_stims/animate_068_right.png,null,animate_single_right,null,null,6
SS1673386327200,1092,deviant_block,media/padded_stims/inanimate_012_left.png,media/padded_stims/inanimate_080_right.png,inanimate_pair_left,inanimate_pair_right,pose,2
SS1673386327200,1044,deviant_block,media/padded_stims/inanimate_012_left.png,media/padded_stims/inanimate_080_right.png,inanimate_pair_left,inanimate_pair_right,pose,2
SS1673386327200,1345,deviant_block,media/padded_stims/inanimate_016_left.png,media/padded_stims/inanimate_054_left.png,inanimate_single_left,inanimate_pair_left,number,4
