subject,similarity_rating_background,similarity_rating_deviant,similarity_rating_violation,similarity_rating,rating_type
SS1673386322769,media/padded_stims/inanimate_048_left.png,media/padded_stims/animate_071_left.png,animacy,1,similarity
SS1673386322769,media/padded_stims/inanimate_019_right.png,media/padded_stims/inanimate_078_left.png,pose,4,similarity
SS1673386322769,media/padded_stims/inanimate_012_right.png,media/padded_stims/inanimate_018_right.png,identity,3,similarity
SS1673386322769,media/padded_stims/animate_007_left.png,media/padded_stims/animate_058_right.png,pose,2,similarity
SS1673386322769,media/padded_stims/animate_002_left.png,media/padded_stims/animate_072_right.png,pose,2,similarity
SS1673386322769,media/padded_stims/inanimate_053_left.png,media/padded_stims/animate_048_left.png,animacy,0,similarity
SS1673386322769,media/padded_stims/animate_020_right.png,media/padded_stims/inanimate_032_right.png,animacy,2,similarity
SS1673386322769,media/padded_stims/animate_043_right.png,media/padded_stims/animate_038_right.png,number,1,similarity
SS1673386327200,media/padded_stims/animate_008_right.png,media/padded_stims/animate_066_right.png,number,5,similarity
SS1673386327200,media/padded_stims/animate_033_left.png,media/padded_stims/inanimate_009_left.png,animacy,5,similarity
SS1673386327200,media/padded_stims/animate_010_right.png,media/padded_stims/animate_043_left.png,pose,5,similarity
SS1673386327200,media/padded_stims/inanimate_012_left.png,media/padded_stims/inanimate_080_right.png,pose,5,similarity
SS1673386327200,media/padded_stims/inanimate_016_left.png,media/padded_stims/inanimate_054_left.png,number,5,similarity
SS1673386327200,media/padded_stims/animate_080_left.png,media/padded_stims/animate_073_left.png,number,5,similarity
SS1673386327200,media/padded_stims/inanimate_038_right.png,media/padded_stims/animate_075_right.png,animacy,4,similarity
SS1673386327200,media/padded_stims/inanimate_069_right.png,media/padded_stims/animate_065_right.png,animacy,2,similarity
SS1673386327942,media/padded_stims/inanimate_009_right.png,media/padded_stims/inanimate_038_right.png,identity,4,similarity
SS1673386327942,media/padded_stims/inanimate_063_left.png,media/padded_stims/inanimate_041_left.png,number,4,similarity
SS1673386327942,media/padded_stims/animate_036_right.png,media/padded_stims/animate_025_right.png,number,4,similarity
SS1673386327942,media/padded_stims/inanimate_056_left.png,media/padded_stims/animate_014_left.png,animacy,2,similarity
SS1673386327942,media/padded_stims/animate_022_left.png,media/padded_stims/inanimate_060_left.png,animacy,2,similarity
SS1673386327942,media/padded_stims/animate_079_right.png,media/padded_stims/inanimate_030_right.png,animacy,2,similarity
SS1673386327942,media/padded_stims/animate_059_left.png,media/padded_stims/animate_075_right.png,pose,2,similarity
SS1673386327942,media/padded_stims/inanimate_070_right.png,media/padded_stims/animate_014_right.png,animacy,2,similarity
SS1673386328187,media/padded_stims/animate_079_right.png,media/padded_stims/animate_012_left.png,pose,2,similarity
SS1673386328187,media/padded_stims/inanimate_057_right.png,media/padded_stims/inanimate_018_right.png,identity,4,similarity
SS1673386328187,media/padded_stims/inanimate_069_left.png,media/padded_stims/inanimate_062_right.png,pose,1,similarity
SS1673386328187,media/padded_stims/animate_025_right.png,media/padded_stims/animate_044_left.png,pose,1,similarity
SS1673386328187,media/padded_stims/animate_059_left.png,media/padded_stims/inanimate_051_left.png,animacy,2,similarity
SS1673386328187,media/padded_stims/inanimate_041_right.png,media/padded_stims/inanimate_070_right.png,number,0,similarity
SS1673386328187,media/padded_stims/animate_006_left.png,media/padded_stims/animate_007_left.png,number,1,similarity
SS1673386328187,media/padded_stims/inanimate_045_left.png,media/padded_stims/animate_013_left.png,animacy,2,similarity
SS1673386328320,media/padded_stims/inanimate_048_right.png,media/padded_stims/inanimate_025_right.png,identity,4,similarity
SS1673386328320,media/padded_stims/animate_030_right.png,media/padded_stims/inanimate_016_right.png,animacy,2,similarity
SS1673386328320,media/padded_stims/inanimate_069_left.png,media/padded_stims/inanimate_032_left.png,number,3,similarity
SS1673386328320,media/padded_stims/animate_052_left.png,media/padded_stims/animate_037_left.png,number,2,similarity
SS1673386328320,media/padded_stims/animate_054_left.png,media/padded_stims/animate_030_left.png,identity,4,similarity
SS1673386328320,media/padded_stims/inanimate_066_left.png,media/padded_stims/animate_070_left.png,animacy,2,similarity
SS1673386328320,media/padded_stims/inanimate_003_right.png,media/padded_stims/inanimate_035_right.png,identity,5,similarity
SS1673386328320,media/padded_stims/animate_072_right.png,media/padded_stims/inanimate_028_right.png,animacy,2,similarity
SS1673386329803,media/padded_stims/animate_010_left.png,media/padded_stims/inanimate_004_left.png,animacy,0,similarity
SS1673386329803,media/padded_stims/animate_048_right.png,media/padded_stims/inanimate_054_right.png,animacy,0,similarity
SS1673386329803,media/padded_stims/inanimate_049_right.png,media/padded_stims/animate_035_right.png,animacy,0,similarity
SS1673386329803,media/padded_stims/inanimate_048_left.png,media/padded_stims/inanimate_006_right.png,pose,5,similarity
SS1673386329803,media/padded_stims/inanimate_057_right.png,media/padded_stims/inanimate_071_right.png,identity,6,similarity
SS1673386329803,media/padded_stims/animate_063_right.png,media/padded_stims/inanimate_034_right.png,animacy,5,similarity
SS1673386329803,media/padded_stims/animate_024_left.png,media/padded_stims/animate_072_left.png,number,3,similarity
SS1673386329803,media/padded_stims/inanimate_057_left.png,media/padded_stims/inanimate_036_left.png,identity,5,similarity
SS1673386331322,media/padded_stims/inanimate_057_left.png,media/padded_stims/inanimate_026_right.png,pose,6,similarity
SS1673386331322,media/padded_stims/animate_074_left.png,media/padded_stims/animate_032_left.png,identity,6,similarity
SS1673386331322,media/padded_stims/animate_020_right.png,media/padded_stims/animate_045_left.png,pose,5,similarity
SS1673386331322,media/padded_stims/inanimate_032_right.png,media/padded_stims/animate_053_right.png,animacy,5,similarity
SS1673386331322,media/padded_stims/animate_051_left.png,media/padded_stims/inanimate_002_left.png,animacy,4,similarity
SS1673386331322,media/padded_stims/inanimate_061_left.png,media/padded_stims/inanimate_055_left.png,number,1,similarity
SS1673386331322,media/padded_stims/inanimate_002_right.png,media/padded_stims/inanimate_065_right.png,identity,5,similarity
SS1673386331322,media/padded_stims/animate_071_right.png,media/padded_stims/animate_052_right.png,number,2,similarity
SS1673386331451,media/padded_stims/animate_058_left.png,media/padded_stims/animate_025_left.png,identity,2,similarity
SS1673386331451,media/padded_stims/animate_018_right.png,media/padded_stims/animate_062_right.png,number,1,similarity
SS1673386331451,media/padded_stims/inanimate_023_right.png,media/padded_stims/inanimate_077_right.png,identity,4,similarity
SS1673386331451,media/padded_stims/inanimate_049_left.png,media/padded_stims/inanimate_058_left.png,identity,5,similarity
SS1673386331451,media/padded_stims/animate_063_left.png,media/padded_stims/animate_062_left.png,number,4,similarity
SS1673386331451,media/padded_stims/inanimate_002_right.png,media/padded_stims/inanimate_022_left.png,pose,3,similarity
SS1673386331451,media/padded_stims/animate_045_right.png,media/padded_stims/animate_041_right.png,number,3,similarity
SS1673386331451,media/padded_stims/inanimate_011_left.png,media/padded_stims/inanimate_036_left.png,identity,2,similarity
SS1673386332496,media/padded_stims/inanimate_032_left.png,media/padded_stims/inanimate_016_right.png,pose,4,similarity
SS1673386332496,media/padded_stims/animate_023_right.png,media/padded_stims/animate_063_left.png,pose,4,similarity
SS1673386332496,media/padded_stims/inanimate_070_right.png,media/padded_stims/animate_070_right.png,animacy,5,similarity
SS1673386332496,media/padded_stims/animate_048_left.png,media/padded_stims/animate_024_left.png,number,2,similarity
SS1673386332496,media/padded_stims/inanimate_017_left.png,media/padded_stims/animate_010_left.png,animacy,4,similarity
SS1673386332496,media/padded_stims/inanimate_055_right.png,media/padded_stims/inanimate_074_right.png,identity,4,similarity
SS1673386332496,media/padded_stims/animate_070_left.png,media/padded_stims/animate_046_left.png,number,1,similarity
