success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject,study,session,window_width,window_height,view_history,rt,stimulus_type,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,trial_number,response,question_order,rating_type,similarity_rating_background,similarity_rating_deviant,similarity_rating_violation,complexity_rating_type,complexity_reps,complexity_rating_stimulus,stimulus
TRUE,FALSE,[],[],[],preload,0,26470,0.0-0.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,fullscreen,1,47701,0.0-1.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,2,51931,0.0-2.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,"[{""page_index"":0,""viewing_time"":4229}]",4229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,3,65509,0.0-3.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,"[{""page_index"":0,""viewing_time"":5173},{""page_index"":1,""viewing_time"":6401}]",11574,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,4,69169,0.0-4.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,1825,instructions,2825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,5,72059,0.0-5.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,1076,instructions,2076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,6,74888,0.0-6.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,1002,instructions,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,7,86991,0.0-7.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,"[{""page_index"":0,""viewing_time"":5637},{""page_index"":1,""viewing_time"":2032},{""page_index"":2,""viewing_time"":2512},{""page_index"":3,""viewing_time"":1072},{""page_index"":4,""viewing_time"":848}]",12101,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,8,89232,0.0-8.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,432,NA,1432,deviant_block,media/padded_stims/inanimate_048_left.png,media/padded_stims/animate_071_left.png,inanimate_single_left,animate_single_left,animacy,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,9,91174,0.0-9.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,115,NA,1115,deviant_block,media/padded_stims/inanimate_048_left.png,media/padded_stims/animate_071_left.png,inanimate_single_left,animate_single_left,animacy,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,survey-likert,10,94424,0.0-10.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,3248,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{""Q0"":0}",[0],background,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,11,96825,0.0-11.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,589,NA,1589,deviant_block,media/padded_stims/inanimate_019_right.png,media/padded_stims/inanimate_078_left.png,inanimate_single_right,inanimate_single_left,pose,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,12,98863,0.0-12.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,211,NA,1211,deviant_block,media/padded_stims/inanimate_019_right.png,media/padded_stims/inanimate_078_left.png,inanimate_single_right,inanimate_single_left,pose,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,13,100807,0.0-13.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,112,NA,1112,deviant_block,media/padded_stims/inanimate_019_right.png,media/padded_stims/inanimate_078_left.png,inanimate_single_right,inanimate_single_left,pose,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,14,103063,0.0-14.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,436,NA,1436,deviant_block,media/padded_stims/inanimate_019_right.png,media/padded_stims/inanimate_078_left.png,inanimate_single_right,inanimate_single_left,pose,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,survey-likert,15,105618,0.0-15.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,2553,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{""Q0"":0}",[0],background,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,16,107871,0.0-16.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,432,NA,1432,background_block,media/padded_stims/animate_037_left.png,null,animate_single_left,null,null,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,17,110900,0.0-17.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,1205,NA,2205,background_block,media/padded_stims/animate_037_left.png,null,animate_single_left,null,null,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,18,112905,0.0-18.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,175,NA,1175,background_block,media/padded_stims/animate_037_left.png,null,animate_single_left,null,null,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,19,114941,0.0-19.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,210,NA,1210,background_block,media/padded_stims/animate_037_left.png,null,animate_single_left,null,null,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,survey-likert,20,117939,0.0-20.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,2996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{""Q0"":0}",[0],background,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,curtain-display,21,120134,0.0-21.0,SS1673386322769,63bdacb46bfec1782ed31c9f,63bdd94fa7fe7803101fe03e,1327,696,NA,375,NA,1375,deviant_block,media/padded_stims/inanimate_012_right.png,media/padded_stims/inanimate_018_right.png,inanimate_pair_right,inanimate_pair_right,identity,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
