exclude_reason,sbj
prolific,SS1682398083747
prolific,SS1682398115187
prolific,SS1682398116852
prolific,SS1682398123141
prolific,SS1682398134931
prolific,SS1682398168921
prolific,SS1682398170417
prolific,SS1682398284151
prolific,SS1682398330948
prolific,SS1682398546659
prolific,SS1682398591428
prolific,SS1682398678191
prolific,SS1682398769829
prolific,SS1682398827803
prolific,SS1682398905272
prolific,SS1682398963302
prolific,SS1682398993221
prolific,SS1682399035720
prolific,SS1682399193655
prolific,SS1682399254997
prolific,SS1682399477429
prolific,SS1682399483564
prolific,SS1682399588700
prolific,SS1682399661069
prolific,SS1682399765792
prolific,SS1682399896210
prolific,SS1682399899470
prolific,SS1682400191579
prolific,SS1682400516700
prolific,SS1682400641789
prolific,SS1682400763731
prolific,SS1682400799850
prolific,SS1682401005218
prolific,SS1682401033357
prolific,SS1682401059789
prolific,SS1682401341002
prolific,SS1682401364882
prolific,SS1682401913005
prolific,SS1682402144381
prolific,SS1682402171889
prolific,SS1682402300237
prolific,SS1682402494835
prolific,SS1682402773912
prolific,SS1682402825007
prolific,SS1682403117285
prolific,SS1682403460065
prolific,SS1682403480919
prolific,SS1682403502508
prolific,SS1682404070747
prolific,SS1682404666246
prolific,SS1682404702186
prolific,SS1682405079402
prolific,SS1682405353753
prolific,SS1682406082956
prolific,SS1682407037041
prolific,SS1682408099372
prolific,SS1682409146959
prolific,SS1682411143728
prolific,SS1682411235328
prolific,SS1682412111582
prolific,SS1682413913710
prolific,SS1682414056904
prolific,SS1682414450814
prolific,SS1682414695657
prolific,SS1682416168387
prolific,SS1682416512400
prolific,SS1682416646575
prolific,SS1682417227028
prolific,SS1682417519467
prolific,SS1682418637376
prolific,SS1682419107876
prolific,SS1682419227960
prolific,SS1682419642675
prolific,SS1682419825806
prolific,SS1682420000967
prolific,SS1682420073880
prolific,SS1682420284567
prolific,SS1682420622031
prolific,SS1682421034923
prolific,SS1682421135291
prolific,SS1682421188348
prolific,SS1682421250263
prolific,SS1682421396422
prolific,SS1682421405085
prolific,SS1682421421101
prolific,SS1682421501113
prolific,SS1682421609808
prolific,SS1682421798734
prolific,SS1682421975964
prolific,SS1682422112773
prolific,SS1682422521949
prolific,SS1682422972295
prolific,SS1682423157142
prolific,SS1682423242483
prolific,SS1682423331191
prolific,SS1682423586704
prolific,SS1682423781265
prolific,SS1682423900262
prolific,SS1682424183530
prolific,SS1682424260453
prolific,SS1682424441415
prolific,SS1682424643662
prolific,SS1682424937999
prolific,SS1682425249466
