Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63bdae8a53a2077a4ed02af0,5f61247995b5a709106e77de,APPROVED,2023-01-10T18:29:30.614000Z,2023-01-10T18:41:51.099000Z,2023-01-10T18:54:11.530000,2023-01-10T18:41:51.452200Z,741,3D699F4F,195,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63bdae8b43edd171af611acf,5fe0ceafe66d7fa65da24f11,APPROVED,2023-01-10T18:29:45.174000Z,2023-01-10T18:40:29.691000Z,2023-01-10T18:54:11.644000,2023-01-10T18:40:30.100456Z,645,3D699F4F,28,21,Male,White,Slovakia,Czech Republic,Czech Republic,Slovak,Yes,Part-Time
63bdae8bec4b3257205091f4,616f468bb251489045e6d9f5,APPROVED,2023-01-10T18:29:53.479000Z,2023-01-10T18:50:55.463000Z,2023-01-10T18:54:11.748000,2023-01-10T18:50:55.928631Z,1262,3D699F4F,58,20,Female,White,"Venezuela, Bolivarian Republic of",Spain,"Venezuela, Bolivarian Republic of",Spanish,DATA_EXPIRED,DATA_EXPIRED
63bdae8ca62b6502e91fdff0,5f9c3ccd89e3630a412f4d85,APPROVED,2023-01-10T18:29:32.451000Z,2023-01-10T18:41:05.098000Z,2023-01-10T18:54:11.851000,2023-01-10T18:41:05.488977Z,693,3D699F4F,169,20,Male,White,Albania,Switzerland,Albania,Albanian,Yes,Part-Time
63bdae8f8a9effc8d776bbd5,605e033d3873dbd1e70311a1,APPROVED,2023-01-10T18:29:35.530000Z,2023-01-10T18:43:44.733000Z,2023-01-10T18:54:11.963000,2023-01-10T18:43:45.275001Z,850,3D699F4F,75,21,Female,White,Poland,Poland,Poland,Polish,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63bdaea4df795abaa0f02080,61057ef878bd36c2c0e5737b,APPROVED,2023-01-10T18:29:56.779000Z,2023-01-10T18:41:33.722000Z,2023-01-10T18:54:12.071000,2023-01-10T18:41:34.113388Z,697,3D699F4F,100,23,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
63bdaea514857b72e0fc5bb6,5f4fb65e6a8b5b0aba0eeac4,APPROVED,2023-01-10T18:29:57.135000Z,2023-01-10T18:43:11.274000Z,2023-01-10T18:54:12.180000,2023-01-10T18:43:11.694730Z,795,3D699F4F,60,29,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
63bdaea944a59b2420ef4aa7,60f1dfc059f951c9fcbabd82,APPROVED,2023-01-10T18:30:01.030000Z,2023-01-10T18:41:16.874000Z,2023-01-10T18:54:12.282000,2023-01-10T18:41:17.205408Z,676,3D699F4F,103,19,Female,White,Poland,Poland,Poland,Polish,Yes,Other
63bdaeab4f5e3dcd1c549601,6154d19bcbbf0a523e3844ac,APPROVED,2023-01-10T18:30:03.545000Z,2023-01-10T18:39:02.165000Z,2023-01-10T18:54:12.391000,2023-01-10T18:39:02.684277Z,539,3D699F4F,161,31,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
63bdaeaf6771203d27a0c6b7,60e08704a4ee75a952deffd7,APPROVED,2023-01-10T18:30:11.940000Z,2023-01-10T18:46:32.006000Z,2023-01-10T18:54:12.500000,2023-01-10T18:46:32.426607Z,981,3D699F4F,67,28,Male,Other,South Africa,South Africa,South Africa,English,Yes,Full-Time
63bdb8747829ee8999bca882,5c437f6a4fe4f800016e3d52,APPROVED,2023-01-10T19:16:04.148000Z,2023-01-10T19:27:54.709000Z,2023-01-10T19:45:41.733000,2023-01-10T19:27:55.072311Z,711,3D699F4F,332,23,Male,White,Poland,Poland,Poland,Polish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63bdb877ce673166f20e3843,5b8c8e7d0c740e00019d55c3,APPROVED,2023-01-10T19:12:09.427000Z,2023-01-10T19:26:22.545000Z,2023-01-10T19:45:41.837000,2023-01-10T19:26:23.698813Z,854,3D699F4F,1127,37,Male,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
63bdb87942c2924b91fc5c10,5fd85707af5bd719a5e20419,APPROVED,2023-01-10T19:12:12.786000Z,2023-01-10T19:21:23.513000Z,2023-01-10T19:45:41.933000,2023-01-10T19:21:23.889328Z,551,3D699F4F,273,29,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
63bdb87955ee449b631872f0,5e830913ff38e3016d1a69f2,APPROVED,2023-01-10T19:12:07.313000Z,2023-01-10T19:23:31.883000Z,2023-01-10T19:45:42.033000,2023-01-10T19:23:32.255515Z,685,3D699F4F,521,49,Female,White,Italy,Italy,Italy,Italian,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63bdb8799b0b12a8cc5091d3,5f4fa43ff313fc07706bb0fe,APPROVED,2023-01-10T19:11:53.398000Z,2023-01-10T19:21:43.623000Z,2023-01-10T19:45:42.131000,2023-01-10T19:21:43.999061Z,591,3D699F4F,348,45,Male,White,Finland,Finland,Finland,Finnish,No,Part-Time
63bdb879ff1786868cd31c8f,5db9051361dab0000c7b51f4,APPROVED,2023-01-10T19:11:53.190000Z,2023-01-10T19:44:56.975000Z,2023-01-10T19:45:42.449000,2023-01-10T19:44:57.704771Z,1984,3D699F4F,229,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63bdb87a2c109a07b004822b,5f566443352f600826449f4b,APPROVED,2023-01-10T19:11:54.384000Z,2023-01-10T19:30:43.341000Z,2023-01-10T19:45:42.550000,2023-01-10T19:30:44.338589Z,1129,3D699F4F,651,50,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time
63bdb87adc8326e3af416de8,5d5ab9dac4866400012bcde2,APPROVED,2023-01-10T19:11:54.665000Z,2023-01-10T19:37:24.568000Z,2023-01-10T19:45:42.643000,2023-01-10T19:37:24.988710Z,1530,3D699F4F,652,65,Male,White,Canada,Canada,Canada,English,No,Part-Time
63bdb87ae723974345c5b190,60196480480c1403e32285a8,APPROVED,2023-01-10T19:11:54.084000Z,2023-01-10T19:22:22.150000Z,2023-01-10T19:45:42.741000,2023-01-10T19:22:22.760242Z,629,3D699F4F,325,26,Female,White,Latvia,Latvia,Latvia,Latvian,No,Full-Time
63bdbaff034b69d6b6698c77,5f4e76eff69af505fa21da55,APPROVED,2023-01-10T19:22:45.532000Z,2023-01-10T19:36:14.024000Z,2023-01-10T19:45:42.835000,2023-01-10T19:36:14.371335Z,809,3D699F4F,423,25,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
63bdd94eedc8f5cae5fc5be6,5da5fdef9a9dc5001484350b,APPROVED,2023-01-10T21:31:58.468000Z,2023-01-10T21:40:52.631000Z,2023-01-11T15:59:09.597000,2023-01-10T21:40:54.876978Z,535,3D699F4F,449,27,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
63bdd94f78d4beff2082072a,5865dd647fbbcd00013973b8,APPROVED,2023-01-10T21:35:45.067000Z,2023-01-10T21:47:29.008000Z,2023-01-11T15:59:09.740000,2023-01-10T21:47:29.408238Z,704,3D699F4F,647,27,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
63bdd94fa7fe7803101fe03e,5db43b6a2f45e7000bb7ab5c,APPROVED,2023-01-10T21:31:59.408000Z,2023-01-10T21:38:43.586000Z,2023-01-11T15:59:09.876000,2023-01-10T21:38:43.895856Z,405,NOCODE,598,35,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
63bdd95003f43dcfabfc5b54,5c0ed000fd0c0a0001f881ea,APPROVED,2023-01-10T21:32:05.051000Z,2023-01-10T21:45:41.045000Z,2023-01-11T15:59:10.006000,2023-01-10T21:45:41.413863Z,816,3D699F4F,802,44,Female,White,Belarus,Israel,Israel,Russian,No,Full-Time
63bdd95050562090192ae2b9,5e29c7b8884487028f82e333,APPROVED,2023-01-10T21:32:00.579000Z,2023-01-10T21:39:17.855000Z,2023-01-11T15:59:10.132000,2023-01-10T21:39:18.279332Z,438,3D699F4F,442,22,Male,White,Poland,Israel,Israel,Hebrew,No,Full-Time
63bdd95085a63a4b96d31c94,608e7f8c603447d031579fb4,APPROVED,2023-01-10T21:32:00.299000Z,2023-01-10T21:44:56.355000Z,2023-01-11T15:59:10.264000,2023-01-10T21:44:56.900547Z,777,3D699F4F,66,22,Male,White,Italy,Italy,Italy,Italian,Yes,Full-Time
63bdd9510bb36d9aeac5f773,5b7a0bb43c13750001982223,APPROVED,2023-01-10T21:32:37.093000Z,2023-01-10T21:41:20.845000Z,2023-01-11T15:59:10.390000,2023-01-10T21:41:21.559352Z,524,3D699F4F,513,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63bdd951641d03c5a6f06dfa,5d7d467f306346001a7a6844,APPROVED,2023-01-10T21:32:07.941000Z,2023-01-10T21:40:15.356000Z,2023-01-11T15:59:10.508000,2023-01-10T21:40:15.693927Z,488,3D699F4F,331,20,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
63bdd9518c02bba6c033b448,616c3f3a378cb38f3f7ecac3,APPROVED,2023-01-10T21:37:30.909000Z,2023-01-10T22:19:08.097000Z,2023-01-11T15:59:10.636000,2023-01-10T22:19:08.432153Z,2498,616c3f3a378cb38f3f7ecac3,445,27,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63bdd951a00cd91ceb611aa4,611bb2a6d9678117db737236,APPROVED,2023-01-10T21:32:17.614000Z,2023-01-10T21:40:18.512000Z,2023-01-11T15:59:10.767000,2023-01-10T21:40:18.900258Z,481,3D699F4F,355,23,Male,White,Spain,Spain,Spain,Catalan,No,Due to start a new job within the next month
63bdd95237765f4d99bbb920,5df15288b1fb0506c5fc6afb,APPROVED,2023-01-10T21:32:02.867000Z,2023-01-10T21:39:56.047000Z,2023-01-11T15:59:10.889000,2023-01-10T21:39:57.945155Z,474,3D699F4F,1529,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63bdd95250e97554440e6fab,5efe1f5fae9c482e94a4cc61,APPROVED,2023-01-10T21:32:02.031000Z,2023-01-10T21:40:41.254000Z,2023-01-11T15:59:11.012000,2023-01-10T21:40:41.648837Z,520,3D699F4F,194,21,Male,White,Germany,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
63bdd95278d4beff2082072b,60e392dbe2cb92399c35d120,APPROVED,2023-01-10T21:32:05.960000Z,2023-01-10T21:45:43.577000Z,2023-01-11T15:59:11.137000,2023-01-10T21:45:43.937365Z,818,3D699F4F,161,23,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
63bdd95292ccf10930e6b9a0,579e352f4d107800016dd96e,APPROVED,2023-01-10T21:37:26.919000Z,2023-01-10T22:02:06.042000Z,2023-01-11T15:59:11.268000,2023-01-10T22:02:06.509730Z,1480,3D699F4F,1462,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63bdd952a7227cb2ab30c471,5e0b87eb58a5c73bdc9aa47b,APPROVED,2023-01-10T21:32:02.396000Z,2023-01-10T21:47:23.194000Z,2023-01-11T15:59:11.408000,2023-01-10T21:47:23.572296Z,921,3D699F4F,360,21,Male,Other,DATA_EXPIRED,Mexico,Mexico,DATA_EXPIRED,Yes,DATA_EXPIRED
63bdd95324ab4d698b687fae,5a19b5076e1ea9000124f940,APPROVED,2023-01-10T21:32:03.518000Z,2023-01-10T21:46:11.839000Z,2023-01-11T15:59:11.530000,2023-01-10T21:46:12.150976Z,849,3D699F4F,752,41,Male,Mixed,France,France,France,French,No,Full-Time
63bdd9539885f5791fe6ba15,5d960ffd35a770001a9a0592,APPROVED,2023-01-10T21:32:03.100000Z,2023-01-10T21:44:35.312000Z,2023-01-11T15:59:11.648000,2023-01-10T21:44:35.748952Z,753,3D699F4F,1024,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63bdd9539fe29ccd0375cd71,60a9909e741b7a30eeb070b9,APPROVED,2023-01-10T21:32:03.691000Z,2023-01-10T21:43:21.852000Z,2023-01-11T15:59:11.760000,2023-01-10T21:43:22.279723Z,679,3D699F4F,65,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63bdd953a3a2ddb04b4770cd,60d3136e74b1871646e72544,APPROVED,2023-01-10T21:32:26.888000Z,2023-01-10T21:44:49.319000Z,2023-01-11T15:59:11.880000,2023-01-10T21:44:49.662110Z,743,3D699F4F,1091,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63bdd953fe1f62f46baec20b,5e9d9dd04ca6690944caf284,APPROVED,2023-01-10T21:32:03.278000Z,2023-01-10T21:47:10.747000Z,2023-01-11T15:59:11.996000,2023-01-10T21:47:11.162533Z,908,3D699F4F,190,22,Male,White,Greece,Greece,Greece,Greek,Yes,Other
63bdd95478d4beff2082072d,5f3c8a006375d854f90d73a7,APPROVED,2023-01-10T21:32:04.148000Z,2023-01-10T21:43:14.549000Z,2023-01-11T15:59:12.115000,2023-01-10T21:43:14.982678Z,671,3D699F4F,422,21,Male,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)
63bdd9549185de6a7e4bb109,616f6ed2ead3bb59cd1397ac,APPROVED,2023-01-10T21:32:04.338000Z,2023-01-10T21:48:01.244000Z,2023-01-11T15:59:12.239000,2023-01-10T21:48:01.653419Z,957,3D699F4F,173,23,Female,Other,Mexico,Mexico,Mexico,Spanish,Yes,Other
63bdd9549885f5791fe6ba17,616c900d5c7b234f92b4a930,APPROVED,2023-01-10T21:33:06.454000Z,2023-01-10T21:49:58.832000Z,2023-01-11T15:59:12.355000,2023-01-10T21:49:59.370331Z,1013,3D699F4F,276,25,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
63bdd954ad9f99afc086ce0d,5ecec2ff4c2e852d099ab0f0,APPROVED,2023-01-10T21:32:04.518000Z,2023-01-10T21:42:39.056000Z,2023-01-11T15:59:12.472000,2023-01-10T21:42:39.432626Z,635,3D699F4F,155,26,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
