"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type","stimulus","target","target_animacy","target_pose","target_number","left","left_animacy","left_pose","left_number","right","right_animacy","right_pose","right_number","comparison_type","rating_stimulus","rating_animacy","rating_number","rating_pose"
"true","false","[]","[]","[]","preload","0","894","0.0-0.0","SS1678170148632","610cd5f2b38b2d1bffe55477","6406d7f26dd5b7fc1e3377bd","6406d81e07f32548b6ea33c1","1023","1044","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","999005","0.0-1.0","SS1678170148632","610cd5f2b38b2d1bffe55477","6406d7f26dd5b7fc1e3377bd","6406d81e07f32548b6ea33c1","1023","1044","[{""page_index"":0,""viewing_time"":998110}]","998111","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","1091561","0.0-2.0","SS1678170148632","610cd5f2b38b2d1bffe55477","6406d7f26dd5b7fc1e3377bd","6406d81e07f32548b6ea33c1","1023","1044","[{""page_index"":0,""viewing_time"":90551}]","90551","instructions","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","1094361","0.0-3.0","SS1678170148632","610cd5f2b38b2d1bffe55477","6406d7f26dd5b7fc1e3377bd","6406d81e07f32548b6ea33c1","1023","1044","[{""page_index"":0,""viewing_time"":2800}]","2800","instructions","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-likert","4","1112055","0.0-4.0","SS1678170148632","610cd5f2b38b2d1bffe55477","6406d7f26dd5b7fc1e3377bd","6406d81e07f32548b6ea33c1","1023","1044","","17692","","{""Q0"":4}","[0]","anchoring","","","","","","","","","","","","","","","","","",""
"","","","","","survey-likert","5","1117381","0.0-5.0","SS1678170148632","610cd5f2b38b2d1bffe55477","6406d7f26dd5b7fc1e3377bd","6406d81e07f32548b6ea33c1","1023","1044","","5321","","{""Q0"":4}","[0]","anchoring","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","1118607","0.0-6.0","SS1678170148632","610cd5f2b38b2d1bffe55477","6406d7f26dd5b7fc1e3377bd","6406d81e07f32548b6ea33c1","1023","1044","[{""page_index"":0,""viewing_time"":1224}]","1224","instructions","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","7","1121279","0.0-7.0","SS1678170148632","610cd5f2b38b2d1bffe55477","6406d7f26dd5b7fc1e3377bd","6406d81e07f32548b6ea33c1","1023","1044","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","1176561","0.0-8.0","SS1678170148632","610cd5f2b38b2d1bffe55477","6406d7f26dd5b7fc1e3377bd","6406d81e07f32548b6ea33c1","1023","1044","","55280","","f","","","<img src=""media/stimuli/animate_005_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:44.5%""></img><img src=""media/stimuli/animate_005_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:51.5%""></img><img src=""media/stimuli/inanimate_001_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:34.5%""></img><img src=""media/stimuli/inanimate_001_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:41.5%""></img><img src=""media/stimuli/animate_005_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:58%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/animate_005_left.png","animate","left","pair","media/stimuli/inanimate_001_left.png","inanimate","left","pair","media/stimuli/animate_005_left.png","animate","left","single","animacy_number","","","",""
"","","","","","html-keyboard-response","9","1185917","0.0-9.0","SS1678170148632","610cd5f2b38b2d1bffe55477","6406d7f26dd5b7fc1e3377bd","6406d81e07f32548b6ea33c1","1023","1044","","9355","","f","","","<img src=""media/stimuli/inanimate_010_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:44.5%""></img><img src=""media/stimuli/inanimate_010_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:51.5%""></img><img src=""media/stimuli/inanimate_005_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:34.5%""></img><img src=""media/stimuli/inanimate_005_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:41.5%""></img><img src=""media/stimuli/inanimate_010_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:54.5%""></img><img src=""media/stimuli/inanimate_010_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:61.5%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/inanimate_010_right.png","inanimate","right","pair","media/stimuli/inanimate_005_right.png","inanimate","right","pair","media/stimuli/inanimate_010_left.png","inanimate","left","pair","identity_pose","","","",""
"","","","","","html-keyboard-response","10","1193924","0.0-10.0","SS1678170148632","610cd5f2b38b2d1bffe55477","6406d7f26dd5b7fc1e3377bd","6406d81e07f32548b6ea33c1","1023","1044","","8006","","f","","","<img src=""media/stimuli/animate_011_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:48%""></img><img src=""media/stimuli/inanimate_005_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:38%""></img><img src=""media/stimuli/animate_012_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:58%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/animate_011_right.png","animate","right","single","media/stimuli/inanimate_005_right.png","inanimate","right","single","media/stimuli/animate_012_right.png","animate","right","single","animacy_identity","","","",""
