"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type","rating_stimulus","rating_animacy","rating_number","rating_pose"
"true","false","[]","[]","[]","preload","0","4676","0.0-0.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","","","","","","","","",""
"","","","","","instructions","1","6738","0.0-1.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","[{""page_index"":0,""viewing_time"":2057}]","2058","","","","","","","",""
"","","","","","instructions","2","21093","0.0-2.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","[{""page_index"":0,""viewing_time"":12346}]","12347","instructions","","","","","","",""
"","","","","","instructions","3","27075","0.0-3.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","[{""page_index"":0,""viewing_time"":5970}]","5971","instructions","","","","","","",""
"","","","","","survey-likert","4","43591","0.0-4.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","16502","","{""Q0"":4}","[0]","anchoring","","","",""
"","","","","","survey-likert","5","48266","0.0-5.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","4671","","{""Q0"":1}","[0]","anchoring","","","",""
"","","","","","instructions","6","49868","0.0-6.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","[{""page_index"":0,""viewing_time"":1601}]","1601","instructions","","","","","","",""
"true","","","","","fullscreen","7","53397","0.0-7.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","","","","","","","","",""
"","","","","","survey-likert","8","57564","0.0-8.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","4155","","{""Q0"":1}","[0]","complexity","media/stimuli/animate_010_right.png","animate","pair","right"
"","","","","","survey-likert","9","60792","0.0-9.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","3224","","{""Q0"":1}","[0]","complexity","media/stimuli/animate_003_right.png","animate","single","right"
"","","","","","survey-likert","10","62495","0.0-10.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","1700","","{""Q0"":0}","[0]","complexity","media/stimuli/inanimate_003_left.png","inanimate","single","left"
"","","","","","survey-likert","11","64182","0.0-11.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","1682","","{""Q0"":1}","[0]","complexity","media/stimuli/animate_012_left.png","animate","pair","left"
"","","","","","survey-likert","12","69757","0.0-12.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","5570","","{""Q0"":1}","[0]","complexity","media/stimuli/animate_004_right.png","animate","single","right"
"","","","","","survey-likert","13","72588","0.0-13.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","2828","","{""Q0"":2}","[0]","complexity","media/stimuli/inanimate_007_left.png","inanimate","single","left"
"","","","","","survey-likert","14","74387","0.0-14.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","1795","","{""Q0"":2}","[0]","complexity","media/stimuli/inanimate_006_right.png","inanimate","pair","right"
"","","","","","survey-likert","15","75785","0.0-15.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","1395","","{""Q0"":1}","[0]","complexity","media/stimuli/inanimate_006_left.png","inanimate","single","left"
"","","","","","survey-likert","16","79067","0.0-16.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","3279","","{""Q0"":1}","[0]","complexity","media/stimuli/animate_012_right.png","animate","pair","right"
"","","","","","survey-likert","17","81844","0.0-17.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","2773","","{""Q0"":1}","[0]","complexity","media/stimuli/inanimate_005_right.png","inanimate","pair","right"
"","","","","","survey-likert","18","84564","0.0-18.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","2717","","{""Q0"":2}","[0]","complexity","media/stimuli/inanimate_006_left.png","inanimate","pair","left"
"","","","","","survey-likert","19","86773","0.0-19.0","SS1678233172828","5eb02a40b17a8c0868685d32","6406d7f26dd5b7fc1e3377bd","6407ce4e7202a50c26f19b51","1080","707","","2205","","{""Q0"":1}","[0]","complexity","media/stimuli/inanimate_012_right.png","inanimate","single","right"
