"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type","rating_stimulus","rating_animacy","rating_number","rating_pose","stimulus"
"true","false","[]","[]","[]","preload","0","8820","0.0-0.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","","","","","","","","","",""
"","","","","","instructions","1","17990","0.0-1.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","[{""page_index"":0,""viewing_time"":9157}]","9159","","","","","","","","",""
"","","","","","instructions","2","31085","0.0-2.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","[{""page_index"":0,""viewing_time"":11081}]","11081","instructions","","","","","","","",""
"","","","","","instructions","3","33539","0.0-3.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","[{""page_index"":0,""viewing_time"":2447}]","2447","instructions","","","","","","","",""
"","","","","","survey-likert","4","54445","0.0-4.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","20893","","{""Q0"":5}","[0]","anchoring","","","","",""
"","","","","","survey-likert","5","67455","0.0-5.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","13000","","{""Q0"":1}","[0]","anchoring","","","","",""
"","","","","","instructions","6","69110","0.0-6.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","[{""page_index"":0,""viewing_time"":1648}]","1648","instructions","","","","","","","",""
"true","","","","","fullscreen","7","71947","0.0-7.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","","","","","","","","","",""
"","","","","","survey-likert","8","80530","0.0-8.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","8561","","{""Q0"":0}","[0]","complexity","media/stimuli/inanimate_002_left.png","inanimate","single","left",""
"","","","","","survey-likert","9","84330","0.0-9.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","3789","","{""Q0"":1}","[0]","complexity","media/stimuli/animate_003_left.png","animate","pair","left",""
