"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type","stimulus","target","target_animacy","target_pose","target_number","left","left_animacy","left_pose","left_number","right","right_animacy","right_pose","right_number","comparison_type"
"true","false","[]","[]","[]","preload","0","4687","0.0-0.0","SS1678233217983","55beec67fdf99b6b670922f8","6406d7f26dd5b7fc1e3377bd","6407ce7c046e8354751e6d70","1597","905","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","6878","0.0-1.0","SS1678233217983","55beec67fdf99b6b670922f8","6406d7f26dd5b7fc1e3377bd","6407ce7c046e8354751e6d70","1597","905","[{""page_index"":0,""viewing_time"":2187}]","2187","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","31134","0.0-2.0","SS1678233217983","55beec67fdf99b6b670922f8","6406d7f26dd5b7fc1e3377bd","6407ce7c046e8354751e6d70","1597","905","[{""page_index"":0,""viewing_time"":22243}]","22243","instructions","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","34974","0.0-3.0","SS1678233217983","55beec67fdf99b6b670922f8","6406d7f26dd5b7fc1e3377bd","6407ce7c046e8354751e6d70","1597","905","[{""page_index"":0,""viewing_time"":3837}]","3837","instructions","","","","","","","","","","","","","","","","",""
"","","","","","survey-likert","4","46047","0.0-4.0","SS1678233217983","55beec67fdf99b6b670922f8","6406d7f26dd5b7fc1e3377bd","6407ce7c046e8354751e6d70","1597","905","","11070","","{""Q0"":5}","[0]","anchoring","","","","","","","","","","","","","",""
"","","","","","survey-likert","5","53483","0.0-5.0","SS1678233217983","55beec67fdf99b6b670922f8","6406d7f26dd5b7fc1e3377bd","6407ce7c046e8354751e6d70","1597","905","","7433","","{""Q0"":1}","[0]","anchoring","","","","","","","","","","","","","",""
"","","","","","instructions","6","55557","0.0-6.0","SS1678233217983","55beec67fdf99b6b670922f8","6406d7f26dd5b7fc1e3377bd","6407ce7c046e8354751e6d70","1597","905","[{""page_index"":0,""viewing_time"":2072}]","2072","instructions","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","7","70784","0.0-7.0","SS1678233217983","55beec67fdf99b6b670922f8","6406d7f26dd5b7fc1e3377bd","6407ce7c046e8354751e6d70","1597","905","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","79882","0.0-8.0","SS1678233217983","55beec67fdf99b6b670922f8","6406d7f26dd5b7fc1e3377bd","6407ce7c046e8354751e6d70","1597","905","","9092","","j","","","<img src=""media/stimuli/animate_006_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:44.5%""></img><img src=""media/stimuli/animate_006_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:51.5%""></img><img src=""media/stimuli/animate_006_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:34.5%""></img><img src=""media/stimuli/animate_006_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:41.5%""></img><img src=""media/stimuli/animate_006_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:58%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/animate_006_left.png","animate","left","pair","media/stimuli/animate_006_right.png","animate","right","pair","media/stimuli/animate_006_left.png","animate","left","single","pose_number"
"","","","","","html-keyboard-response","9","83208","0.0-9.0","SS1678233217983","55beec67fdf99b6b670922f8","6406d7f26dd5b7fc1e3377bd","6407ce7c046e8354751e6d70","1597","905","","3319","","f","","","<img src=""media/stimuli/animate_004_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:48%""></img><img src=""media/stimuli/inanimate_010_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:34.5%""></img><img src=""media/stimuli/inanimate_010_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:41.5%""></img><img src=""media/stimuli/animate_004_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:54.5%""></img><img src=""media/stimuli/animate_004_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:61.5%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/animate_004_left.png","animate","left","single","media/stimuli/inanimate_010_right.png","inanimate","right","pair","media/stimuli/animate_004_left.png","animate","left","pair","animacy_pose"
