Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6406d81150eb0a1cecc18bad,62ef104b5e9352c2ead31fde,APPROVED,2023-03-07T06:22:13.998000Z,2023-03-07T06:38:28.309000Z,2023-03-07T15:51:17.365000,2023-03-07T06:38:28.670614Z,975,C90GA43K,1589,59,Male,White,United States,United States,United States,English,No,Full-Time
6406d8140da4dbb7acf7242c,616c056b42e788ef31efc4b0,APPROVED,2023-03-07T06:22:12.859000Z,2023-03-07T06:32:36.898000Z,2023-03-07T15:51:17.527000,2023-03-07T06:32:37.227429Z,625,C90GA43K,1365,38,Female,Asian,United States,United States,United States,English,No,Full-Time
6406d814485e592a675c6086,631e235a33040da66ddf51a1,APPROVED,2023-03-07T06:22:12.413000Z,2023-03-07T06:38:27.048000Z,2023-03-07T15:51:17.668000,2023-03-07T06:38:27.431897Z,975,C90GA43K,906,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6406d8157b8d1f056abfefe0,57dd186e6598aa0001992616,APPROVED,2023-03-07T06:22:24.851000Z,2023-03-07T06:31:49.161000Z,2023-03-07T15:51:17.822000,2023-03-07T06:31:49.466726Z,565,C90GA43K,4865,35,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6406d816d1c30c66a4c8dbc3,63d2147f2761fcc9919475dc,APPROVED,2023-03-07T06:22:18.502000Z,2023-03-07T06:31:22.620000Z,2023-03-07T15:51:17.983000,2023-03-07T06:31:23.013649Z,545,C90GA43K,253,41,Male,White,United States,United States,United States,English,No,Full-Time
6406d81771627e732f596604,6018a5c0e1600b187ccb8693,APPROVED,2023-03-07T06:22:15.649000Z,2023-03-07T06:30:00.276000Z,2023-03-07T15:51:18.127000,2023-03-07T06:30:00.700192Z,465,C90GA43K,2212,25,Male,Asian,United States,United States,United States,English,Yes,Full-Time
6406d8181ad891ca2889a3b7,5e55d9d5bcdb1e5f55cca145,APPROVED,2023-03-07T06:22:19.914000Z,2023-03-07T06:34:42.800000Z,2023-03-07T15:51:18.261000,2023-03-07T06:34:43.258563Z,743,C90GA43K,4248,38,Male,Other,United States,United States,United States,English,No,Full-Time
6406d818d3c355dbd62cd56d,59d8ae913e5ea00001e1d05f,APPROVED,2023-03-07T06:22:16.550000Z,2023-03-07T06:31:44.684000Z,2023-03-07T15:51:18.416000,2023-03-07T06:31:45.030941Z,569,C90GA43K,4058,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6406d81a03902f20011f86dc,631b4849c2daec6a4966605c,APPROVED,2023-03-07T06:22:18.436000Z,2023-03-07T06:38:49.333000Z,2023-03-07T15:51:18.557000,2023-03-07T06:38:49.710823Z,991,C90GA43K,741,37,Male,Black,United States,United States,United States,English,No,Part-Time
6406d81abe355dc828b1cddd,5d0d16d991270800010b7dd7,APPROVED,2023-03-07T06:22:18.661000Z,2023-03-07T06:36:10.778000Z,2023-03-07T15:51:18.701000,2023-03-07T06:36:11.219926Z,833,C90GA43K,2077,38,Male,White,United States,United States,United States,English,No,Full-Time
6406d81ae1b597463249f356,5f66893ee1a5b726ff88b66f,APPROVED,2023-03-07T06:22:18.881000Z,2023-03-07T06:30:47.677000Z,2023-03-07T15:51:18.835000,2023-03-07T06:30:48.090659Z,509,C90GA43K,1532,41,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6406d81b67168d37315acaa0,5dec8925be656d35d4005320,APPROVED,2023-03-07T06:22:19.140000Z,2023-03-07T06:38:10.265000Z,2023-03-07T15:51:18.969000,2023-03-07T06:38:10.583625Z,952,C90GA43K,3287,59,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6406d81c8c637a7813568c21,5f6fd1451758e95a989623b2,APPROVED,2023-03-07T06:22:32.035000Z,2023-03-07T06:35:40.148000Z,2023-03-07T15:51:19.121000,2023-03-07T06:35:40.497416Z,789,C90GA43K,2182,50,Male,White,United States,United States,United States,English,No,Part-Time
6406d81cf5ba28da8bdb9006,59a1ddac5dfd6b000152601f,APPROVED,2023-03-07T06:22:20.653000Z,2023-03-07T06:32:41.410000Z,2023-03-07T15:51:19.290000,2023-03-07T06:32:41.760939Z,621,C90GA43K,1417,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6406d81e07f32548b6ea33c1,610cd5f2b38b2d1bffe55477,APPROVED,2023-03-07T06:22:25.539000Z,2023-03-07T06:53:02.123000Z,2023-03-07T15:51:19.457000,2023-03-07T06:53:02.534427Z,1837,C90GA43K,2426,31,Male,White,United States,United States,United States,Spanish,Yes,Unemployed (and job seeking)
6406d81e10e37a7c5d4cd093,5d6955108c4ab2001aa1b37b,APPROVED,2023-03-07T06:22:25.788000Z,2023-03-07T06:34:58.500000Z,2023-03-07T15:51:19.618000,2023-03-07T06:34:58.878213Z,753,C90GA43K,728,24,Male,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
