,prolific_id,trial_type,rt,background,deviant,block_type,trial_index,fam_trial,total_rt,response,question_order,rating_type,response
0,,preload,,,,,0,,,,,,
1,,preload,,,,,0,,,,,,
2,,fullscreen,,,,,1,,,,,,
3,,instructions,1420.0,,,,2,,,,,,
4,,instructions,1469.0,,,,3,,,,,,
5,,curtain-display,,,,,4,,,,,,
6,,curtain-display,,,,,5,,,,,,
7,,curtain-display,242.0,,,,6,,742.0,,,,
8,,instructions,3032.0,,,,7,,,,,,
9,,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif,all_background,8,8.0,,,,,
10,,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif,all_background,9,8.0,,,,,
11,,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif,all_background,10,8.0,,,,,
12,,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif,all_background,11,8.0,,,,,
13,,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif,all_background,12,8.0,,,,,
14,,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif,all_background,13,8.0,,,,,
15,,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif,all_background,14,8.0,,,,,
16,,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif,all_background,15,8.0,,,,,
17,,curtain-display,150.0,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif,all_background,16,8.0,650.0,,,,
18,61491ef3328d677fb0a59699,preload,,,,,0,,,,,,
19,61491ef3328d677fb0a59699,preload,,,,,0,,,,,,
20,61491ef3328d677fb0a59699,fullscreen,,,,,1,,,,,,
21,61491ef3328d677fb0a59699,instructions,4161.0,,,,2,,,,,,
22,605d880baff3193baf90c875,preload,,,,,0,,,,,,
23,605d880baff3193baf90c875,preload,,,,,0,,,,,,
24,60476ecfdd72a724ee081741,preload,,,,,0,,,,,,
25,60476ecfdd72a724ee081741,preload,,,,,0,,,,,,
26,605d880baff3193baf90c875,fullscreen,,,,,1,,,,,,
27,605d880baff3193baf90c875,instructions,1716.0,,,,2,,,,,,
28,60476ecfdd72a724ee081741,fullscreen,,,,,1,,,,,,
29,605d880baff3193baf90c875,instructions,4740.0,,,,3,,,,,,
30,605d880baff3193baf90c875,curtain-display,,,,,4,,,,,,
31,613aa9ee188e0f9351987678,preload,,,,,0,,,,,,
32,613aa9ee188e0f9351987678,preload,,,,,0,,,,,,
33,60476ecfdd72a724ee081741,instructions,12584.0,,,,2,,,,,,
34,605d880baff3193baf90c875,curtain-display,,,,,5,,,,,,
35,605d880baff3193baf90c875,curtain-display,2352.0,,,,6,,2852.0,,,,
36,610bd70078f2a0fdaf675802,preload,,,,,0,,,,,,
37,610bd70078f2a0fdaf675802,preload,,,,,0,,,,,,
38,5eb544fbef7dae3ce4d05d89,preload,,,,,0,,,,,,
39,5eb544fbef7dae3ce4d05d89,preload,,,,,0,,,,,,
40,605d880baff3193baf90c875,instructions,10131.0,,,,7,,,,,,
41,5eb544fbef7dae3ce4d05d89,fullscreen,,,,,1,,,,,,
42,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,deviant,8,8.0,,,,,
43,5e847ca988ac1c018e653765,preload,,,,,0,,,,,,
44,5e847ca988ac1c018e653765,preload,,,,,0,,,,,,
45,60f2893b3b82491a793d2085,preload,,,,,0,,,,,,
46,60f2893b3b82491a793d2085,preload,,,,,0,,,,,,
47,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,deviant,9,8.0,,,,,
48,614bb4f23c6700d9c9675b7f,preload,,,,,0,,,,,,
49,614bb4f23c6700d9c9675b7f,preload,,,,,0,,,,,,
50,5e847ca988ac1c018e653765,fullscreen,,,,,1,,,,,,
51,60f2893b3b82491a793d2085,fullscreen,,,,,1,,,,,,
