Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
652df7c4f5631ee1f2281eba,613d2a7208f243bb8693418e,APPROVED,2023-10-17T02:56:04.240000Z,2023-10-17T03:00:40.942000Z,2023-10-17T03:00:41.527000Z,2023-10-17T03:00:41.445959Z,277.0,CCO8OLX8,226,34,Male,Other,Mexico,Mexico,Mexico,Spanish,No,Full-Time
652df7ce512eac04aefdeb83,63f148d5e42992d5bd3a2d61,APPROVED,2023-10-17T02:56:14.528000Z,2023-10-17T03:02:00.907000Z,2023-10-17T03:02:01.515000Z,2023-10-17T03:02:01.443282Z,347.0,CCO8OLX8,36,26,Male,Asian,India,United Kingdom,India,English,No,Part-Time
652df7de44d400e09d804767,607760884d66833ee83aa987,APPROVED,2023-10-17T02:56:30.912000Z,2023-10-17T03:05:21.186000Z,2023-10-17T03:05:21.794000Z,2023-10-17T03:05:21.736265Z,531.0,CCO8OLX8,107,32,Male,White,Slovakia,Hungary,Hungary,Hungarian,No,Due to start a new job within the next month
652df7e4e9b98dec717c25f8,651829bea42b62b2aef0d41c,APPROVED,2023-10-17T02:56:40.884000Z,2023-10-17T03:02:13.079000Z,2023-10-17T03:02:13.685000Z,2023-10-17T03:02:13.622553Z,333.0,CCO8OLX8,13,22,Male,White,Canada,Canada,Canada,English,No,Other
652df7eb4fe78a4e13c63d24,64eebd7fddf76c686ac9e56d,APPROVED,2023-10-17T02:57:04.218000Z,2023-10-17T03:01:24.048000Z,2023-10-17T03:01:24.627000Z,2023-10-17T03:01:24.521565Z,260.0,CCO8OLX8,14,21,Male,Other,Chile,Chile,Chile,Spanish,Yes,Other
652df81171e2c9767bcfad9f,614cd51715e662889e0211a0,APPROVED,2023-10-17T02:57:21.593000Z,2023-10-17T03:07:44.717000Z,2023-10-17T03:07:45.283000Z,2023-10-17T03:07:45.221747Z,624.0,CCO8OLX8,96,22,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
652df8243c7af9c94b06e5a2,60a53519043904037bac8c91,APPROVED,2023-10-17T02:57:49.686000Z,2023-10-17T03:09:25.086000Z,2023-10-17T03:09:25.639000Z,2023-10-17T03:09:25.576604Z,696.0,CCO8OLX8,166,50,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,DATA_EXPIRED,DATA_EXPIRED
652df826988381bd90608d9b,614e7ae8bd304fe78b7529be,APPROVED,2023-10-17T02:57:42.341000Z,2023-10-17T03:14:32.377000Z,2023-10-17T03:14:33.040000Z,2023-10-17T03:14:32.980088Z,1011.0,CCO8OLX8,99,23,Female,White,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
652df82b3c7af9c94b06e5a6,60e0fc6ba2a0b43c2e64fefb,APPROVED,2023-10-17T02:58:04.107000Z,2023-10-17T03:16:05.382000Z,2023-10-17T03:16:05.861000Z,2023-10-17T03:16:05.798795Z,1082.0,CCO8OLX8,167,30,Female,Black,South Africa,South Africa,South Africa,Other,No,DATA_EXPIRED
652df8301e72078f760ebc54,61483c4b10ea5d16c71d6b9e,APPROVED,2023-10-17T02:57:56.400000Z,2023-10-17T03:04:47.989000Z,2023-10-17T03:04:48.535000Z,2023-10-17T03:04:48.473020Z,412.0,CCO8OLX8,27,23,Male,White,Chile,Chile,Chile,Spanish,No,Full-Time
652df83a4c09de45631eaedb,60e4a5d4b0e40567e60146e4,APPROVED,2023-10-17T02:58:34.792000Z,2023-10-17T03:05:45.576000Z,2023-10-17T03:05:46.074000Z,2023-10-17T03:05:46.013885Z,431.0,CCO8OLX8,292,31,Male,Other,Mexico,Mexico,Mexico,English,Yes,Full-Time
652df851d86e80d24cba28bf,5c935050c719fc00147defbc,APPROVED,2023-10-17T02:58:39.708000Z,2023-10-17T03:05:24.705000Z,2023-10-17T03:05:25.248000Z,2023-10-17T03:05:25.166449Z,405.0,CCO8OLX8,175,36,Male,White,United States,Japan,United States,English,DATA_EXPIRED,DATA_EXPIRED
652df852e757a356441e6ba6,5f27f9f7119cde0008a93be7,APPROVED,2023-10-17T02:58:36.670000Z,2023-10-17T03:09:30.237000Z,2023-10-17T03:09:30.799000Z,2023-10-17T03:09:30.714337Z,654.0,CCO8OLX8,376,30,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
652df857a720424a4ccac043,6106be7d513dcab805d524b8,APPROVED,2023-10-17T02:58:31.839000Z,2023-10-17T03:07:03.547000Z,2023-10-17T03:07:04.177000Z,2023-10-17T03:07:04.116458Z,512.0,CCO8OLX8,30,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
652df859d2953cf4ca4ab350,61563a4b0def9000ccc976ec,APPROVED,2023-10-17T02:58:33.703000Z,2023-10-17T03:00:43.107000Z,2023-10-17T15:20:28.499000Z,2023-10-17T03:00:43.602675Z,130.0,NOCODE,345,29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
652df85b05b4f7045106e85b,6010571dc1152033ac3bc4ca,APPROVED,2023-10-17T02:58:53.493000Z,2023-10-17T03:33:12.026000Z,2023-10-17T03:33:12.579000Z,2023-10-17T03:33:12.512531Z,2059.0,CCO8OLX8,854,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
652df870b420e85b8103d28b,5db5fa693d2b8e01654d351c,APPROVED,2023-10-17T02:58:56.902000Z,2023-10-17T03:03:38.158000Z,2023-10-17T03:03:38.733000Z,2023-10-17T03:03:38.672734Z,282.0,CCO8OLX8,1046,24,Male,Mixed,Canada,Canada,Canada,English,Yes,Other
652df871695c824cd43b9923,651033d039c135459ac83d8f,APPROVED,2023-10-17T02:58:57.519000Z,2023-10-17T03:04:59.185000Z,2023-10-17T03:05:03.857000Z,2023-10-17T03:05:00.693125Z,362.0,CCO8OLX8,8,35,Female,Other,Chile,Chile,Chile,Spanish,No,Unemployed (and job seeking)
