prolific_id,rt,block_type,fam_trial,background,deviant
5b63eed95256470001bd3d8c,1844,deviant,3,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_right_2.gif
5b63eed95256470001bd3d8c,1070,all_background,9,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif
5b63eed95256470001bd3d8c,662,all_background,3,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_right_1.gif
5f0f29ae1eb21008501e6e2e,6560,all_background,3,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_right_2.gif
5b63eed95256470001bd3d8c,2064,deviant,9,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_left_1.gif
5b63eed95256470001bd3d8c,940,all_background,1,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_left_1.gif
5b63eed95256470001bd3d8c,944,deviant,1,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_right_1.gif
5f0f29ae1eb21008501e6e2e,10906,all_background,9,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif
60190c01c8f8bb0009098cda,232,all_background,1,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_right_2.gif
616695954abbd951dd25d153,1653,all_background,9,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif
60190c01c8f8bb0009098cda,7663,deviant,1,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_left_2.gif
616695954abbd951dd25d153,1515,all_background,1,media/animal_stim/whitened/002_right_2.gif,media/animal_stim/whitened/002_left_1.gif
616695954abbd951dd25d153,4368,deviant,1,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_right_2.gif
60190c01c8f8bb0009098cda,1806,all_background,3,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_left_1.gif
616695954abbd951dd25d153,1229,all_background,3,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_left_2.gif
5f0f29ae1eb21008501e6e2e,3990,all_background,1,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif
60190c01c8f8bb0009098cda,1958,all_background,9,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_left_2.gif
616695954abbd951dd25d153,3329,deviant,9,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif
616695954abbd951dd25d153,3221,deviant,3,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_right_1.gif
60e87324309700b7d549d491,5885,deviant,3,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif
60e87324309700b7d549d491,1999,deviant,1,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif
5b3913051d4b6800016935dc,879,deviant,1,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif
60e87324309700b7d549d491,1310,all_background,3,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_right_2.gif
5b3913051d4b6800016935dc,1634,all_background,3,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif
60e1bcd9feb687c32a8d3346,6503,deviant,1,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_left_2.gif
5b3913051d4b6800016935dc,931,all_background,1,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_right_1.gif
6512036d9b192b4d68403c39,33,all_background,3,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_left_2.gif
60e1bcd9feb687c32a8d3346,3874,deviant,3,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_right_2.gif
60e87324309700b7d549d491,4484,all_background,9,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_left_2.gif
6512036d9b192b4d68403c39,4830,deviant,1,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_left_1.gif
5f452661c5a1b50a817ab094,1561,all_background,9,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_right_1.gif
60e87324309700b7d549d491,2074,all_background,1,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_left_1.gif
5b3913051d4b6800016935dc,1296,deviant,9,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_left_1.gif
6512036d9b192b4d68403c39,219,deviant,3,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_right_2.gif
6512036d9b192b4d68403c39,718,all_background,1,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_right_1.gif
5b3913051d4b6800016935dc,5529,deviant,3,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif
60e87324309700b7d549d491,3035,deviant,9,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif
5f452661c5a1b50a817ab094,2651,deviant,9,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif
6084499487b6d10d2aabda10,1854,all_background,1,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_right_2.gif
6013d0e6bc81f72d3fe0f173,7128,all_background,1,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_left_1.gif
5f452661c5a1b50a817ab094,6288,deviant,3,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_left_2.gif
6512036d9b192b4d68403c39,366,all_background,9,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_left_1.gif
5ec6d06c67b0da0fb6f85e83,6819,deviant,1,media/animal_stim/whitened/002_right_2.gif,media/animal_stim/whitened/002_right_1.gif
6013d0e6bc81f72d3fe0f173,7826,deviant,1,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_left_2.gif
5acb2cb55cd1050001626ff6,906,all_background,3,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_left_2.gif
5b3913051d4b6800016935dc,830,all_background,9,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_right_2.gif
5fc57392a614900c2bf80b5a,6115,deviant,9,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_left_2.gif
5f7f5e8b8a10ca0f5fffd9f9,7889,deviant,3,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_left_1.gif
5e8f740429529124dfc3e7a5,5990,all_background,3,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_left_1.gif
5da3620eb16b4d0013af4c7f,4287,all_background,1,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_right_1.gif
60d01f5f9dc279ad4e3b1e38,4120,all_background,1,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_right_2.gif
5f73427f244c770277ba2a5d,723,all_background,3,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif
5f452661c5a1b50a817ab094,955,all_background,3,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_left_2.gif
5f2df57e756b8414ea47017f,1876,all_background,3,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif
60e1bcd9feb687c32a8d3346,637,all_background,9,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_right_2.gif
5e8f740429529124dfc3e7a5,2431,all_background,1,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_left_2.gif
6084499487b6d10d2aabda10,1224,all_background,9,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_right_2.gif
6100b7d1d121da73b60c7b6e,4953,deviant,9,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_right_2.gif
60d01f5f9dc279ad4e3b1e38,2133,deviant,1,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif
5f452661c5a1b50a817ab094,4408,deviant,1,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif
5f7f5e8b8a10ca0f5fffd9f9,5386,all_background,1,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif
60e1bcd9feb687c32a8d3346,788,all_background,1,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_left_2.gif
60bfd7f41bbb4ec7b94d0414,3368,all_background,9,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_right_1.gif
5f73427f244c770277ba2a5d,1263,all_background,1,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif
5f2df57e756b8414ea47017f,3652,all_background,1,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_left_1.gif
5da3620eb16b4d0013af4c7f,6252,deviant,3,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_left_2.gif
6000e629a8f991222be27b07,3721,all_background,1,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_right_1.gif
6512036d9b192b4d68403c39,699,deviant,9,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif
5fc57392a614900c2bf80b5a,6986,deviant,3,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif
6100b7d1d121da73b60c7b6e,3574,all_background,1,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_right_1.gif
650902e959501e5c4c7f7f8d,7446,deviant,9,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif
5ec6d06c67b0da0fb6f85e83,1038,deviant,9,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif
5f1669cf3136a01c1bdac33a,6579,deviant,3,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif
6084499487b6d10d2aabda10,1699,all_background,3,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif
614a65127dcd9777f0707cf4,10123,all_background,1,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_right_2.gif
60801c084f4234dd058263c6,1611,deviant,1,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_left_2.gif
602bbb43cfca8a33d87378c7,5342,all_background,1,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_right_2.gif
5f452661c5a1b50a817ab094,945,all_background,1,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_left_2.gif
5ee8b6dbac5fa1054ebd60a7,3558,all_background,9,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif
5acb2cb55cd1050001626ff6,298,all_background,9,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_left_2.gif
6013d0e6bc81f72d3fe0f173,5799,all_background,9,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_right_1.gif
60e1bcd9feb687c32a8d3346,588,all_background,3,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_left_2.gif
5ed2994518f6bd211a146df2,5379,deviant,3,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif
610392e34a7b8ed05fe9ba56,10267,all_background,9,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_left_2.gif
