prolific_id,rt,block_type,fam_trial,background,deviant,block_id
605d880baff3193baf90c875,956,deviant,8,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,1
605d880baff3193baf90c875,735,all_background,8,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,2
60f2893b3b82491a793d2085,2684,deviant,0,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_left_2.gif,1
651659b4017f7a6da9b60ded,4582,deviant,0,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif,1
605d880baff3193baf90c875,816,all_background,4,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_left_2.gif,3
605d880baff3193baf90c875,1078,deviant,0,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif,4
60476ecfdd72a724ee081741,6273,deviant,4,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,1
60f2893b3b82491a793d2085,1606,deviant,8,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,2
651659b4017f7a6da9b60ded,9499,deviant,4,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,2
605d880baff3193baf90c875,1491,deviant,4,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif,5
5eb544fbef7dae3ce4d05d89,6473,deviant,8,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif,1
605d880baff3193baf90c875,765,all_background,0,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_left_1.gif,6
5c431f3db00b3300018f3ce5,2274,all_background,0,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_left_2.gif,1
613aa9ee188e0f9351987678,7503,deviant,4,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_left_1.gif,1
60c1889edf71db16c09529fc,3361,deviant,8,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif,1
651659b4017f7a6da9b60ded,8953,all_background,0,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_left_2.gif,3
61491ef3328d677fb0a59699,1969,all_background,4,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_left_1.gif,1
5e847ca988ac1c018e653765,3530,deviant,4,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_right_1.gif,1
5c431f3db00b3300018f3ce5,2011,deviant,0,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_right_1.gif,2
5d6d82acab68f90001f53194,12282,all_background,0,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif,1
60476ecfdd72a724ee081741,1984,all_background,8,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_right_2.gif,2
645518d454a9276752174fd6,885,all_background,0,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_right_1.gif,1
60c1889edf71db16c09529fc,4919,all_background,0,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_left_1.gif,2
