"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","condition_num","block_number","block_type","stimulus_displayed","position_displayed"
"true","fullscreen","0","1665","0.0-0.0","SS1619978421239","","","","","","","","","","","","","",""
"","survey-text","1","4891","0.0-1.0","SS1619978421239","3224.2549999937182","{""Age"":""272"",""Gender"":""F""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","12531","0.0-2.0","SS1619978421239","7638.4649999963585","","stimuli/audio/music_intro.wav","40","","","","","","","","","",""
"","html-keyboard-response","3","16805","0.0-3.0","SS1619978421239","4272.515000004205","","<p><img src=stimuli/intro/intro2.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","4","134433","0.0-4.0","SS1619978421239","117626.60499999765","","<p><img src=stimuli/intro/intro3.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","5","258230","0.0-5.0","SS1619978421239","123795.53000000305","","<p><img src=stimuli/intro/intro4.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","6","274404","0.0-6.0","SS1619978421239","16173.364999995101","","<p><img src=stimuli/intro/intro5.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","7","279399","0.0-7.0","SS1619978421239","4993.875000000116","","<p><img src=stimuli/intro/intro6.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","8","279917","0.0-8.0","SS1619978421239","517.4800000095274","","<p><img src=stimuli/intro/intro7.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","9","280281","0.0-9.0","SS1619978421239","363.36499999742955","","<p><img src=stimuli/intro/intro8.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","10","280795","0.0-10.0","SS1619978421239","513.055000003078","","<p><img src=stimuli/intro/intro9.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","instructions","11","334087","0.0-11.0","SS1619978421239","53290.500000002794","","","","[{""page_index"":0,""viewing_time"":53290.1300000085}]","","","","","","","","",""
"","video-keyboard-response","12","338733","0.0-12.0","SS1619978421239","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","13","340721","0.0-13.0-0.0","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","14","346725","0.0-13.0-1.0","SS1619978421239","null","","","null","","trial","","1000","1000","1","0","Dev","stimuli/images/spore_stims/simple_12_A.gif","right"
"","html-keyboard-response","15","348653","0.0-13.0-0.1","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","16","354658","0.0-13.0-1.1","SS1619978421239","null","","","null","","trial","","1000","1000","1","0","Dev","stimuli/images/spore_stims/simple_12_A.gif","right"
"","html-keyboard-response","17","356629","0.0-13.0-0.2","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","18","362634","0.0-13.0-1.2","SS1619978421239","null","","","null","","trial","","1000","1000","1","0","Dev","stimuli/images/spore_stims/simple_12_A.gif","right"
"","html-keyboard-response","19","364640","0.0-13.0-0.3","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","20","370643","0.0-13.0-1.3","SS1619978421239","null","","","null","","trial","","1000","1000","1","0","Dev","stimuli/images/spore_stims/simple_12_A.gif","right"
