"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","subject_num","block_number","block_type","stimulus_displayed","fam_duration","response","question_order"
"true","fullscreen","0","30692","0.0-0.0","SS1631028080905","","","","","","","","","","","","","","","",""
"","survey-text","1","40740","0.0-1.0","SS1631028080905","10045.199999988079","{""Age"":""231"",""Gender"":""M"",""Session"":""2""}","","","","","","","","","","","","","",""
"","audio-keyboard-response","2","65309","0.0-2.0","SS1631028080905","24568.700000047684","","stimuli/audio/music_intro.wav","40","","","","","","","","","","","",""
"","html-keyboard-response","3","70283","0.0-3.0","SS1631028080905","4972.5","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","html-keyboard-response","4","91185","0.0-4.0","SS1631028080905","20902","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","html-keyboard-response","5","107338","0.0-5.0","SS1631028080905","16152.800000011921","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","html-keyboard-response","6","109319","0.0-6.0","SS1631028080905","1981.0999999642372","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","html-keyboard-response","7","116766","0.0-7.0","SS1631028080905","7445.5","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","html-keyboard-response","8","117102","0.0-8.0","SS1631028080905","335.19999998807907","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","html-keyboard-response","9","129929","0.0-9.0","SS1631028080905","12826.800000011921","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","instructions","10","152521","0.0-10.0","SS1631028080905","22592.19999998808","","","","[{""page_index"":0,""viewing_time"":22591.799999952316}]","","","","","","","","","","",""
"","video-keyboard-response","11","157230","0.0-11.0","SS1631028080905","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","","","",""
"","html-keyboard-response","12","157737","0.0-12.0-0.0","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","13","163745","0.0-12.0-1.0","SS1631028080905","null","","","null","","trial","","1000","1000","2","0","Std","stimuli/images/spore_stims/complex_09_A.gif","5","",""
"","html-keyboard-response","14","164962","0.0-12.0-0.1","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","15","170965","0.0-12.0-1.1","SS1631028080905","null","","","null","","trial","","1000","1000","2","0","Std","stimuli/images/spore_stims/complex_09_A.gif","5","",""
"","html-keyboard-response","16","171632","0.0-12.0-0.2","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","17","177637","0.0-12.0-1.2","SS1631028080905","null","","","null","","trial","","1000","1000","2","0","Std","stimuli/images/spore_stims/complex_09_A.gif","5","",""
"","html-keyboard-response","18","179860","0.0-12.0-0.3","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","19","185866","0.0-12.0-1.3","SS1631028080905","null","","","null","","trial","","1000","1000","2","0","Std","stimuli/images/spore_stims/complex_09_A.gif","5","",""
"","html-keyboard-response","20","186517","0.0-12.0-0.4","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","21","192523","0.0-12.0-1.4","SS1631028080905","null","","","null","","trial","","1000","1000","2","0","Std","stimuli/images/spore_stims/complex_09_A.gif","5","",""
"","html-keyboard-response","22","193079","0.0-12.0-0.5","SS1631028080905","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","23","203296","0.0-12.0-1.5","SS1631028080905","44553.19999998808","","","40","","trial","","1000","45553.19999998808","2","0","Std","stimuli/images/spore_stims/complex_09_A.gif","5","",""
"","html-keyboard-response","24","208178","0.0-13.0","SS1631028080905","4881.5","","<p><img src=""stimuli/images/attngetter_blank.png"" width =""1200"" height = ""918"" ></p>","40","","between_block","","","","","","","","","",""
"","video-keyboard-response","25","212787","0.0-14.0","SS1631028080905","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","","","",""
"","html-keyboard-response","26","214745","0.0-15.0-0.0","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","27","220749","0.0-15.0-1.0","SS1631028080905","null","","","null","","trial","","1000","1000","2","1","Dev","stimuli/images/spore_stims/complex_12_A.gif","5","",""
"","html-keyboard-response","28","222832","0.0-15.0-0.1","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","29","228835","0.0-15.0-1.1","SS1631028080905","null","","","null","","trial","","1000","1000","2","1","Dev","stimuli/images/spore_stims/complex_12_A.gif","5","",""
"","html-keyboard-response","30","230582","0.0-15.0-0.2","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","31","236591","0.0-15.0-1.2","SS1631028080905","null","","","null","","trial","","1000","1000","2","1","Dev","stimuli/images/spore_stims/complex_12_A.gif","5","",""
"","html-keyboard-response","32","238116","0.0-15.0-0.3","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","33","244123","0.0-15.0-1.3","SS1631028080905","null","","","null","","trial","","1000","1000","2","1","Dev","stimuli/images/spore_stims/complex_12_A.gif","5","",""
"","html-keyboard-response","34","245831","0.0-15.0-0.4","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","35","251840","0.0-15.0-1.4","SS1631028080905","null","","","null","","trial","","1000","1000","2","1","Dev","stimuli/images/spore_stims/complex_12_A.gif","5","",""
"","html-keyboard-response","36","252481","0.0-15.0-0.5","SS1631028080905","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","37","263211","0.0-15.0-1.5","SS1631028080905","47463.80000001192","","","40","","trial","","1000","48463.80000001192","2","1","Dev","stimuli/images/spore_stims/complex_11_A.gif","5","",""
"","html-keyboard-response","38","266429","0.0-16.0","SS1631028080905","3216.699999988079","","<p><img src=""stimuli/images/attngetter_blank.png"" width =""1200"" height = ""918"" ></p>","40","","between_block","","","","","","","","","",""
"","video-keyboard-response","39","271077","0.0-17.0","SS1631028080905","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","","","",""
"","html-keyboard-response","40","272424","0.0-18.0-0.0","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","41","278429","0.0-18.0-1.0","SS1631028080905","null","","","null","","trial","","1000","1000","2","2","Dev","stimuli/images/spore_stims/complex_07_A.gif","3","",""
"","html-keyboard-response","42","280863","0.0-18.0-0.1","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","43","286869","0.0-18.0-1.1","SS1631028080905","null","","","null","","trial","","1000","1000","2","2","Dev","stimuli/images/spore_stims/complex_07_A.gif","3","",""
"","html-keyboard-response","44","288853","0.0-18.0-0.2","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","45","294859","0.0-18.0-1.2","SS1631028080905","null","","","null","","trial","","1000","1000","2","2","Dev","stimuli/images/spore_stims/complex_07_A.gif","3","",""
"","html-keyboard-response","46","295814","0.0-18.0-0.3","SS1631028080905","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","47","302710","0.0-18.0-1.3","SS1631028080905","29280.80000001192","","","40","","trial","","1000","30280.80000001192","2","2","Dev","stimuli/images/spore_stims/complex_08_A.gif","3","",""
