success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,responses,stimulus,key_press,view_history,stimulus_type,trial_stimulus,minimum_viewing_duration,trial_looking_time,subject_num,block_number,block_type,stimulus_displayed,fam_duration,response,question_order
TRUE,fullscreen,0,2427,0.0-0.0,SS1632322975783,,,,,,,,,,,,,,,,
,survey-text,1,8957,0.0-1.0,SS1632322975783,6523,"{""Age"":""303"",""Gender"":""M"",""Session"":""1""}",,,,,,,,,,,,,,
,audio-keyboard-response,2,19624,0.0-2.0,SS1632322975783,10663.099999964200,,stimuli/audio/music_intro.wav,32,,,,,,,,,,,,
,html-keyboard-response,3,30961,0.0-3.0,SS1632322975783,11335.100000023800,,<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>,32,,,,,,,,,,,,
,html-keyboard-response,4,81295,0.0-4.0,SS1632322975783,50334.90000003580,,<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>,32,,,,,,,,,,,,
,html-keyboard-response,5,103001,0.0-5.0,SS1632322975783,21705.80000001190,,<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>,32,,,,,,,,,,,,
,html-keyboard-response,6,115318,0.0-6.0,SS1632322975783,12316.300000011900,,<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>,32,,,,,,,,,,,,
,html-keyboard-response,7,134251,0.0-7.0,SS1632322975783,18931,,<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>,32,,,,,,,,,,,,
,html-keyboard-response,8,135932,0.0-8.0,SS1632322975783,1680.699999988080,,<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>,32,,,,,,,,,,,,
,html-keyboard-response,9,140373,0.0-9.0,SS1632322975783,4440.300000011920,,<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>,32,,,,,,,,,,,,
,instructions,10,221257,0.0-10.0,SS1632322975783,80885.19999998810,,,,"[{""page_index"":0,""viewing_time"":80884.69999998808}]",,,,,,,,,,,
,video-keyboard-response,11,225972,0.0-11.0,SS1632322975783,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,,,
,html-keyboard-response,12,227093,0.0-12.0-0.0,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,13,233106,0.0-12.0-1.0,SS1632322975783,null,,,null,,trial,,1000,1000,27,0,Dev,stimuli/images/spore_stims/complex_01_A.gif,5,,
,html-keyboard-response,14,235352,0.0-12.0-0.1,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,15,241359,0.0-12.0-1.1,SS1632322975783,null,,,null,,trial,,1000,1000,27,0,Dev,stimuli/images/spore_stims/complex_01_A.gif,5,,
,html-keyboard-response,16,242052,0.0-12.0-0.2,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,17,248063,0.0-12.0-1.2,SS1632322975783,null,,,null,,trial,,1000,1000,27,0,Dev,stimuli/images/spore_stims/complex_01_A.gif,5,,
,html-keyboard-response,18,248608,0.0-12.0-0.3,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,19,254617,0.0-12.0-1.3,SS1632322975783,null,,,null,,trial,,1000,1000,27,0,Dev,stimuli/images/spore_stims/complex_01_A.gif,5,,
,html-keyboard-response,20,255765,0.0-12.0-0.4,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,21,261771,0.0-12.0-1.4,SS1632322975783,null,,,null,,trial,,1000,1000,27,0,Dev,stimuli/images/spore_stims/complex_01_A.gif,5,,
,html-keyboard-response,22,262788,0.0-12.0-0.5,SS1632322975783,null,,"<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,23,330384,0.0-12.0-1.5,SS1632322975783,102284.69999998800,,,32,,trial,,1000,103284.69999998800,27,0,Dev,stimuli/images/spore_stims/complex_02_A.gif,5,,
,html-keyboard-response,24,331761,0.0-13.0,SS1632322975783,1375.5,,"<p><img src=""stimuli/images/attngetter_blank.png"" width =""1200"" height = ""918"" ></p>",32,,between_block,,,,,,,,,,
,video-keyboard-response,25,336433,0.0-14.0,SS1632322975783,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,,,
,html-keyboard-response,26,338546,0.0-15.0-0.0,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,27,344557,0.0-15.0-1.0,SS1632322975783,null,,,null,,trial,,1000,1000,27,1,Std,stimuli/images/spore_stims/complex_05_A.gif,7,,
,html-keyboard-response,28,345301,0.0-15.0-0.1,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,29,351312,0.0-15.0-1.1,SS1632322975783,null,,,null,,trial,,1000,1000,27,1,Std,stimuli/images/spore_stims/complex_05_A.gif,7,,
,html-keyboard-response,30,352185,0.0-15.0-0.2,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,31,358194,0.0-15.0-1.2,SS1632322975783,null,,,null,,trial,,1000,1000,27,1,Std,stimuli/images/spore_stims/complex_05_A.gif,7,,
,html-keyboard-response,32,359953,0.0-15.0-0.3,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,33,365960,0.0-15.0-1.3,SS1632322975783,null,,,null,,trial,,1000,1000,27,1,Std,stimuli/images/spore_stims/complex_05_A.gif,7,,
,html-keyboard-response,34,367685,0.0-15.0-0.4,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,35,373698,0.0-15.0-1.4,SS1632322975783,null,,,null,,trial,,1000,1000,27,1,Std,stimuli/images/spore_stims/complex_05_A.gif,7,,
,html-keyboard-response,36,375015,0.0-15.0-0.5,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,37,381028,0.0-15.0-1.5,SS1632322975783,null,,,null,,trial,,1000,1000,27,1,Std,stimuli/images/spore_stims/complex_05_A.gif,7,,
,html-keyboard-response,38,383277,0.0-15.0-0.6,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,39,389287,0.0-15.0-1.6,SS1632322975783,null,,,null,,trial,,1000,1000,27,1,Std,stimuli/images/spore_stims/complex_05_A.gif,7,,
,html-keyboard-response,40,390217,0.0-15.0-0.7,SS1632322975783,null,,"<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,41,452628,0.0-15.0-1.7,SS1632322975783,113072.60000002400,,,32,,trial,,1000,114072.60000002400,27,1,Std,stimuli/images/spore_stims/complex_05_A.gif,7,,
,html-keyboard-response,45,461720,0.0-19.0,SS1632322975783,2295.300000011920,,"<p><img src=""stimuli/images/attngetter_blank.png"" width =""1200"" height = ""918"" ></p>",37,,between_block,,,,,,,,,,
,video-keyboard-response,46,466383,0.0-20.0,SS1632322975783,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,,,
,html-keyboard-response,47,467927,0.0-21.0-0.0,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,48,473938,0.0-21.0-1.0,SS1632322975783,null,,,null,,trial,,1000,1000,27,3,Dev,stimuli/images/spore_stims/complex_07_A.gif,7,,
,html-keyboard-response,49,474626,0.0-21.0-0.1,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,50,480632,0.0-21.0-1.1,SS1632322975783,null,,,null,,trial,,1000,1000,27,3,Dev,stimuli/images/spore_stims/complex_07_A.gif,7,,
,html-keyboard-response,51,482664,0.0-21.0-0.2,SS1632322975783,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
