"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","condition_num","block_number","block_type","stimulus_displayed","position_displayed"
"true","fullscreen","0","2194","0.0-0.0","SS1619186552889","","","","","","","","","","","","","",""
"","survey-text","1","8830","0.0-1.0","SS1619186552889","6633.655000012368","{""Age"":""296"",""Gender"":""F""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","21691","0.0-2.0","SS1619186552889","12859.82000012882","","stimuli/audio/music_intro.wav","40","","","","","","","","","",""
"","html-keyboard-response","3","22677","0.0-3.0","SS1619186552889","985.1150000467896","","<p><img src=stimuli/intro/intro2.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","4","139787","0.0-4.0","SS1619186552889","117110.59499997646","","<p><img src=stimuli/intro/intro3.jpeg width ='900' height = '500'></p>","48","","","","","","","","","",""
"","html-keyboard-response","5","163095","0.0-5.0","SS1619186552889","23307.279999833554","","<p><img src=stimuli/intro/intro4.jpeg width ='900' height = '500'></p>","39","","","","","","","","","",""
"","html-keyboard-response","6","182444","0.0-6.0","SS1619186552889","19349.029999924824","","<p><img src=stimuli/intro/intro5.jpeg width ='900' height = '500'></p>","39","","","","","","","","","",""
"","html-keyboard-response","7","191403","0.0-7.0","SS1619186552889","8957.365000154823","","<p><img src=stimuli/intro/intro6.jpeg width ='900' height = '500'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","213809","0.0-8.0","SS1619186552889","22405.969999963418","","<p><img src=stimuli/intro/intro7.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","9","253251","0.0-9.0","SS1619186552889","39442.09999986924","","<p><img src=stimuli/intro/intro8.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","10","254397","0.0-10.0","SS1619186552889","1145.0249999761581","","<p><img src=stimuli/intro/intro9.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","instructions","11","350776","0.0-11.0","SS1619186552889","96379.26500011235","","","","[{""page_index"":0,""viewing_time"":96379.03499999084}]","","","","","","","","",""
"","video-keyboard-response","12","355472","0.0-12.0","SS1619186552889","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","13","357874","0.0-13.0-0.0","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","14","363876","0.0-13.0-1.0","SS1619186552889","null","","","null","","trial","","1000","1000","5","0","Dev","stimuli/images/spore_stims/simple_10_A.gif","left"
"","html-keyboard-response","15","364482","0.0-13.0-0.1","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","16","370486","0.0-13.0-1.1","SS1619186552889","null","","","null","","trial","","1000","1000","5","0","Dev","stimuli/images/spore_stims/simple_10_A.gif","left"
"","html-keyboard-response","17","371912","0.0-13.0-0.2","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","18","377918","0.0-13.0-1.2","SS1619186552889","null","","","null","","trial","","1000","1000","5","0","Dev","stimuli/images/spore_stims/simple_10_A.gif","left"
"","html-keyboard-response","19","378833","0.0-13.0-0.3","SS1619186552889","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","20","397111","0.0-13.0-1.3","SS1619186552889","38235.41500000283","","","40","","trial","","1000","39235.41500000283","5","0","Dev","stimuli/images/spore_stims/simple_09_A.gif","right"
"","html-keyboard-response","21","397652","0.0-14.0","SS1619186552889","539.9250001646578","","<p><img src=""stimuli/images/attngetter_blank.png"" width =""640"" height = ""490"" ></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","22","402329","0.0-15.0","SS1619186552889","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","23","403310","0.0-16.0-0.0","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","24","409317","0.0-16.0-1.0","SS1619186552889","null","","","null","","trial","","1000","1000","5","1","Std","stimuli/images/spore_stims/simple_02_A.gif","left"
"","html-keyboard-response","25","410540","0.0-16.0-0.1","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
