"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","condition_num","block_number","block_type","fam_duration","stimulus_displayed","response","question_order"
"true","fullscreen","0","2720","0.0-0.0","SS1670366122871","","","","","","","","","","","","","",""
"","survey-text","1","5957","0.0-1.0","SS1670366122871","3218.699999988079","{""Age"":""279"",""Gender"":""M""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","6308","0.0-2.0","SS1670366122871","349.9000000357628","","stimuli/audio/music_intro.wav","13","","","","","","","","","",""
"","html-keyboard-response","3","12785","0.0-3.0","SS1670366122871","6477.100000023842","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","4","88161","0.0-4.0","SS1670366122871","75374.80000001192","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","122351","0.0-5.0","SS1670366122871","34189.19999998808","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","6","132345","0.0-6.0","SS1670366122871","9993.200000047684","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","7","147290","0.0-7.0","SS1670366122871","14944.899999976158","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","171235","0.0-8.0","SS1670366122871","23944.69999998808","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","241706","0.0-9.0","SS1670366122871","70470.10000002384","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","242699","0.0-10.0","SS1670366122871","992.5","","","","[{""page_index"":0,""viewing_time"":992.1999999880791}]","","","","","","","","",""
"","video-keyboard-response","11","260934","0.0-11.0","SS1670366122871","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","265618","0.0-12.0","SS1670366122871","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","282611","0.0-13.0","SS1670366122871","16991.19999998808","","[""stimuli/images/unity_stims/unitystims_006_Right_1fam_background_2_new.mp4""]","40","","trial","14","1","1","background","1","stimuli/images/unity_stims/unitystims_006_Right_1fam_background_2_new.mp4","",""
"","html-keyboard-response","14","283008","0.0-14.0","SS1670366122871","396.30000001192093","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","15","287650","0.0-15.0","SS1670366122871","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","300147","0.0-16.0","SS1670366122871","12494","","[""stimuli/images/unity_stims/unitystims_002_Right_1fam_deviant_2_new.mp4""]","40","","trial","14","1","2","deviant","1","stimuli/images/unity_stims/unitystims_002_Right_1fam_deviant_2_new.mp4","",""
"","html-keyboard-response","17","303371","0.0-17.0","SS1670366122871","3223.699999988079","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","18","308050","0.0-18.0","SS1670366122871","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","321713","0.0-19.0","SS1670366122871","13660.199999988079","","[""stimuli/images/unity_stims/unitystims_004_Left_9fam_deviant_1_new.mp4""]","40","","trial","14","1","3","deviant","9","stimuli/images/unity_stims/unitystims_004_Left_9fam_deviant_1_new.mp4","",""
"","html-keyboard-response","20","358602","0.0-20.0","SS1670366122871","36888.90000003576","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","21","363299","0.0-21.0","SS1670366122871","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","22","390318","0.0-22.0","SS1670366122871","27017.80000001192","","[""stimuli/images/unity_stims/unitystims_005_Left_3fam_background_2_new.mp4""]","40","","trial","14","1","4","background","3","stimuli/images/unity_stims/unitystims_005_Left_3fam_background_2_new.mp4","",""
"","html-keyboard-response","23","396807","0.0-23.0","SS1670366122871","6488.199999988079","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
