success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,responses,stimulus,key_press,view_history,stimulus_type,subject_num,condition_num,block_number,stimulus_displayed,response,question_order
TRUE,fullscreen,0,1756,0.0-0.0,SS1688743048533,,,,,,,,,,,,
,survey-text,1,8643,0.0-1.0,SS1688743048533,6880.600000023840,"{""Age"":""306"",""Gender"":""F""}",,,,,,,,,,
,audio-keyboard-response,2,13928,0.0-2.0,SS1688743048533,5282.5,,stimuli/audio/music_intro.wav,39,,,,,,,,
,html-keyboard-response,3,17581,0.0-3.0,SS1688743048533,3651.6999999284700,,<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>,39,,,,,,,,
,html-keyboard-response,4,85124,0.0-4.0,SS1688743048533,67542.60000002380,,<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>,39,,,,,,,,
,html-keyboard-response,5,137211,0.0-5.0,SS1688743048533,52086.59999990460,,<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>,39,,,,,,,,
,html-keyboard-response,6,143412,0.0-6.0,SS1688743048533,6200.200000047680,,<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>,39,,,,,,,,
,html-keyboard-response,7,157057,0.0-7.0,SS1688743048533,13644.399999976200,,<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>,39,,,,,,,,
,html-keyboard-response,8,158049,0.0-8.0,SS1688743048533,991.6000000238420,,<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>,39,,,,,,,,
,html-keyboard-response,9,279635,0.0-9.0,SS1688743048533,121585.10000002400,,<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>,39,,,,,,,,
,instructions,10,280049,0.0-10.0,SS1688743048533,414.10000002384200,,,,"[{""page_index"":0,""viewing_time"":413.5}]",,,,,,,
,video-keyboard-response,11,298336,0.0-11.0,SS1688743048533,null,,"[""stimuli/images/calibration.mp4""]",null,,calibration,,,,,,
,video-keyboard-response,12,303019,0.0-12.0,SS1688743048533,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,
,video-keyboard-response,13,343489,0.0-13.0,SS1688743048533,40467.700000047700,,"[""stimuli/images/unity_stims/veggie_03_nopose_single_new.mp4""]",39,,trial,19,6,1,stimuli/images/unity_stims/veggie_03_nopose_single_new.mp4,,
,html-keyboard-response,14,344001,0.0-14.0,SS1688743048533,511.5,,"<p><img src=""stimuli/images/attngetter_blank.png""></p>",39,,between_block,,,,,,
,video-keyboard-response,15,348672,0.0-15.0,SS1688743048533,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,
,video-keyboard-response,16,408877,0.0-16.0,SS1688743048533,null,,"[""stimuli/images/unity_stims/animate_02_left_single_new.mp4""]",null,,trial,19,6,2,stimuli/images/unity_stims/animate_02_left_single_new.mp4,,
,html-keyboard-response,17,409798,0.0-17.0,SS1688743048533,920.3000000715260,,"<p><img src=""stimuli/images/attngetter_blank.png""></p>",32,,between_block,,,,,,
,video-keyboard-response,18,414501,0.0-18.0,SS1688743048533,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,
