"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","condition_num","block_number","stimulus_displayed","response","question_order"
"true","fullscreen","0","35594","0.0-0.0","SS1690128112158","","","","","","","","","","","",""
"","survey-text","1","41336","0.0-1.0","SS1690128112158","5738.5","{""Age"":""244"",""Gender"":""M""}","","","","","","","","","",""
"","audio-keyboard-response","2","52401","0.0-2.0","SS1690128112158","11061.800000190735","","stimuli/audio/music_intro.wav","39","","","","","","","",""
"","html-keyboard-response","3","54304","0.0-3.0","SS1690128112158","1902.4000000953674","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","4","151094","0.0-4.0","SS1690128112158","96789.09999990463","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","5","181105","0.0-5.0","SS1690128112158","30010.299999952316","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","6","191745","0.0-6.0","SS1690128112158","10639.399999856949","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","7","207654","0.0-7.0","SS1690128112158","15908.299999952316","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","8","208898","0.0-8.0","SS1690128112158","1243.0999999046326","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","9","270253","0.0-9.0","SS1690128112158","61354","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","instructions","10","271014","0.0-10.0","SS1690128112158","760.5","","","","[{""page_index"":0,""viewing_time"":760.2999999523163}]","","","","","","",""
"","video-keyboard-response","11","289276","0.0-11.0","SS1690128112158","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","",""
"","video-keyboard-response","12","293942","0.0-12.0","SS1690128112158","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","13","329078","0.0-13.0","SS1690128112158","35133.299999952316","","[""stimuli/images/unity_stims/animate_01_right_pair_new.mp4""]","39","","trial","28","5","1","stimuli/images/unity_stims/animate_01_right_pair_new.mp4","",""
"","html-keyboard-response","14","329823","0.0-14.0","SS1690128112158","744","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","",""
"","video-keyboard-response","15","334495","0.0-15.0","SS1690128112158","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","16","394658","0.0-16.0","SS1690128112158","null","","[""stimuli/images/unity_stims/veggie_04_nopose_single_new.mp4""]","null","","trial","28","5","2","stimuli/images/unity_stims/veggie_04_nopose_single_new.mp4","",""
"","html-keyboard-response","17","395565","0.0-17.0","SS1690128112158","906.5","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","",""
"","video-keyboard-response","18","400245","0.0-18.0","SS1690128112158","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","19","460444","0.0-19.0","SS1690128112158","null","","[""stimuli/images/unity_stims/animate_02_right_single_new.mp4""]","null","","trial","28","5","3","stimuli/images/unity_stims/animate_02_right_single_new.mp4","",""
"","html-keyboard-response","20","461218","0.0-20.0","SS1690128112158","772.2000000476837","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","",""
"","video-keyboard-response","21","465886","0.0-21.0","SS1690128112158","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","22","514673","0.0-22.0","SS1690128112158","48784.799999952316","","[""stimuli/images/unity_stims/animate_05_left_single_new.mp4""]","39","","trial","28","5","4","stimuli/images/unity_stims/animate_05_left_single_new.mp4","",""
"","html-keyboard-response","23","515200","0.0-23.0","SS1690128112158","525.5999999046326","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","",""
"","video-keyboard-response","24","519877","0.0-24.0","SS1690128112158","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","25","563797","0.0-25.0","SS1690128112158","43918.5","","[""stimuli/images/unity_stims/animate_06_left_pair_new.mp4""]","39","","trial","28","5","5","stimuli/images/unity_stims/animate_06_left_pair_new.mp4","",""
"","html-keyboard-response","26","564504","0.0-26.0","SS1690128112158","706.2000000476837","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","",""
"","video-keyboard-response","27","569176","0.0-27.0","SS1690128112158","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","28","619105","0.0-28.0","SS1690128112158","49927","","[""stimuli/images/unity_stims/veggie_03_nopose_single_new.mp4""]","39","","trial","28","5","6","stimuli/images/unity_stims/veggie_03_nopose_single_new.mp4","",""
"","video-keyboard-response","29","642257","0.0-29.0","SS1690128112158","null","","[""stimuli/images/calibration_end.mp4""]","null","","calibration_end","","","","","",""
"","html-keyboard-response","30","657756","0.0-30.0","SS1690128112158","15498.599999904633","","<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 48px; color: #993300;""> That's it! Thank you so much for your participation! </span></p>","39","","","","","","","",""
"","survey-multi-choice","31","689870","0.0-31.0","SS1690128112158","32112.299999952316","","","","","","","","","","{""Consent"":""<b>Option 1 (Private)</b>: Your child’s data will be kept in a secure location and viewed only by authorized research personnel in our lab. </h1><br>""}","0"
