1,2,3,4
background,animacy,identity,pose
animacy,background,identity,pose
animacy,identity,background,pose
animacy,identity,pose,background
background,animacy,pose,identity
animacy,background,pose,identity
animacy,pose,background,identity
animacy,pose,identity,background
background,identity,animacy,pose
identity,background,animacy,pose
identity,animacy,background,pose
identity,animacy,pose,background
background,identity,pose,animacy
identity,background,pose,animacy
identity,pose,background,animacy
identity,pose,animacy,background
background,pose,animacy,identity
pose,background,animacy,identity
pose,animacy,background,identity
pose,animacy,identity,background
background,pose,identity,animacy
pose,background,identity,animacy
pose,identity,background,animacy
pose,identity,animacy,background
background,animacy,identity,number
animacy,background,identity,number
animacy,identity,background,number
animacy,identity,number,background
background,animacy,number,identity
animacy,background,number,identity
animacy,number,background,identity
animacy,number,identity,background
background,identity,animacy,number
identity,background,animacy,number
identity,animacy,background,number
identity,animacy,number,background
background,identity,number,animacy
identity,background,number,animacy
identity,number,background,animacy
identity,number,animacy,background
background,number,animacy,identity
number,background,animacy,identity
number,animacy,background,identity
number,animacy,identity,background
background,number,identity,animacy
number,background,identity,animacy
number,identity,background,animacy
number,identity,animacy,background
background,animacy,pose,number
animacy,background,pose,number
animacy,pose,background,number
animacy,pose,number,background
background,animacy,number,pose
animacy,background,number,pose
animacy,number,background,pose
animacy,number,pose,background
background,pose,animacy,number
pose,background,animacy,number
pose,animacy,background,number
pose,animacy,number,background
background,pose,number,animacy
pose,background,number,animacy
pose,number,background,animacy
pose,number,animacy,background
background,number,animacy,pose
number,background,animacy,pose
number,animacy,background,pose
number,animacy,pose,background
background,number,pose,animacy
number,background,pose,animacy
number,pose,background,animacy
number,pose,animacy,background
background,identity,pose,number
identity,background,pose,number
identity,pose,background,number
identity,pose,number,background
background,identity,number,pose
identity,background,number,pose
identity,number,background,pose
identity,number,pose,background
background,pose,identity,number
pose,background,identity,number
pose,identity,background,number
pose,identity,number,background
background,pose,number,identity
pose,background,number,identity
pose,number,background,identity
pose,number,identity,background
background,number,identity,pose
number,background,identity,pose
number,identity,background,pose
number,identity,pose,background
background,number,pose,identity
number,background,pose,identity
number,pose,background,identity
number,pose,identity,background
